,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
68,69,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
69,70,The Turning,"$19,428,166","$15,472,775",79.6%,"$3,955,391",20.4%
70,71,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%
71,72,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
72,73,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
73,74,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
74,75,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
75,76,Digimon Adventure: Last Evolution Kizuna,"$17,337,522",-,-,"$17,337,522",100%
76,77,Promising Young Woman,"$17,192,816","$6,460,965",37.6%,"$10,731,851",62.4%
77,78,Bye Bye Morons,"$16,955,173",-,-,"$16,955,173",100%
78,79,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
79,80,I Still Believe,"$16,069,730","$9,868,521",61.4%,"$6,201,209",38.6%
80,81,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%
81,82,Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%
82,83,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
83,84,The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%
84,85,Nightlife,"$14,308,789",-,-,"$14,308,789",100%
85,86,Pawn,"$14,193,957",-,-,"$14,193,957",100%
86,87,#Alive,"$13,432,212",-,-,"$13,432,212",100%
87,88,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
88,89,Come Play,"$13,182,254","$10,475,990",79.5%,"$2,706,264",20.5%
89,90,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
90,91,Another Round,"$12,733,781",-,-,"$12,733,781",100%
91,92,News of the World,"$12,668,325","$12,668,325",100%,-,-
92,93,Collectors,"$12,640,113",-,-,"$12,640,113",100%
93,94,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%
94,95,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
95,96,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
96,97,Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%
97,98,The Hunt,"$11,481,750","$5,812,500",50.6%,"$5,669,250",49.4%
98,99,30 jours max,"$10,998,969",-,-,"$10,998,969",100%
99,100,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
100,101,Bigfoot Family,"$10,855,626",-,-,"$10,855,626",100%
101,102,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
102,103,One Second,"$10,764,400",-,-,"$10,764,400",100%
103,104,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
104,105,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
105,106,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
106,107,My Spy,"$10,200,000",-,-,"$10,200,000",100%
107,108,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
108,109,Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",4.6%,"$9,588,094",95.4%
109,110,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
110,111,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
111,112,Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%
112,113,365 Days,"$9,458,590",-,-,"$9,458,590",100%
113,114,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
114,115,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
115,116,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
116,117,The Closet,"$9,039,424",-,-,"$9,039,424",100%
117,118,Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%
118,119,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
119,120,I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%
120,121,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
121,122,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
122,123,The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%
123,124,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
124,125,Malang,"$8,399,765",-,-,"$8,399,765",100%
125,126,Two by Two: Overboard!,"$8,289,774",-,-,"$8,289,774",100%
126,127,100% Wolf,"$8,284,355","$658,764",8%,"$7,625,591",92%
127,128,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
128,129,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
129,130,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
130,131,Antoinette dans les Cévennes,"$7,821,615",-,-,"$7,821,615",100%
131,132,Antebellum,"$7,770,723",-,-,"$7,770,723",100%
132,133,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
133,134,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
134,135,Smack Dab Kakha,"$7,692,780",-,-,"$7,692,780",100%
135,136,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
136,137,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%
137,138,De Gaulle,"$7,501,454",-,-,"$7,501,454",100%
138,139,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
139,140,"Turu, the Wacky Hen","$7,431,553",-,-,"$7,431,553",100%
140,141,The Best Years,"$7,344,947",-,-,"$7,344,947",100%
141,142,Mamma Mia! Here We Go Again 2020 Re-release,"$7,209,678",-,-,"$7,209,678",100%
142,143,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
143,144,Bohemian Rhapsody 2020 Re-release,"$7,154,052","$240,000",3.4%,"$6,914,052",96.6%
144,145,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
145,146,Adu,"$7,085,946",-,-,"$7,085,946",100%
146,147,Fatale,"$7,031,289","$6,306,897",89.7%,"$724,392",10.3%
147,148,Spycies,"$6,989,285",-,-,"$6,989,285",100%
148,149,Jim Button and the Wild 13,"$6,908,445",-,-,"$6,908,445",100%
149,150,Dragon Rider,"$6,779,816",-,-,"$6,779,816",100%
150,151,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
151,152,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
152,153,Innocence,"$6,659,968",-,-,"$6,659,968",100%
153,154,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
154,155,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
155,156,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
156,157,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
157,158,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
158,159,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
159,160,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
160,161,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
161,162,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
162,163,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
163,164,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
164,165,How to Be a Good Wife,"$6,029,102",-,-,"$6,029,102",100%
165,166,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
166,167,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
167,168,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
168,169,The Lion King 2020 Re-release,"$5,948,352",-,-,"$5,948,352",100%
169,170,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
170,171,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
171,172,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
172,173,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
173,174,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
174,175,Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.1%,"$781,193",13.9%
175,176,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
176,177,Mama Weed,"$5,432,038","$29,151",0.5%,"$5,402,887",99.5%
177,178,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
178,179,A Piece of Cake,"$5,253,994",-,-,"$5,253,994",100%
179,180,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
180,181,Run,"$5,184,368",-,-,"$5,184,368",100%
181,182,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
182,183,Masked Ward,"$5,107,013",-,-,"$5,107,013",100%
183,184,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
184,185,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
185,186,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
186,187,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
187,188,Mayday,"$5,011,408",-,-,"$5,011,408",100%
188,189,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
189,190,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
190,191,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
191,192,Military Wives,"$4,889,252",-,-,"$4,889,252",100%
192,193,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
193,194,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
194,195,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
195,196,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
196,197,The Empty Man,"$4,796,993","$2,992,948",62.4%,"$1,804,045",37.6%
197,198,The Vets,"$4,788,826",-,-,"$4,788,826",100%
198,199,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
199,200,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
