,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
117,Dolphin Tale 2,66,72,PG,"['Drama', 'Kids&family', 'Adventure']",['CharlesMartinSmith'],"['BroderickJohnson', 'RichardIngber', 'AndrewA.Kosove', 'StevenP.Wegner']","['Sep 12', '2014']",42.0M
118,St. Vincent,77,78,PG-13,"['Drama', 'Comedy']",['TheodoreMelfi'],"['PeterChernin', 'JennoTopping', 'TheodoreMelfi', 'FredRoos']","['Oct 24', '2014']",44.1M
119,No Good Deed,12,55,PG-13,['Mystery&thriller'],['SamMiller'],"['WillPacker', 'LeeClay']","['Sep 12', '2014']",52.5M
120,Overheard 3,,33,,['Mystery&thriller'],"['FelixChong', 'AlanMak']","['RonaldWong', 'Tung-ShingYee']",,
121,Supercondriaque,,32,,['Comedy'],['DanyBoon'],"['EricHubert', 'PatrickQuinet', 'JérômeSeydoux']",,
122,3 Days to Kill,28,43,PG-13,"['Adventure', 'Action', 'Mystery&thriller']",['McG'],"['MarcLibert', 'RyanKavanaugh']","['Feb 21', '2014']",30.7M
123,Rurouni Kenshin Part II: Kyoto Inferno,,,,,,,,
124,Wild,88,75,R,"['Biography', 'Drama', 'Adventure']",['Jean-MarcVallée'],"['ReeseWitherspoon', 'BrunaPapandrea', 'BillPohlad']","['Dec 3', '2014']",37.7M
125,Magic in the Moonlight,51,45,PG-13,"['Comedy', 'Romance']",['WoodyAllen'],"['LettyAronson', 'StephenTenenbaum', 'EdwardWalson']","['Jul 25', '2014']",10.5M
126,About Last Night,,,,,['TonyDiMarco'],,,
127,Dearest 2014 Re-release,,,,,,,,
128,Whiplash,94,94,R,"['Drama', 'Music']",['DamienChazelle'],"['HelenEstabrook', 'JasonBlum', 'MichelLitvak', 'DavidLancaster']","['Oct 10', '2014']",13.2M
129,Chef,45,50,,"['Drama', 'Comedy']",['RajaKrishnaMenon'],,,53.6K
130,Boyhood,97,80,R,['Drama'],['RichardLinklater'],"['RichardLinklater', 'CathleenSutherland']","['Jul 18', '2014']",25.4M
