movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Helios,535031,False,0,0.6,0,5
A Walk in the Woods,232572,False,8000000,20.09,37461274,104
Ex Machina,264660,False,15000000,31.842,36869414,108
Burnt,295964,False,20000000,19.6,36606743,100
The Priests,739840,False,0,1.448,0,88
The New Adventures of Aladdin,344268,False,0,11.42,0,107
Heidi,365045,False,8800000,16.444,0,111
Room,522681,False,9000000,95.515,155712077,100
Lost and Love,479259,False,0,14.044,106045,97
Secret in Their Eyes,290751,False,19500000,12.737,34854990,111
"Dad, Where Are We Going 2",,,,,,
Doraemon: Nobita and the Space Heroes,350650,False,46597700,14.658,32700000,100
Steve Jobs,321697,False,30000000,19.245,34441873,122
Victor Frankenstein,228066,False,40000000,23.66,34227298,109
The Witness,356332,False,0,6.702,0,86
Project Almanac,227719,False,12000000,69.181,33213241,106
Dilwale,159164,False,0,3.146,0,180
Suffragette,245168,False,14000000,10.155,16002420,106
Self/less,238615,False,26000000,32.691,31807156,117
Saving Mr. Wu,362154,False,0,5.934,0,106
Attack on Titan Part 1,379088,False,0,73.03,0,118
A Man Called Ove,348678,False,0,16.811,3371692,116
Far from the Madding Crowd,250734,False,0,14.101,30229977,119
Mr. Holmes,280996,False,11000000,18.888,29355203,104
Love & Mercy,271714,False,0,14.733,28641776,120
Flying Colors,232891,False,0,0.992,0,114
Triumph in the Skies,641243,False,0,0.6,0,5
The 33,293646,False,25000000,17.716,24902723,120
Bride Wars,10521,False,30000000,64.325,115375850,89
Irrational Man,282984,False,11000000,12.247,27391084,95
Detective K: Secret of the Lost Island,328716,False,0,5.442,27387870,125
To the Fore,339562,False,0,3.774,0,125
American Ultra,261392,False,28000000,34.367,27139524,96
Orange,185,False,2200000,41.435,26589000,137
Aloha,24615,False,0,55.409,0,74
Huevos: Little Rooster's Egg-cellent Adventure,264419,False,5300000,34.114,9080818,99
Dügün Dernek 2: Sünnet,371153,False,0,4.801,0,107
Look Who's Back,318917,False,3196621,24.052,25513752,116
Serial Teachers 2,325844,False,0,9.315,0,93
Wild City,858490,False,0,0.6,0,44
