movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
The Forever Purge,602223,tt10327252,Ana de la Reguera,14.337,Tenoch Huerta,10.983,Josh Lucas,10.904,Leven Rambin,10.016,Cassidy Freeman,7.076
1921,757587,tt12624504,Huang Xuan,11.613,Ni Ni,8.183,Wang Renjun,4.619,Liu Haoran,8.529,Yuan Wenkang,5.506
West Side Story,511809,tt3581652,Ansel Elgort,20.545,Rachel Zegler,16.012,Rita Moreno,6.096,Ariana DeBose,5.787,David Alvarez,1.4
Hitman's Wife's Bodyguard,522931,tt8385148,Ryan Reynolds,40.796,Samuel L. Jackson,56.705,Salma Hayek,22.609,Antonio Banderas,18.301,Morgan Freeman,23.816
Belle,205601,tt2404181,Gugu Mbatha-Raw,12.915,Tom Wilkinson,13.739,Sam Reid,10.709,Emily Watson,19.528,Sarah Gadon,18.054
Ron's Gone Wrong,482321,tt7504818,Zach Galifianakis,14.573,Jack Dylan Grazer,12.228,Ed Helms,15.096,Olivia Colman,12.297,Justice Smith,14.942
Cloudy Mountain,862855,tt15413054,Zhu Yilong,2.745,Huang Zhizhong,3.096,Chen Shu,5.127,Jiao Junyan,3.65,Zhang Shangmingzhu,1.025
Avatar 2021 Re-release,,,,,,,,,,,,
Nezha Reborn,663558,tt13269670,Yang Tianxiang,8.596,He Zhang,1.495,Xuan Xiaoming,0.605,Li Shimeng,3.205,Keer Zhu,0.75
Nobody,615457,tt7888964,Bob Odenkirk,17.442,Connie Nielsen,25.131,Christopher Lloyd,26.808,Aleksey Serebryakov,4.566,RZA,9.185
Upcoming,825499,,Albert Brooks,17.697,Pervis Atkins,1.96,René Auberjonois,6.798,Lisa Hartman,8.41,Kay Lenz,10.574
Man in Love,258313,tt3479250,Hwang Jung-min,8.721,Han Hye-jin,9.192,Nam Il-woo,2.003,Kwak Do-won,6.113,Jeong Man-sik,2.997
Break Through the Darkness,821699,tt13655044,Jiang Wu,4.228,Zhang Songwen,8.793,Jin Shijia,4.396,Li Qian,2.383,Zhao Yi,1.4
Escape Room: Tournament of Champions,585216,tt9844522,Taylor Russell,17.641,Logan Miller,14.811,Indya Moore,8.164,Holland Roden,14.001,Thomas Cocquerel,7.12
Schemes in Antiques,820099,tt11482948,Lei Jiayin,7.108,Li Xian,4.649,Ge You,3.421,Xin Zhilei,8.728,Wang Qingxiang,1.393
Luca,508943,tt12801262,Jacob Tremblay,12.784,Jack Dylan Grazer,12.228,Emma Berman,5.134,Saverio Raimondo,2.761,Maya Rudolph,11.778
Don't Breathe 2,482373,tt6246322,Stephen Lang,20.876,Brendan Sexton III,14.868,Madelyn Grace,3.597,Stephanie Arcila,5.722,Rocci Williams,4.294
My Hero Academia: World Heroes' Mission,768744,tt13544716,Daiki Yamashita,18.14,Nobuhiko Okamoto,11.632,Yuki Kaji,13.997,Ryo Yoshizawa,8.778,Kazuya Nakai,10.996
The French Dispatch,542178,tt8847712,Bill Murray,23.94,Benicio del Toro,15.254,Adrien Brody,15.374,Tilda Swinton,17.432,Léa Seydoux,24.524
Love Will Tear Us Apart,252524,tt2804994,Kaleigh Macchio,0.6,August Roads,3.528,Azure Valencia,0.6,,,,
In the Heights,467909,tt1321510,Anthony Ramos,13.432,Corey Hawkins,6.796,Leslie Grace,3.601,Melissa Barrera,12.769,Olga Merediz,6.469
Belfast,777270,tt12789558,Jude Hill,0.6,Caitriona Balfe,8.68,Jamie Dornan,12.431,Judi Dench,8.949,Ciarán Hinds,29.898
Spirit Untamed,637693,tt11084896,Isabela Merced,17.013,Jake Gyllenhaal,21.848,Julianne Moore,18.698,Marsai Martin,11.289,Mckenna Grace,57.227
Spiral,602734,tt10342730,Chris Rock,20.036,Samuel L. Jackson,56.705,Max Minghella,10.976,Marisol Nichols,12.938,Morgan David Jones,4.768
Snake Eyes,568620,tt8404256,Henry Golding,8.632,Andrew Koji,7.942,Haruka Abe,10.573,Úrsula Corberó,23.102,Samara Weaving,23.726
