movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Ayyappanum Koshiyum,657996,False,0,3.235,0,177
Baba Parasi,657247,False,0,1.822,0,116
Die Känguru-Chroniken,639564,False,0,5.555,5081127,92
The Real Exorcist,708792,False,0,0.84,0,108
Mayday,672521,False,0,5.098,0,100
Bheeshma,804309,False,0,4.644,0,144
Made in Abyss: Dawn of the Deep Soul,573730,False,0,17.591,4971635,105
Godai - The Wunderkind,746257,False,0,1.4,0,109
Military Wives,617784,False,0,11.158,0,113
Panga,313564,False,0,0.675,0,0
The Tales for Old and Young,,,,,,
Streltsov,579805,False,0,1.77,0,101
The SpongeBob Movie: Sponge on the Run,400160,False,60000000,257.062,4700000,95
The Empty Man,516632,False,0,54.438,4176641,137
The Vets,613348,False,0,6.254,0,92
The Broken Hearts Gallery,616251,False,0,10.406,0,109
Gladiator 20th Anniversary,,,,,,
