movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
RED 2,146216,tt1821694,Bruce Willis,25.856,John Malkovich,14.631,Mary-Louise Parker,12.764,Anthony Hopkins,20.548,Helen Mirren,17.793
Mama,132232,tt2023587,Jessica Chastain,17.001,Nikolaj Coster-Waldau,21.517,Megan Charpentier,7.409,Isabelle Nélisse,5.195,Daniel Kash,7.234
Escape Plan,107846,tt1211956,Sylvester Stallone,26.578,Arnold Schwarzenegger,36.208,Jim Caviezel,24.175,50 Cent,11.012,Sam Neill,33.963
2 Guns,136400,tt1272878,Denzel Washington,33.586,Mark Wahlberg,49.465,Paula Patton,29.455,Edward James Olmos,9.276,Bill Paxton,13.234
This Is the End,109414,tt1245492,James Franco,11.754,Jonah Hill,14.14,Seth Rogen,19.602,Jay Baruchel,19.385,Danny McBride,26.166
Ender's Game,80274,tt1731141,Asa Butterfield,18.109,Harrison Ford,17.858,Hailee Steinfeld,55.775,Viola Davis,11.558,Abigail Breslin,23.194
Prisoners,146233,tt1392214,Hugh Jackman,23.696,Jake Gyllenhaal,21.848,Maria Bello,19.609,Terrence Howard,13.928,Paul Dano,51.328
Jurassic Park 2013 Re-release,,,,,,,,,,,,
Saving Mr. Banks,140823,tt2140373,Emma Thompson,24.804,Tom Hanks,27.299,Colin Farrell,43.802,Paul Giamatti,22.095,Ruth Wilson,10.025
Warm Bodies,82654,tt1588173,Nicholas Hoult,25.64,Teresa Palmer,17.413,Lio Tipton,22.358,John Malkovich,14.631,Dave Franco,20.44
Personal Tailor,243919,tt2992152,Ge You,3.421,Bai Baihe,3.959,Li Xiaolu,2.692,Ryan Zheng Kai,9.633,Song Dandan,9.183
So Young,47568,tt0042982,Paul Henreid,3.203,Catherine McLeod,5.028,Grace Coppin,1.015,Cecil Clovelly,0.6,Anne Francis,6.013
Free Birds,175574,tt1621039,Owen Wilson,46.143,Woody Harrelson,19.341,Amy Poehler,8.768,George Takei,6.345,Colm Meaney,5.217
Gangster Squad,82682,tt1321870,Josh Brolin,39.186,Ryan Gosling,12.098,Sean Penn,14.277,Nick Nolte,11.236,Emma Stone,40.711
Instructions Not Included,667706,,Janno Gibbs,1.4,Xia Vigor,0.69,,,,,,
Philomena,205220,tt2431286,Judi Dench,9.085,Steve Coogan,7.72,Sophie Kennedy Clark,7.749,Mare Winningham,13.502,Barbara Jefford,2.222
Blue Jasmine,160588,tt2334873,Alec Baldwin,17.182,Cate Blanchett,18.898,Louis C.K.,8.625,Bobby Cannavale,12.744,Andrew Dice Clay,11.091
Young Detective Dee: Rise of the Sea Dragon,217923,tt2992146,Mark Chao,12.422,AngelaBaby,20.187,William Feng,8.11,Kim Bum,20.339,Carina Lau,17.08
Riddick,87421,tt1411250,Vin Diesel,27.309,Matt Nable,8.126,Katee Sackhoff,29.043,Jordi Mollà,8.421,Dave Bautista,22.075
Safe Haven,112949,tt1702439,Julianne Hough,8.7,Josh Duhamel,10.859,Cobie Smulders,17.517,David Lyons,4.63,Mimi Kirkland,3.83
Evil Dead,109428,tt1288558,Jane Levy,10.681,Shiloh Fernandez,13.367,Lou Taylor Pucci,10.518,Jessica Lucas,11.648,Elizabeth Blackmore,12.036
