,release_date_year__2010,release_date_year__2011,release_date_year__2012,release_date_year__2013,release_date_year__2014,release_date_year__2015,release_date_year__2016,release_date_year__2017,release_date_year__2018,release_date_year__2019,release_date_year__2020,release_date_year__2021,release_date_year__2022,Rating__1,Rating__2,Rating__3,Rating__4,Rating__5,release_date_quarter__2,release_date_quarter__3,release_date_quarter__4,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Revenue,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Movie Title
29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.161,5.3,7201,99,58.0,63.0,69.0,47.062,7.092,4.828,6.2246,45.94594595,4500000.0,40591862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Spanish Affair 2
30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9.854,6.3,9791,126,58.0,63.0,69.0,47.062,14.277,4.828,5.3554,6.433,5650000.0,50447784,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kokowääh
31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.362,6.3,6208,87,58.0,63.0,69.0,36.0,7.092,4.828,2.2304,59.09090909,8000000.0,69903094,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sole a catinelle
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35.777,7.1,7554,119,58.0,63.0,69.0,70.5,7.092,4.828,12.5704,79.2971246,4500000.0,37795598,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Cold Eyes
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24.052,7.0,44786,116,58.0,80.0,69.0,28.5,1.991,0.824,6.7962,58.75118259,3196621.0,25513752,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Look Who's Back
34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.975,5.5,449,120,58.0,50.0,69.0,54.0,9.943,4.828,8.4754,40.73071719,10000000.0,78015473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Left Ear
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,59.794,8.1,169189,106,70.0,86.0,69.0,31.0,7.593,2.129833333,6.7664,100.0,4000000.0,31191910,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,The Invisible Guest
36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,50.175,6.8,842,101,58.0,63.0,69.0,20.5,7.092,4.828,8.4048,100.0,8000000.0,61153455,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Doraemon: Great Adventure in the Antarctic Kachi Kochi
37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6.944,6.0,1234,99,57.0,61.0,69.0,44.75,7.177,26.841,10.2102,43.75,25000000.0,189396380,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The White Storm 2: Drug Lords
38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.662,6.6,11074,86,60.0,62.0,69.0,16.5,2.143,1.708,2.3282,25.71428571,11089000.0,75878701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quo vado?
39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,25.646,5.3,5137,90,58.0,22.0,69.0,67.625,35.249,4.828,10.3184,43.85964912,12000000.0,81411331,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Wolf Warrior
40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.036,6.4,1579,75,58.0,63.0,69.0,47.062,7.092,4.828,2.3454,6.433,3000000.0,20157447,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,How Not to Rescue a Princess
41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16.43,7.3,27137,106,83.0,75.0,69.0,47.062,2.841,1.902,5.271,6.433,11000000.0,72751538,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The Bélier Family
42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5.597,5.2,527,110,58.0,63.0,69.0,69.0,0.6,4.828,9.43,96.42857143,7000000.0,46154323,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Hanson and the Beast
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.243,2.5,79,114,58.0,63.0,69.0,47.062,7.092,4.828,3.0008,6.433,260000.0,1712634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Love, Sex & Pandemic"
44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14.268,6.6,3199,124,58.0,63.0,69.0,12.5,7.092,4.828,10.948,100.0,8520000.0,56100000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gongjo
45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3.447,8.0,11572,153,58.0,83.0,69.0,19.5,0.6,1.16,4.5752,29.0617849,2000000.0,13056490,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vakeel Saab
46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5.119,5.7,536,97,58.0,14.0,69.0,39.0,8.529,4.828,5.9744,70.0,10000000.0,64517456,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L Storm
