,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
20,Home,"386,041,607","177,397,510",46,"208,644,097",54,52.0,64.0,PG,TimJohnson,"MireilleSoria,SuzanneBuirgy,ChristopherJenkins",3-27-2015,177300000.0,8.5,26,movie,Home,0,2015,58,Documentary
21,Mad Max: Fury Road,"374,736,354","153,636,354",41,"221,100,000",59,97.0,86.0,R,GeorgeMiller,"DougMitchell,GeorgeMiller,P.J.Voeten",5-15-2015,153600000.0,8.1,962606,movie,Mad Max: Fury Road,0,2015,120,"Action,Adventure,Sci-Fi"
22,The Good Dinosaur,"332,207,671","123,087,120",37.1,"209,120,551",62.9,76.0,64.0,PG,PeterSohn,DeniseReam,11-25-2015,123100000.0,6.7,112304,movie,The Good Dinosaur,0,2015,93,"Adventure,Animation,Comedy"
23,The SpongeBob Movie: Sponge Out of Water,"325,186,032","162,994,032",50.1,"162,192,000",49.9,81.0,54.0,PG,"PaulTibbitt,MikeMitchell","PaulTibbitt,MaryParent",2-6-2015,163400000.0,6.0,54005,movie,The SpongeBob Movie: Sponge Out of Water,0,2015,92,"Adventure,Animation,Comedy"
24,Maze Runner: The Scorch Trials,"312,296,056","81,697,192",26.2,"230,598,864",73.8,48.0,54.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman,JoeHartwickJr.",9-18-2015,81700000.0,6.3,242286,movie,Maze Runner: The Scorch Trials,0,2015,131,"Action,Adventure,Sci-Fi"
25,The Divergent Series: Insurgent,"297,002,527","130,179,072",43.8,"166,823,455",56.2,,,,,,,,6.2,232368,movie,Insurgent,0,2015,119,"Action,Adventure,Sci-Fi"
26,Pitch Perfect 2,"287,144,079","184,296,230",64.2,"102,847,849",35.8,65.0,64.0,PG-13,ElizabethBanks,"PaulBrooks,MaxHandelman,ElizabethBanks",5-15-2015,183700000.0,6.4,153411,movie,Pitch Perfect 2,0,2015,115,"Comedy,Music"
27,Mojin: The Lost Legend,"259,368,448","1,243,810",0.5,"258,124,638",99.5,56.0,56.0,,Wuershan,,12-18-2015,1100000.0,5.9,3850,movie,Xun long jue,0,2015,127,"Action,Adventure,Drama"
28,Lost in Hong Kong,"256,283,912","1,302,281",0.5,"254,981,631",99.5,60.0,49.0,,ZhengXu,ZhengXu,9-25-2015,1300000.0,5.4,1642,movie,Gang jiong,0,2015,114,"Action,Adventure,Comedy"
29,The Peanuts Movie,"246,233,113","130,178,411",52.9,"116,054,702",47.1,87.0,76.0,G,SteveMartino,"CraigSchulz,BryanSchulz,CorneliusUliano,PaulFeig,MichaelJ.Travers",11-6-2015,130100000.0,7.0,45223,movie,The Peanuts Movie,0,2015,88,"Adventure,Animation,Comedy"
