movie,startdate,releasedate,Text,mean_google_trend_popularity
Blockers,2018-03-30,2018-04-06,,46.5
BlacKkKlansman,2018-08-03,2018-08-10,,28.75
Goosebumps 2: Haunted Halloween,2018-10-05,2018-10-12,,30.25
Overboard,2018-04-27,2018-05-04,,35.375
Sherlock Gnomes,2018-03-16,2018-03-23,,35.75
Detective Dee: The Four Heavenly Kings,2018-07-20,2018-07-27,,41.625
"Hello, Mrs. Money",2018-09-28,2018-10-05,,23.75
Robin Hood,2018-11-14,2018-11-21,,54.125
I Can Only Imagine,2018-03-09,2018-03-16,,36.0
Mortal Engines,2018-12-07,2018-12-14,,74.375
Den of Thieves,2018-01-12,2018-01-19,,27.625
Hereditary,2018-06-01,2018-06-08,,32.375
Tag,2018-06-08,2018-06-15,,74.625
Sanju,2018-06-22,2018-06-29,,18.375
Vice,2018-12-18,2018-12-25,,61.5
Widows,2018-11-09,2018-11-16,,47.625
Sicario: Day of the Soldado,2018-06-22,2018-06-29,,34.125
Searching,2018-08-24,2018-08-31,,51.25
The Spy Who Dumped Me,2018-07-27,2018-08-03,,34.75
Second Act,2018-12-14,2018-12-21,,38.75
Shoplifters,2021-03-19,2021-03-26,,51.375
12 Strong,2018-01-12,2018-01-19,,38.625
"Love, Simon",2018-03-09,2018-03-16,,31.25
Mile 22,2018-08-10,2018-08-17,,39.375
Life of the Party,2018-09-07,2018-09-14,,53.625
Isle of Dogs,2018-03-30,2018-04-06,,77.5
Adrift,2018-05-25,2018-06-01,,33.0
The 15:17 to Paris,2018-02-02,2018-02-09,,40.75
Early Man,2018-02-09,2018-02-16,,33.75
Peppermint,2018-08-31,2018-09-07,,39.75
Slender Man,2018-08-03,2018-08-10,,34.125
Breaking In,2018-05-04,2018-05-11,,39.125
Simmba,2018-12-21,2018-12-28,,24.5
Death Wish,2018-02-23,2018-03-02,,29.875
Golden Job,2018-09-21,2018-09-28,,49.875
Mary Queen of Scots,2018-12-14,2018-12-21,,80.875
Uncle Drew,2018-06-22,2018-06-29,,35.375
Acrimony,2018-03-23,2018-03-30,,35.0
Winchester,2018-01-26,2018-02-02,,56.5
Annihilation,2018-02-16,2018-02-23,,30.75
The Possession of Hannah Grace,2018-11-23,2018-11-30,,28.75
Overlord,2018-11-02,2018-11-09,,41.375
The Darkest Minds,2018-07-27,2018-08-03,,29.75
Holmes & Watson,2018-12-18,2018-12-25,,16.75
Thugs of Hindostan,2018-11-01,2018-11-08,,18.25
Show Dogs,2018-05-11,2018-05-18,,28.5
Believer,2018-06-01,2018-06-08,,92.75
The Spy Gone North,2018-08-03,2018-08-10,,46.125
On the Basis of Sex,2019-01-04,2019-01-11,,44.875
Till The End Of The World,2018-01-26,2018-02-02,,27.5
Mia and the White Lion,2019-04-05,2019-04-12,,21.75
The Girl in the Spider's Web,2018-11-02,2018-11-09,,57.75
The Hate U Give,2018-10-12,2018-10-19,,52.375
Nobody's Fool,2018-10-26,2018-11-02,,33.25
Baaghi 2,2018-03-23,2018-03-30,,26.875
The Hurricane Heist,2018-03-02,2018-03-09,,21.125
Bad Times at the El Royale,2018-10-05,2018-10-12,,31.25
Hunter Killer,2018-10-19,2018-10-26,,38.25
Super Troopers 2,2018-04-13,2018-04-20,,26.625
The Strangers: Prey at Night,2018-03-02,2018-03-09,,37.125
Free Solo,2018-09-21,2018-09-28,,62.0
Pad Man,2018-02-02,2018-02-09,,33.0
Mirai,2018-11-22,2018-11-29,,82.125
Default,2014-10-10,2014-10-17,,87.5
One Cut of the Dead,2019-09-06,2019-09-13,,64.5
The Happytime Murders,2018-08-17,2018-08-24,,28.125
Midnight Sun,2018-03-16,2018-03-23,,33.625
Hichki,2018-03-16,2018-03-23,,25.25
White Boy Rick,2018-09-07,2018-09-14,,44.125
"Paul, Apostle of Christ",2018-03-16,2018-03-23,,19.25
Stan & Ollie,2019-01-18,2019-01-25,,42.125
Padmaavat,2018-01-18,2018-01-25,,26.625
Won't You Be My Neighbor?,2018-06-22,2018-06-29,,51.625
Mojin: The Worm Valley,2018-12-28,2019-01-04,,41.125
