movie,startdate,releasedate,Text,mean_google_trend_popularity
Beasts of the Southern Wild,2012-06-20,2012-06-27,,42.625
The Secret Life of Walter Mitty,2013-12-18,2013-12-25,,50.0
American Dreams in China,2013-05-10,2013-05-17,,33.625
Sole a catinelle,2013-10-24,2013-10-31,,36.0
Stalingrad,2014-02-21,2014-02-28,,85.125
Firestorm,2013-12-12,2013-12-19,,75.875
Badges of Fury,2013-06-14,2013-06-21,,61.625
The White Storm,2013-11-28,2013-12-05,,67.25
Secretly Greatly,2013-05-29,2013-06-05,,59.125
Cold Eyes,2013-06-26,2013-07-03,,70.5
Blind Detective,2013-06-27,2013-07-04,,40.75
A Wedding Invitation,2013-04-05,2013-04-12,,74.75
Silent Witness,2013-09-06,2013-09-13,,66.375
The Suspect,2013-12-17,2013-12-24,,72.375
The Four 2,2015-07-31,2015-08-07,,69.125
The Stolen Years,2013-08-22,2013-08-29,,44.875
One Night Surprise,2013-08-02,2013-08-09,,37.75
Out of Inferno,2013-09-26,2013-10-03,,25.25
Baggage Claim,2013-09-20,2013-09-27,,34.0
Breakup Buddies,2014-09-23,2014-09-30,,38.0
Stand by Me Doraemon,2014-08-01,2014-08-08,,48.375
The Taking of Tiger Mountain,2015-05-07,2015-05-14,,54.875
The Breakup Guru,2014-06-20,2014-06-27,,21.25
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-03,2014-10-10,,32.0
Ode to My Father,2015-01-02,2015-01-09,,46.75
Fleet of Time,2014-11-28,2014-12-05,,55.5
Tiny Times 3.0,2014-07-10,2014-07-17,,24.625
Gone with the Bullets,2014-12-11,2014-12-18,,57.5
Spanish Affair,2014-03-07,2014-03-14,,29.75
Head Full of Honey,2018-11-23,2018-11-30,,35.75
"I, Frankenstein",2014-01-17,2014-01-24,,37.25
My Old Classmate,2014-04-18,2014-04-25,,12.5
Beijing Love Story,2014-02-07,2014-02-14,,21.625
The Pirate Fairy,2014-03-25,2014-04-01,,69.75
The Inbetweeners 2,2014-07-30,2014-08-06,,37.375
The White Haired Witch of Lunar Kingdom,2014-07-24,2014-07-31,,30.875
Miss Granny,2014-01-15,2014-01-22,,52.25
Supercondriaque,2014-02-19,2014-02-26,,43.375
Coming Home,2014-05-09,2014-05-16,,80.25
Love on the Cloud,2014-12-17,2014-12-24,,51.125
The Great Hypnotist,2014-04-22,2014-04-29,,12.5
Thermae Romae II,2014-04-19,2014-04-26,,33.0
Detective Conan: The Sniper from Another Dimension,2014-04-12,2014-04-19,,23.875
Rurouni Kenshin: The Legend Ends,2021-06-11,2021-06-18,,26.875
"As Above, So Below",2014-08-22,2014-08-29,,20.625
Recep Ivedik 4,2014-02-14,2014-02-21,,49.75
Samba,2015-07-17,2015-07-24,,94.25
Women Who Flirt,2014-11-19,2014-11-26,,34.0
Kundo: Age of the Rampant,2014-07-16,2014-07-23,,38.75
When Marnie Was There,2015-05-15,2015-05-22,,49.125
Tinker Bell and the Legend of the NeverBeast,2015-02-24,2015-03-03,,62.375
Tazza: The Hidden Card,2014-08-27,2014-09-03,,12.5
Rise of the Legend,2014-11-20,2014-11-27,,31.625
The Fatal Encounter,2014-04-23,2014-04-30,,38.0
Maya the Bee Movie,2015-04-24,2015-05-01,,56.125
The Divine Move,2014-06-26,2014-07-03,,29.125
Grace of Monaco,2015-05-18,2015-05-25,,40.875
"Love, Rosie",2015-01-30,2015-02-06,,68.25
Kung Fu Jungle,2014-10-24,2014-10-31,,34.5
Fading Gigolo,2014-04-11,2014-04-18,,46.125
Mojin: The Lost Legend,2015-12-11,2015-12-18,,33.875
Lost in Hong Kong,2015-09-18,2015-09-25,,24.125
Goodbye Mr. Loser,2015-10-02,2015-10-09,,39.375
Jian Bing Man,2015-07-10,2015-07-17,,35.5
Ip Man 3,2016-01-15,2016-01-22,,69.375
Monkey King: Hero Is Back,2016-07-22,2016-07-29,,44.375
Mr. Six,2015-12-17,2015-12-24,,39.75
Detective Chinatown,2016-01-08,2016-01-15,,27.875
Chronicles of the Ghostly Tribe,2015-09-23,2015-09-30,,67.25
The Little Prince,2016-07-29,2016-08-05,,40.375
Wolf Warrior,2017-07-20,2017-07-27,,67.625
Go Away Mr. Tumor,2015-08-07,2015-08-14,,18.625
The Left Ear,2015-04-17,2015-04-24,,54.0
A Violent Prosecutor,2016-01-27,2016-02-03,,33.375
Monk Comes Down the Mountain,2015-06-26,2015-07-03,,33.75
Zhongkui: Snow Girl and the Dark Crystal,2015-03-05,2015-03-12,,23.125
You Are My Sunshine,2015-04-23,2015-04-30,,69.125
The Boy and the Beast,2015-07-04,2015-07-11,,67.625
Inside Men,2015-11-12,2015-11-19,,79.875
Let's Get Married,2015-03-26,2015-04-02,,53.375
"McFarland, USA",2015-02-13,2015-02-20,,17.5
Legend,2015-11-13,2015-11-20,,91.125
Northern Limit Line,2015-07-10,2015-07-17,,55.5
The New Adventures of Aladdin,2015-10-07,2015-10-14,,12.5
Heidi,2015-12-03,2015-12-10,,91.75
The Witness,2016-05-27,2016-06-03,,84.625
Saving Mr. Wu,2015-09-25,2015-10-02,,19.5
Bride Wars,2009-01-02,2009-01-09,,43.125
Detective K: Secret of the Lost Island,2015-02-04,2015-02-11,,12.5
