,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
145,Bharat,32,51,,"['Drama', 'Action']",['AliAbbasZafar'],"['AtulAgnihotri', 'AlviraKhan', 'KrishanKumar']","['Jun 5', '2019']",2.9M
146,Brightburn,57,67,R,"['Horror', 'Sci-fi', 'Mystery&thriller']",['DavidYarovesky'],"['JamesGunn', 'KennethHuang']","['May 24', '2019']",17.3M
147,Fly Me to the Saitama,,,,"['Drama', 'Comedy']",['HidekiTakeuchi'],,,
148,UglyDolls,28,54,PG,"['Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']",['KellyAsbury'],"['JaneHartwell', 'RobertRodriguez']","['May 3', '2019']",20.1M
149,Stuber,42,79,R,"['Comedy', 'Action']",['MichaelDowse'],"['JonathanM.Goldstein', 'JohnFrancisDaley']","['Jul 12', '2019']",22.4M
150,Hit Me Anyone One More Time!,,,,"['Drama', 'Comedy']",['KokiMitani'],,,
151,Somewhere Winter,,,,"['Drama', 'Romance']",['Wei-MingWang'],,,
152,The Kid Who Would Be King,90,55,PG,"['Kids&family', 'Fantasy', 'Adventure']",['JoeCornish'],"['NiraPark', 'TimBevan', 'EricFellner']","['Jan 25', '2019']",16.8M
153,Two Tigers,,,,['Comedy'],['FeiLi'],,,
154,Anna,10,60,PG-13,['Drama'],['JustinLin'],"['DamienSaccani', 'MarkVahradian']","['Jan 27', '2006']",17.1M
155,My Dear Liar,,,,['Drama'],['AoShen'],,"['Nov 8', '2019']",90.5K
156,The Wild Goose Lake,,,,,,,,
157,My Hero Academia: Heroes Rising,90,98,PG-13,"['Anime', 'Action', 'Adventure']",['KenjiNagasaki'],,"['Feb 26', '2020']",13.3M
158,Fall In Love At First Kiss,,,,['Romance'],['FrankieChen'],,,
159,Gully Boy,96,81,,"['Drama', 'Music']",['ZoyaAkhtar'],"['FarhanAkhtar', 'ZoyaAkhtar', 'RiteshSidhwani']",,5.3M
160,Kim Ji-young: Born 1982,,,,,,,,
161,Pokémon: Mewtwo Strikes Back - Evolution,44,44,,"['Kids&family', 'Anime', 'Action', 'Adventure']",['KunihikoYuyama'],,,
162,Almost a Comedy,,,,,,,,
163,Total Dhamaal,30,40,,"['Comedy', 'Adventure']",['IndraKumar'],"['AshokThakeria', 'IndraKumar', 'AnandPandit']","['Feb 22', '2019']",2.2M
164,Missing Link,88,67,PG,"['Adventure', 'Kids&family', 'Comedy', 'Animation']",['ChrisButler'],"['ArianneSutner', 'TravisKnight']","['Apr 12', '2019']",16.6M
165,No Manches Frida 2,13,27,R,['Comedy'],['NachoG.Velilla'],"['EdwardAllen', 'MarthaHigareda', 'MauricioArgüelles', 'NachoG.Velilla']","['Mar 15', '2019']",9.3M
166,The Confidence Man JP,,,,,,,,
167,The Confidence Man JP: The Movie,,,,,,,,
168,"The Gangster, the Cop, the Devil",97,94,,"['Drama', 'Crime', 'Action', 'Mystery&thriller']",['Won-TaeLee'],"['JangWon-seok', 'BradenAftergood', 'MaDong-seok']","['Jun 7', '2019']",216.5K
169,Bodies at Rest,83,,,"['Drama', 'Mystery&thriller', 'Action', 'Crime']",['RennyHarlin'],['KimFungCheng'],,
170,Booksmart,96,77,R,"['Lgbtq+', 'Comedy']",['OliviaWilde'],"['MeganEllison', 'JessicaElbaum', 'KatieSilberman', 'ChelseaBarnard', 'DavidDistenfeld']","['May 24', '2019']",22.7M
171,Super 30,31,92,,"['Drama', 'Biography']",['VikasBahl'],['SajidNadiadwala'],"['Jul 12', '2019']",2.3M
172,Son of a Rich,,,,,,,,
173,Skyfire,52,,,"['Action', 'Mystery&thriller']",['SimonWest'],"['ChrisBremble', 'JenniferDong', 'JibPolhemus', 'EmmaShanWang']","['Feb 12', '2021']",
174,Start-Up,,,,,,,,
175,Pinocchio,,,PG-13,"['Fantasy', 'Animation', 'Musical']","['GuillermodelToro', 'MarkGustafson']","['GuillermodelToro', 'LisaHenson', 'CoreyCampodonico', 'GaryUngar']",,
176,A Rainy Day in New York,47,54,PG-13,['Comedy'],['WoodyAllen'],"['ErikaAronson', 'LettyAronson']","['Oct 9', '2020']",
177,The Peanut Butter Falcon,95,96,PG-13,"['Drama', 'Comedy', 'Adventure']","['TylerNilson', 'MichaelSchwartz']","['TimZajaros', 'ChristopherLemole', 'AlbertBerger', 'RonYerxa']","['Aug 23', '2019']",20.5M
178,Little White Lies 2,,,,,,,,
179,Ossan's Love: Love or Dead,,,,,,,,
180,Only Cloud Knows,75,78,,"['Drama', 'Romance']",['FengXiao-Gang'],,"['Dec 20', '2019']",
181,Dark Waters,89,95,PG-13,"['Drama', 'Mystery&thriller']",['ToddHaynes'],"['MarkRuffalo', 'ChristineVachon', 'PamelaKoffler']","['Dec 6', '2019']",11.1M
182,The Farewell,97,87,PG,"['Drama', 'Comedy']",['LuluWang'],"['ChrisWeitz', 'AndrewMiano', 'PeterSaraf', 'MarcTurtletaub', 'AnitaGou', 'DanieleTateMelia', 'JaneZheng', 'DaniMelia']","['Aug 2', '2019']",17.7M
183,The Knight of Shadows: Between Yin and Yang,,,,,['VashYanJia'],,,
184,Black and Blue,52,93,R,"['Crime', 'Action', 'Drama', 'Mystery&thriller']",['DeonTaylor'],['SeanSorensen'],"['Oct 25', '2019']",22.0M
185,Late Night,80,77,R,"['Comedy', 'Drama']",['NishaGanatra'],"['MindyKaling', 'HowardKlein', 'BenBrowning', 'JillianApfelbaum']","['Jun 14', '2019']",15.5M
186,Les Misérables,70,79,PG-13,"['Drama', 'History', 'Musical']",['TomHooper'],"['TimBevan', 'EricFellner', 'DebraHayward', 'CameronMackintosh']","['Dec 25', '2012']",148.8M
187,Crazy Romance,,,,,,,,
188,Shaft,34,94,R,"['Comedy', 'Action']",['TimStory'],['JohnDavis'],"['Jun 14', '2019']",21.4M
189,Unplanned,42,94,R,"['Drama', 'Biography']","['CarySolomon', 'ChuckKonzelman']","['ChrisJones', 'JoeKnopp', 'DarylC.Lefever', 'DarylLefever', 'CarySolomon', 'ChuckKonzelman']","['Mar 29', '2019']",19.0M
190,Hotel Mumbai,76,86,R,"['Mystery&thriller', 'Drama']",['AnthonyMaras'],"['BasilIwanyk', 'GaryHamilton', 'MikeGabrawy', 'JulieRyan', 'AndrewOgilvie', 'JomonThomas']","['Mar 29', '2019']",9.6M
191,Integrity,,,,,,,,
192,The Secret Mission,,0,,['Mystery&thriller'],['HaroldFrench'],,,
193,This Is Tomas,,,,,,,,
194,The Specials,47,55,R,['Comedy'],['CraigMazin'],"['MarkA.Altman', 'DanBates', 'RickMischel']","['Sep 18', '2000']",13.0K
195,Always Miss You,,,,['Romance'],['Hung-iChen'],,"['May 3', '2019']",87.1K
196,An Officer and a Spy,76,83,,"['Drama', 'History']",['RomanPolanski'],['AlainGoldman'],,
197,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,,,,"['Action', 'Adventure', 'Animation', 'Anime']",['MasakazuHashimoto'],,,
198,Greta,100,,,['Drama'],['ArmandoPraça'],"['NaraAragao', 'MaurícioMacêdo', 'ArmandoPraça']",,
199,Peppa Celebrates Chinese New Year,,,G,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['DapengZhang', 'MarkBaker', 'NevilleAstley', 'JorisvanHulzen', 'SarahRoper']",,"['Feb 5', '2019']",114.1K
