,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
47,47,Final Destination 5,157887643,42587643,27,115300000,73.0,62.0,52.0,R,StevenQuale,"CraigPerry,WarrenZide",8-12-2011,42600000.0,5.9,114071,movie,Final Destination 5,0,2011,92,"Action,Horror,Thriller"
48,48,Tower Heist,152930623,78046570,51,74884053,49.0,68.0,48.0,PG-13,BrettRatner,"BrianGrazer,EddieMurphy,KimRoth",11-4-2011,78000000.0,6.2,141242,movie,Tower Heist,0,2011,104,"Action,Comedy,Crime"
49,49,Midnight in Paris,151672318,56817045,37.5,94855273,62.5,,,,"JamesBlagden,RoniMoore",BenjaminGilovitz,,,7.7,414252,movie,Midnight in Paris,0,2011,94,"Comedy,Fantasy,Romance"
50,50,I Am Number Four,149878437,55100437,36.8,94778000,63.2,33.0,57.0,PG-13,D.J.Caruso,MichaelBay,2-18-2011,55100000.0,6.1,235811,movie,I Am Number Four,0,2011,111,"Action,Adventure,Sci-Fi"
51,51,Jack and Jill,149673788,74158157,49.5,75515631,50.5,3.0,36.0,PG,DennisDugan,"ToddGarner,AdamSandler,JackGiarraputo",11-11-2011,74200000.0,3.3,83335,movie,Jack and Jill,0,2011,91,Comedy
52,52,Friends with Benefits,149542245,55802754,37.3,93739491,62.7,68.0,65.0,R,WillGluck,"MartinShafer,LizGlotzer,JerryZucker,JanetZucker,WillGluck",7-22-2011,55800000.0,6.6,360189,movie,Friends with Benefits,0,2011,109,"Comedy,Romance"
53,53,No Strings Attached,149228077,70662220,47.4,78565857,52.6,48.0,51.0,R,IvanReitman,"IvanReitman,JoeMedjuck,JeffreyClifford",1-21-2011,70600000.0,6.2,226314,movie,No Strings Attached,0,2011,108,"Comedy,Romance"
54,54,Arthur Christmas,147419472,46462469,31.5,100957003,68.5,92.0,76.0,PG,SarahSmith,"PeterLord,DavidSproxton,CarlaShelley,StevePegram",11-23-2011,46400000.0,7.1,58151,movie,Arthur Christmas,0,2011,97,"Adventure,Animation,Comedy"
55,55,Source Code,147332697,54712227,37.1,92620470,62.9,92.0,82.0,PG-13,DuncanJones,"MarkGordon,PhilippeRousselet,JordanWynn",4-1-2011,54700000.0,7.5,509932,movie,Source Code,0,2011,93,"Action,Drama,Mystery"
56,56,"Crazy, Stupid, Love.",145051197,84351197,58.2,60700000,41.8,79.0,78.0,PG-13,"GlennFicarra,JohnRequa","SteveCarell,DeniseDiNovi",7-29-2011,84300000.0,7.4,506191,movie,"Crazy, Stupid, Love.",0,2011,118,"Comedy,Drama,Romance"
57,57,New Year's Eve,142044638,54544638,38.4,87500000,61.6,7.0,45.0,PG-13,GarryMarshall,"MikeKarz,WayneAllanRice,GarryMarshall",12-9-2011,54500000.0,5.6,85531,movie,New Year's Eve,0,2011,118,"Comedy,Romance"
58,58,Contagion,136515867,75658097,55.4,60857770,44.6,85.0,63.0,PG-13,StevenSoderbergh,"MichaelShamberg,StaceySher,GregoryJacobs",9-9-2011,75600000.0,6.8,299284,movie,Contagion,0,2011,106,"Drama,Thriller"
59,59,Unknown,135710029,63686397,46.9,72023632,53.1,55.0,55.0,PG-13,JaumeCollet-Serra,"JoelSilver,LeonardGoldberg,AndrewRona",2-18-2011,63700000.0,6.8,259144,movie,Unknown,0,2011,113,"Mystery,Thriller"
60,60,The Artist,133432856,44671682,33.5,88761174,66.5,,,,,,,,7.9,239126,movie,The Artist,0,2011,100,"Comedy,Drama,Romance"
61,61,The Artist,133432856,44671682,33.5,88761174,66.5,,,,,,,,7.1,10,movie,The Artist,0,2011,100,Thriller
62,62,The Three Musketeers,132274484,20374484,15.4,111900000,84.6,26.0,39.0,PG-13,PaulW.S.Anderson,"AndrewDavies,JeremyBolt,PaulW.S.Anderson,RobertKulzer",10-21-2011,20400000.0,5.7,107174,movie,The Three Musketeers,0,2011,110,"Action,Adventure,Fantasy"
63,63,We Bought a Zoo,120081841,75624550,63,44457291,37.0,65.0,71.0,PG,CameronCrowe,"JulieYorn,CameronCrowe,RickYorn",12-23-2011,75600000.0,7.1,141888,movie,We Bought a Zoo,0,2011,124,"Comedy,Drama,Family"
64,64,Hankyu Railways - A 15-minute Miracle,118799256,-,-,118799256,100.0,,,,,,,,6.7,224,movie,Hankyu densha,0,2011,119,Comedy
65,65,Water for Elephants,117094902,58709717,50.1,58385185,49.9,60.0,70.0,PG-13,FrancisLawrence,"GilNetter,ErwinStoff,AndrewR.Tennenbaum",4-22-2011,58700000.0,6.9,115448,movie,Water for Elephants,0,2011,122,"Drama,Romance"
66,66,The Iron Lady,115890699,30017992,25.9,85872707,74.1,52.0,51.0,PG-13,PhyllidaLloyd,DamianJones,12-30-2011,30000000.0,6.4,108154,movie,The Iron Lady,0,2011,105,"Biography,Drama"
67,67,Moneyball,110206216,75605492,68.6,34600724,31.4,94.0,86.0,PG-13,BennettMiller,"MichaelDeLuca,RachaelHorovitz,BradPitt",9-23-2011,75600000.0,7.6,408158,movie,Moneyball,0,2011,133,"Biography,Drama,Sport"
68,68,Justin Bieber: Never Say Never,99036827,73013910,73.7,26022917,26.3,65.0,65.0,G,JonM.Chu,"ScooterBraun,JustinBieber,L.A.Reid,Usher,DanCutforth,JaneLipsitz",2-11-2011,73000000.0,1.7,76210,movie,Justin Bieber: Never Say Never,0,2011,105,"Documentary,Music"
69,69,Paul,97984015,37412945,38.2,60571070,61.8,70.0,62.0,R,GregMottola,"NiraPark,TimBevan,EricFellner",3-18-2011,37400000.0,7.0,248618,movie,Paul,0,2011,104,"Adventure,Comedy,Sci-Fi"
70,70,Scream 4,97138686,38180928,39.3,58957758,60.7,61.0,56.0,R,WesCraven,"KevinWilliamson,IyaLabunka",4-15-2011,38200000.0,6.2,145348,movie,Scream 4,0,2011,111,"Horror,Mystery"
71,71,The Rite,96560591,33047633,34.2,63512958,65.8,21.0,40.0,PG-13,MikaelHåfström,"BeauFlynn,TrippVinson",1-28-2011,33000000.0,6.0,96592,movie,The Rite,0,2011,114,"Drama,Horror,Mystery"
72,72,Dolphin Tale,95932565,72286779,75.4,23645786,24.6,82.0,80.0,PG,CharlesMartinSmith,"AndrewA.Kosove,BroderickJohnson,RichardIngber",9-23-2011,72300000.0,6.8,24024,movie,Dolphin Tale,0,2011,113,"Drama,Family"
73,73,Season of the Witch,91627228,24827228,27.1,66800000,72.9,67.0,22.0,R,GeorgeA.Romero,NancyM.Romero,4-18-1973,,5.4,93497,movie,Season of the Witch,0,2011,95,"Action,Adventure,Fantasy"
74,74,Red Riding Hood,90260376,37662162,41.7,52598214,58.3,10.0,39.0,PG-13,CatherineHardwicke,"JenniferDavissonKilloran,LeonardoDiCaprio,JulieYorn",3-11-2011,37700000.0,5.4,111368,movie,Red Riding Hood,0,2011,100,"Fantasy,Horror,Mystery"
75,75,Sucker Punch,89792502,36392502,40.5,53400000,59.5,,27.0,R,MalcolmMartin,,,,6.1,240456,movie,Sucker Punch,0,2011,110,"Action,Adventure,Fantasy"
76,76,The Inbetweeners,88823111,36000,<0.1,88787111,100.0,54.0,70.0,R,BenPalmer,ChristopherYoung,9-7-2012,36.0K,6.7,81989,movie,The Inbetweeners Movie,0,2011,97,Comedy
77,77,The Lincoln Lawyer,86752352,58009200,66.9,28743152,33.1,83.0,82.0,R,BradFurman,"TomRosenberg,GaryLucchesi,SidneyKimmel,RichardS.Wright,ScottSteindorff",3-18-2011,58000000.0,7.3,230775,movie,The Lincoln Lawyer,0,2011,118,"Crime,Drama,Mystery"
78,78,Hall Pass,86157237,45060734,52.3,41096503,47.7,33.0,40.0,R,"PeterFarrelly,RobertFarrelly","PeterFarrelly,RobertFarrelly,BradleyThomas",2-25-2011,45000000.0,5.9,124799,movie,Hall Pass,0,2011,105,"Comedy,Romance"
79,79,Spy Kids 4: All the Time in the World,85564310,38538188,45,47026122,55.0,,,,,,,,3.5,25015,movie,Spy Kids 4: All the Time in the World,0,2011,89,"Action,Adventure,Animation"
80,80,J. Edgar,84920539,37306030,43.9,47614509,56.1,43.0,44.0,R,ClintEastwood,"ClintEastwood,BrianGrazer,RobertLorenz",11-11-2011,37300000.0,6.5,127480,movie,J. Edgar,0,2011,137,"Biography,Drama,Romance"
81,81,"Big Mommas: Like Father, Like Son",82686066,37915414,45.9,44770652,54.1,5.0,58.0,PG-13,JohnWhitesell,"DavidT.Friendly,MichaelGreen",2-18-2011,37900000.0,4.4,27205,movie,"Big Mommas: Like Father, Like Son",0,2011,107,"Action,Comedy,Crime"
82,82,Abduction,82087155,28087155,34.2,54000000,65.8,,20.0,,ErnieBarbarash,"RaymondLim,HenryLuk,AdamRenYuchen",6-7-2019,,5.1,79905,movie,Abduction,0,2011,106,"Action,Mystery,Thriller"
83,83,Abduction,82087155,28087155,34.2,54000000,65.8,,20.0,,ErnieBarbarash,"RaymondLim,HenryLuk,AdamRenYuchen",6-7-2019,,5.5,13,movie,Abduction,0,2011,84,"Horror,Thriller"
84,84,Tinker Tailor Soldier Spy,81244605,24149393,29.7,57095212,70.3,84.0,65.0,R,TomasAlfredson,"TimBevan,EricFellner,RobynSlovo",1-6-2012,24100000.0,7.0,198894,movie,Tinker Tailor Soldier Spy,0,2011,127,"Drama,Mystery,Thriller"
85,85,Priest,78309505,29137000,37.2,49172505,62.8,15.0,46.0,PG-13,ScottStewart,"MichaelDeLuca,JoshuaDonen,MitchellPeck",5-13-2011,29100000.0,5.7,119108,movie,Priest,0,2011,87,"Action,Adventure,Fantasy"
86,86,Drive,76976666,35061555,45.5,41915111,54.5,93.0,79.0,R,NicolasWindingRefn,"MarcPlatt,AdamSiegel,GigiPritzker,MichelLitvak,JohnPalermo",9-16-2011,35100000.0,7.8,614112,movie,Drive,0,2011,100,"Action,Drama"
87,87,The Ides of March,76338111,40962534,53.7,35375577,46.3,84.0,73.0,R,GeorgeClooney,"GrantHeslov,GeorgeClooney,BrianOliver",10-7-2011,41000000.0,7.1,221179,movie,The Ides of March,0,2011,101,"Drama,Thriller"
88,88,The Mechanic,76130093,29121498,38.3,47008595,61.7,53.0,51.0,R,SimonWest,"DavidWinkler,WilliamChartoff,RenéBesson",1-28-2011,29100000.0,6.5,158850,movie,The Mechanic,0,2011,93,"Action,Crime,Thriller"
89,89,The Change-Up,75450437,37081475,49.1,38368962,50.9,25.0,47.0,R,DavidDobkin,"DavidDobkin,NealH.Moritz",8-5-2011,37000000.0,6.3,179664,movie,The Change-Up,0,2011,112,"Comedy,Fantasy"
90,90,Larry Crowne,75055070,35608245,47.4,39446825,52.6,37.0,41.0,PG-13,TomHanks,"TomHanks,GaryGoetzman",7-1-2011,35600000.0,6.1,66895,movie,Larry Crowne,0,2011,98,"Comedy,Drama,Romance"
91,91,Diary of a Wimpy Kid: Rodrick Rules,72526996,52698535,72.7,19828461,27.3,47.0,62.0,PG,DavidBowers,"NinaJacobson,BradSimpson",3-25-2011,52700000.0,6.6,30329,movie,Diary of a Wimpy Kid: Rodrick Rules,0,2011,100,"Comedy,Family"
92,92,The Dilemma,69721966,48475290,69.5,21246676,30.5,24.0,29.0,PG-13,RonHoward,"BrianGrazer,VinceVaughn,RonHoward",1-14-2011,48400000.0,5.3,53830,movie,The Dilemma,0,2011,111,"Comedy,Drama"
93,93,Something Borrowed,65100369,39046489,60,26053880,40.0,15.0,48.0,PG-13,LukeGreenfield,"HilarySwank,MollySmith,BroderickJohnson,AndrewA.Kosove,AaronLubin,PamelaScheinMurphy",5-6-2011,39000000.0,5.8,61849,movie,Something Borrowed,0,2011,112,"Comedy,Drama,Romance"
94,94,The Darkest Hour,64626786,21443494,33.2,43183292,66.8,12.0,25.0,PG-13,ChrisGorak,"TomJacobson,TimurBekmambetov",12-25-2011,21400000.0,4.9,60850,movie,The Darkest Hour,0,2011,89,"Action,Adventure,Horror"
95,95,Hanna,63782078,40259119,63.1,23522959,36.9,71.0,66.0,PG-13,JoeWright,"LeslieHolleran,MartyAdelstein,ScottNemes",4-8-2011,40200000.0,6.8,197165,movie,Hanna,0,2011,111,"Action,Adventure,Drama"
96,96,Conan the Barbarian,63523283,21295021,33.5,42228262,66.5,25.0,30.0,R,MarcusNispel,"FredrikMalmberg,BoazDavidson,GeorgeFurla,DannyLerner,LesWeldon,JoeGatta,JohnBaldecchi,HenryWinterstern",8-19-2011,21300000.0,5.1,98368,movie,Conan the Barbarian,0,2011,113,"Action,Adventure,Fantasy"
97,97,Colombiana,63458440,36665854,57.8,26792586,42.2,27.0,67.0,PG-13,OlivierMegaton,"LucBesson,ArielZeitoun",8-26-2011,36700000.0,6.4,100270,movie,Colombiana,0,2011,108,"Action,Drama,Thriller"
98,98,From Up on Poppy Hill,61459425,1002895,1.6,60456530,98.4,86.0,79.0,PG,GoroMiyazaki,"TetsurôSayama,ToshioSuzuki,ChizuruTakahashi",3-15-2013,284.7K,7.4,42196,movie,Kokuriko-zaka kara,0,2011,91,"Animation,Comedy,Drama"
99,99,What a Beautiful Day,60661950,-,-,60661950,100.0,,,,,,,,6.3,5491,movie,Che bella giornata,0,2011,97,Comedy
100,100,One Day,59389433,13843771,23.3,45545662,76.7,36.0,49.0,PG-13,LoneScherfig,NinaJacobson,8-19-2011,13800000.0,7.0,149853,movie,One Day,0,2011,107,"Drama,Romance"
101,101,The Tree of Life,58409247,13303319,22.8,45105928,77.2,84.0,60.0,PG-13,TerrenceMalick,"SarahGreen,BillPohlad,BradPitt,DedeGardner,GrantHill",5-27-2011,13300000.0,6.8,175000,movie,The Tree of Life,0,2011,139,"Drama,Fantasy"
102,102,Beginning of the Great Revival,58309289,151000,0.3,58158289,99.7,25.0,28.0,,"SanpingHan,JianxinHuang",,,,2.9,6226,movie,Jian dang wei ye,0,2011,140,"Drama,History"
