,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
109,Little White Lies,42,64,,"['Drama', 'Comedy']",['GuillaumeCanet'],['AlainAttal'],"['Aug 24', '2012']",199.6K
110,From Paris with Love,37,54,R,"['Action', 'Adventure']",['PierreMorel'],['IndiaOsborne'],"['Feb 5', '2010']",24.0M
111,Detective Dee: The Mystery of the Phantom Flame,80,62,PG-13,"['Drama', 'History', 'Action', 'Mystery&thriller']",['HarkTsui'],"['PeggyLee', 'NansunShi', 'HarkTsui']","['Sep 2', '2011']",
112,Conference of Animals,,,,,,,,
113,Daybreakers,69,49,R,"['Horror', 'Sci-fi']","['MichaelSpierig', 'PeterSpierig']","['ChrisBrown', 'BryanFurst', 'SeanFurst']","['Jan 8', '2010']",30.0M
114,Alpha and Omega,18,41,PG,"['Kids&family', 'Animation', 'Comedy', 'Adventure']","['AnthonyBell', 'BenGluck']","['RichardRich', 'KenKatsumoto', 'SteveMoore']","['Sep 17', '2010']",25.1M
115,The Switch,,,,,,,,
116,Space Battleship Yamato,,54,,"['Sci-fi', 'Adventure']",['TakashiYamazaki'],,,
117,She's Out of My League,58,59,R,"['Romance', 'Comedy']",['JimFieldSmith'],"['JimmyMiller', 'DavidB.Householter']","['Mar 12', '2010']",31.6M
118,Death at a Funeral,43,45,R,['Comedy'],['NeilLaBute'],"['SidneyKimmel', 'WilliamHorberg', 'ChrisRock', 'ShareStallings', 'LaurenceMalkin']","['Apr 16', '2010']",42.7M
119,How Do You Know,31,25,PG-13,"['Comedy', 'Romance']",['JamesL.Brooks'],"['JamesL.Brooks', 'PaulaWeinstein', 'LaurenceMark', 'JulieAnsell']","['Dec 17', '2010']",30.2M
120,Charlie St. Cloud,28,60,PG-13,"['Drama', 'Fantasy', 'Romance']",['BurrSteers'],['MarcPlatt'],"['Jul 30', '2010']",31.1M
121,Heartbreaker,,,R,['Romance'],['FrankZuniga'],,,
122,Scott Pilgrim vs. the World,82,84,PG-13,"['Comedy', 'Romance', 'Action']",['EdgarWright'],"['MarcPlatt', 'EricGitter', 'NiraPark', 'EdgarWright']","['Aug 13', '2010']",32.8M
123,StreetDance 2,41,38,,"['Drama', 'Romance']","['MaxGiwa', 'DaniaPasquini']","['AllanNiblo', 'JamesRichardson', 'HenningFerber', 'MarcusWelke', 'MariaGraziaVairo']",,
124,Welcome to the South,,,,,,,,
125,Machete,72,63,R,['Action'],['RobertRodriguez'],"['RobertRodriguez', 'ElizabethAvellan', 'RickSchwartz']","['Sep 3', '2010']",26.6M
126,Confessions,81,88,,['Drama'],['TetsuyaNakashima'],"['YujiIshida', 'GenkiKawamura', 'YutakaSuzuki', 'YoshihiroKubota']",,
127,Avatar 2010 Special Edition,,,,,,,,
128,The Man from Nowhere,,,,['Drama'],['MattGreen'],"['MattGreen', 'ChrisDowling', 'JohnSullivan']",,
129,Of Gods and Men,92,75,PG-13,['Drama'],['XavierBeauvois'],"['PascalCaucheteux', 'EtienneComar']","['Feb 25', '2011']",4.0M
130,Boy,97,80,R,['Drama'],['RichardLinklater'],"['RichardLinklater', 'CathleenSutherland']","['Jul 18', '2014']",25.4M
131,When in Rome,17,41,PG-13,"['Comedy', 'Romance']",['MarkStevenJohnson'],"['GaryFoster', 'MarkStevenJohnson', 'AndrewPanay']","['Jan 29', '2010']",32.7M
132,My Name Is Khan,82,83,PG-13,['Drama'],['KaranJohar'],"['HirooJohar', 'GauriKhan']","['Feb 12', '2010']",4.0M
133,Going the Distance,,,,['Drama'],['UbongBasseyNya'],,,
134,Nodame Cantabile: The Movie II 2010 Re-release,,,,,,,,
135,SP: The Motion Picture I,,,,,,,,
136,Kokkuri-san: Gekijô-ban,,,,,,,,
137,For Colored Girls,32,73,R,['Drama'],['TylerPerry'],"['OzzieAreu', 'RogerM.Bobb', 'PaulHall']","['Nov 5', '2010']",37.7M
138,Detective Conan: The Lost Ship in the Sky,,,,,,,,
139,Secret Reunion,,,,,,,,
140,Furry Vengeance,7,32,PG,"['Comedy', 'Kids&family']",['RogerKumble'],"['RobertSimonds', 'KeithGoldberg']","['Apr 30', '2010']",17.6M
