,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
142,"McFarland, USA",80,88,PG,"['Drama', 'Biography']",['NikiCaro'],"['GordonGray', 'MarkCiardi']","['Feb 20', '2015']",44.5M
143,Hero,67,50,PG-13,"['Drama', 'Comedy']",['StephenFrears'],['LauraZiskin'],"['Oct 2', '1992']",18.2M
144,Still Alice,85,85,PG-13,['Drama'],"['RichardGlatzer', 'WashWestmoreland']","['LexLutzus', 'JamesBrown', 'PamelaKoffler']","['Jan 16', '2015']",18.8M
145,Max,38,70,PG,"['Adventure', 'Drama']",['BoazYakin'],"['KarenRosenfelt', 'KenBlancato']","['Jun 26', '2015']",42.7M
146,The DUFF,73,66,PG-13,"['Comedy', 'Romance']",['AriSandel'],"['McG', 'MaryViola', 'SusanCartsonis']","['Feb 20', '2015']",34.0M
147,Legend,68,68,PG-13,"['Horror', 'Drama', 'Sci-fi']",['FrancisLawrence'],"['AkivaGoldsman', 'JamesLassiter', 'DavidHeyman', 'NeilMoritz']","['Dec 14', '2007']",256.4M
148,The Gallows,14,22,R,"['Horror', 'Mystery&thriller']","['ChrisLofing', 'TravisCluff']","['JasonBlum', 'GuymonCasady', 'DeanSchnider', 'BenjaminForkner', 'ChrisLofing', 'TravisCluff']","['Jul 10', '2015']",22.8M
149,Love the Coopers,18,36,PG-13,"['Drama', 'Other', 'Comedy']",['JessieNelson'],"['MichaelLondon', 'JessieNelson', 'JaniceWilliams']","['Nov 13', '2015']",26.3M
150,The Throne,,77,,['Drama'],['LeeJoon-ik'],,,
151,The Lady in the Van,89,64,PG-13,"['Drama', 'Biography', 'Comedy']",['NicholasHytner'],"['NicholasHytner', 'DamianJones', 'KevinLoader']","['Feb 19', '2016']",10.0M
152,Ricki and the Flash,65,43,PG-13,"['Drama', 'Comedy']",['JonathanDemme'],"['MarcPlatt', 'GaryGoetzman', 'DiabloCody', 'MasonNovick']","['Aug 7', '2015']",26.8M
153,Spanish Affair 2,,,,,,,,
154,Carol,94,74,R,"['Lgbtq+', 'Romance', 'Drama']",['ToddHaynes'],"['ElizabethKarlsen', 'StephenWoolley', 'ChristineVachon']","['Jan 8', '2016']",12.7M
155,Northern Limit Line,,71,,"['Drama', 'History', 'War']",['KimHak-sun'],"['KimHak-sun', 'JeongMun-gu']","['Jul 17', '2015']",249.9K
156,Ex-Files 2: The Backup Strikes Back,,83,,"['Comedy', 'Romance']",['TianYuSheng'],,,105.0K
157,Criminal,30,47,R,"['Action', 'Mystery&thriller']",['ArielVromen'],"['J.C.Spink', 'JakeWeiner', ""MatthewO'Toole"", 'MarkGill', 'ChristaCampbell']","['Apr 15', '2016']",14.7M
158,Boruto: Naruto The Movie,,93,,"['Comedy', 'Anime', 'Action', 'Adventure']",['HiroyukiYamashita'],,,
159,The Lazarus Effect,16,23,PG-13,"['Horror', 'Mystery&thriller']",['DavidGelb'],"['JasonBlum', 'JimmyMiller', 'CodyZwieg']","['Feb 27', '2015']",25.8M
160,Helios,,,,,,,,
161,A Walk in the Woods,47,48,R,"['Adventure', 'Comedy']",['KenKwapis'],"['RobertRedford', 'BillHolderman', 'ChipDiggins']","['Sep 2', '2015']",29.5M
162,Ex Machina,92,86,R,"['Drama', 'Sci-fi', 'Mystery&thriller']",['AlexGarland'],"['AndrewMacdonald', 'AllonReich']","['Apr 24', '2015']",25.4M
163,Burnt,28,44,R,['Drama'],['JohnWells'],"['StaceySher', 'ErwinStoff', 'JohnWells']","['Oct 30', '2015']",13.7M
164,The Priests,,54,PG,"['Drama', 'Comedy']",['DinoRisi'],"['PioAngeletti', 'AdrianoDeMicheli']",,
165,The New Adventures of Aladdin,,21,,,['LionelSteketee'],,,
166,Heidi,100,81,,"['Drama', 'Kids&family', 'Adventure']",['AlainGsponer'],"['LukasHobi', 'UlrikePutz', 'JakobClaussen', 'RetoSchärli']",,
167,Room,93,93,R,['Drama'],['LennyAbrahamson'],"['EdGuiney', 'DavidGross']","['Jan 22', '2016']",14.7M
168,Lost and Love,50,49,,['Drama'],['SanyuanPeng'],['DajunZhang'],"['Mar 20', '2015']",187.0K
169,Secret in Their Eyes,39,41,PG-13,['Mystery&thriller'],['BillyRay'],"['MarkJohnson', 'MattJackson']","['Nov 20', '2015']",20.2M
170,"Dad, Where Are We Going 2",,,,,,,,
171,Doraemon: Nobita and the Space Heroes,,,,,,,,
172,Steve Jobs,85,73,R,"['Biography', 'Drama']",['DannyBoyle'],"['MarkGordon', 'GuymonCasady', 'ScottRudin', 'DannyBoyle', 'ChristianColson']","['Oct 23', '2015']",17.8M
173,Victor Frankenstein,26,35,PG-13,"['Horror', 'Drama', 'Sci-fi', 'Mystery&thriller']",['PaulMcGuigan'],['JohnDavis'],"['Nov 10', '2015']",5.7M
174,The Witness,90,77,,['Documentary'],['JamesD.Solomon'],['JamesD.Solomon'],"['Jun 3', '2016']",159.0K
