,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
38,Crazy Rich Asians,"238,532,921","174,532,921",73.2,"64,000,000",26.8,91.0,76.0,PG-13,JonM.Chu,"NinaJacobson,BradSimpson,JohnPenotti",8-15-2018,174500000.0,6.9,164919,movie,Crazy Rich Asians,0,2018,120,"Comedy,Drama,Romance"
39,Creed II,"214,215,889","115,715,889",54,"98,500,000",46,83.0,79.0,PG-13,StevenCapleJr.,"SylvesterStallone,KevinKingTempleton,CharlesWinkler,WilliamChartoff,DavidWinkler,IrwinWinkler",11-21-2018,115700000.0,7.1,120058,movie,Creed II,0,2018,130,"Drama,Sport"
40,Smallfoot,"214,040,103","83,240,103",38.9,"130,800,000",61.1,76.0,62.0,PG,KareyKirkpatrick,"BonneRadford,GlennFicarra,JohnRequa",9-28-2018,83200000.0,6.6,38539,movie,Smallfoot,0,2018,96,"Adventure,Animation,Comedy"
41,Us and Them,"209,221,380",-,-,"209,221,380",100,60.0,64.0,,JoeMartin,DanielleClark,3-16-2018,,7.4,4053,movie,Hou lai de wo men,0,2018,120,"Drama,Romance"
42,The Island,"198,326,350","670,883",0.3,"197,655,467",99.7,39.0,63.0,,MichaelBay,,,,6.2,1651,movie,Yi chu hao xi,0,2018,134,"Comedy,Drama"
43,The Island,"198,326,350","670,883",0.3,"197,655,467",99.7,39.0,63.0,,MichaelBay,,,,5.1,37,movie,The Island,0,2018,94,"Action,Thriller"
44,Christopher Robin,"197,744,377","99,215,042",50.2,"98,529,335",49.8,72.0,83.0,PG,MarcForster,"BrighamTaylor,KristinBurr",8-3-2018,99200000.0,7.2,75694,movie,Christopher Robin,0,2018,104,"Adventure,Comedy,Drama"
45,The Equalizer 2,"190,400,157","102,084,362",53.6,"88,315,795",46.4,52.0,60.0,R,AntoineFuqua,"ToddBlack,JasonBlumenthal,DenzelWashington,AntoineFuqua,AlexSiskin,SteveTisch,MaceNeufeld,TonyEldridge,MichaelSloan",7-20-2018,102000000.0,6.7,153306,movie,The Equalizer 2,0,2018,121,"Action,Crime,Thriller"
46,Project Gutenberg,"188,116,796",-,-,"188,116,796",100,83.0,77.0,,UnknownDirector,,,,6.8,4394,movie,Mou seung,0,2018,130,"Action,Crime,Mystery"
47,The Mule,"174,804,407","103,804,407",59.4,"71,000,000",40.6,,,,,,,,7.0,132070,movie,The Mule,0,2018,116,"Crime,Drama,Thriller"
48,The Nutcracker and the Four Realms,"173,961,069","54,858,851",31.5,"119,102,218",68.5,32.0,34.0,PG,"LasseHallström,JoeJohnston","MarkGordon,LarryJ.Franco",11-2-2018,54800000.0,5.5,32916,movie,The Nutcracker and the Four Realms,0,2018,99,"Adventure,Family,Fantasy"
49,Insidious: The Last Key,"167,885,588","67,745,330",40.4,"100,140,258",59.6,33.0,50.0,PG-13,AdamRobitel,"JasonBlum,OrenPeli,JamesWan",1-5-2018,67300000.0,5.7,58685,movie,Insidious: The Last Key,0,2018,103,"Horror,Mystery,Thriller"
50,The Predator,"160,542,134","51,024,708",31.8,"109,517,426",68.2,33.0,33.0,R,ShaneBlack,JohnDavis,9-14-2018,51000000.0,5.3,126050,movie,The Predator,0,2018,107,"Action,Adventure,Sci-Fi"
51,Johnny English Strikes Again,"158,970,776","4,412,170",2.8,"154,558,606",97.2,37.0,49.0,PG,DavidKerr,"ChrisClark,TimBevan,EricFellner,RowanAtkinson,RaphaëlBenoliel",10-26-2018,4300000.0,6.2,71900,movie,Johnny English Strikes Again,0,2018,89,"Action,Adventure,Comedy"
52,Red Sparrow,"151,572,634","46,874,505",30.9,"104,698,129",69.1,45.0,49.0,R,FrancisLawrence,"PeterChernin,DavidReady,JennoTopping,StevenZaillian",3-2-2018,46700000.0,6.6,181750,movie,Red Sparrow,0,2018,140,"Action,Drama,Thriller"
53,More Than Blue,"142,958,164","722,669",0.5,"142,235,495",99.5,,67.0,,GavinLin,,3-15-2019,721.8K,6.2,1140,movie,Bi bei shang geng bei shang de gu shi,0,2018,105,Romance
54,The First Purge,"137,056,262","69,488,745",50.7,"67,567,517",49.3,56.0,27.0,R,GerardMcMurray,"JasonBlum,MichaelBay,AndrewForm,BradFuller,SebastienK.Lemercier",7-4-2018,68900000.0,5.2,62356,movie,The First Purge,0,2018,97,"Action,Horror,Sci-Fi"
55,How Long Will I Love U,"136,796,719","746,933",0.5,"136,049,786",99.5,,86.0,,LunXu,,5-25-2018,740.1K,6.4,1009,movie,Chao shi kong tong ju,0,2018,101,"Comedy,Fantasy,Romance"
56,A Wrinkle in Time,"132,675,864","100,478,608",75.7,"32,197,256",24.3,42.0,26.0,PG,AvaDuVernay,"JamesWhitaker,CatherineHand",3-9-2018,100500000.0,4.2,44297,movie,A Wrinkle in Time,0,2018,109,"Adventure,Family,Fantasy"
57,The House with a Clock in Its Walls,"131,457,147","68,549,695",52.1,"62,907,452",47.9,65.0,45.0,PG,EliRoth,"BradleyJ.Fischer,JamesVanderbilt,EricKripke",9-21-2018,68500000.0,6.0,50688,movie,The House with a Clock in Its Walls,0,2018,105,"Comedy,Family,Fantasy"
58,Instant Family,"120,556,201","67,363,237",55.9,"53,192,964",44.1,81.0,82.0,PG-13,SeanAnders,"MarkWahlberg,StephenLevinson,SeanAnders,JohnMorris,MarcD.Evans",11-16-2018,67300000.0,7.3,103375,movie,Instant Family,0,2018,118,"Comedy,Drama"
59,A Cool Fish,"118,153,135","551,876",0.5,"117,601,259",99.5,20.0,88.0,,RaoXiaozhi,,11-16-2018,551.2K,6.9,1669,movie,Wu ming zhi bei,0,2018,109,Comedy
60,Game Night,"117,679,066","69,179,066",58.8,"48,500,000",41.2,85.0,77.0,R,"JohnFrancisDaley,JonathanM.Goldstein","JohnDavis,JasonBateman,JohnFox,JamesGaravente",2-23-2018,69000000.0,6.9,227825,movie,Game Night,0,2018,100,"Action,Adventure,Comedy"
61,Dragon Ball Super: Broly,"115,757,940","30,712,119",26.5,"85,045,821",73.5,82.0,92.0,PG,TatsuyaNagamine,,1-16-2019,30000000.0,7.8,25976,movie,Doragon bôru chô: Burorî,0,2018,100,"Action,Adventure,Animation"
62,The Monkey King 3,"115,084,576","187,074",0.2,"114,897,502",99.8,29.0,47.0,,Pou-SoiCheang,,2-16-2018,,5.5,1442,movie,Xi you ji zhi nü er guo,0,2018,114,"Action,Adventure,Family"
63,First Man,"105,697,415","44,936,545",42.5,"60,760,870",57.5,87.0,67.0,PG-13,DamienChazelle,"WyckGodfrey,MartyBowen,IsaacKlausner,DamienChazelle",10-12-2018,44800000.0,7.3,183776,movie,First Man,0,2018,141,"Biography,Drama,History"
64,Book Club,"104,438,188","68,566,296",65.7,"35,871,892",34.3,54.0,51.0,PG-13,BillHolderman,"AndrewDuncan,AlexSaks,BillHolderman,ErinSimms",5-18-2018,68500000.0,6.1,27713,movie,Book Club,0,2018,104,"Comedy,Drama,Romance"
65,Night School,"103,105,878","77,339,130",75,"25,766,748",25,26.0,38.0,PG-13,MalcolmD.Lee,"WillPacker,KevinHart",9-28-2018,77200000.0,5.6,39891,movie,Night School,0,2018,111,Comedy
66,Detective Conan: Zero the Enforcer,"101,860,359",-,-,"101,860,359",100,,83.0,,YuzuruTachikawa,,,,6.2,1514,movie,Meitantei Conan: Zero no Shikkônin,0,2018,115,"Action,Adventure,Animation"
67,Alpha,"98,203,196","35,857,181",36.5,"62,346,015",63.5,81.0,71.0,PG-13,AlbertHughes,"AndrewRona,AlbertHughes",8-17-2018,35900000.0,6.7,61241,movie,Alpha,0,2018,96,"Action,Adventure,Drama"
68,Along With the Gods: The Last 49 Days,"97,962,238","1,200,246",1.2,"96,761,992",98.8,44.0,77.0,,KimYong-hwa,ChoiJiseon,8-1-2018,1200000.0,7.1,6957,movie,Sin-gwa ham-kke: In-gwa yeon,0,2018,142,"Action,Drama,Fantasy"
69,A Simple Favor,"97,644,617","53,548,586",54.8,"44,096,031",45.2,84.0,73.0,R,PaulFeig,"PaulFeig,JessieHenderson",9-14-2018,53500000.0,6.8,144387,movie,A Simple Favor,0,2018,117,"Comedy,Crime,Mystery"
70,Boonie Bears: The Big Shrink,"96,845,907",-,-,"96,845,907",100,,,,,,,,5.4,206,movie,Boonie Bears: The Big Shrink,0,2018,90,Animation
71,The Favourite,"95,918,706","34,366,783",35.8,"61,551,923",64.2,93.0,70.0,R,YorgosLanthimos,"YorgosLanthimos,CeciDempsey,EdGuiney,LeeMagiday",12-14-2018,34200000.0,7.5,193355,movie,The Favourite,0,2018,119,"Biography,Comedy,Drama"
