Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Addams Family,2500,1134,992,374,0.5039787798
Rocketman,2500,1323,824,353,0.5787589499
Weathering with You,2500,1336,789,375,0.561659848
Downton Abbey,2500,1311,883,306,0.6215213358
The Lego Movie 2: The Second Part,2500,987,1238,275,0.5641838352
Abominable,2500,1193,767,540,0.3768032314
Ip Man 4: The Finale,21,3,14,4,-0.1428571429
Gemini Man,1067,511,343,213,0.4116022099
Spies in Disguise,2500,1323,381,796,0.248702218
Hustlers,2500,1161,824,515,0.3854415274
Escape Room,2500,1900,139,461,0.6094875053
Yesterday,2500,1298,590,612,0.3591623037
The Angry Birds Movie 2,2500,491,61,1948,-0.5973759738
Angel Has Fallen,2500,1178,350,972,0.09581395349
Ad Astra,2393,1187,804,402,0.4940213971
Midway,2500,1101,776,623,0.277262181
The Upside,2500,1399,663,438,0.5231355471
The Curse of La Llorona,2500,271,23,2206,-0.7811869197
Zombieland: Double Tap,2500,1271,846,383,0.5368802902
Last Christmas,2500,1291,798,411,0.5170387779
Dora and the Lost City of Gold,2500,834,78,1588,-0.3113129645
Wonder Park,2500,1736,551,213,0.7814263725
The Gentlemen,2500,1396,772,332,0.6157407407
Pet Sematary,2500,964,807,729,0.1388068517
Good Boys,2500,2178,115,207,0.8264150943
Scary Stories to Tell in the Dark,2500,471,128,1901,-0.6028667791
The Hustle,2500,1362,734,404,0.5424688562
Crawl,2500,960,771,769,0.1104684789
Five Feet Apart,2500,1045,1041,414,0.4324880055
Rambo: Last Blood,2500,899,907,694,0.12868801
Jojo Rabbit,2500,1299,692,509,0.4369469027
A Dog's Way Home,2500,1498,735,267,0.6974504249
Cold Pursuit,2500,1092,824,584,0.3031026253
A Dog's Journey,2500,922,1153,425,0.3689680772
A Madea Family Funeral,2110,638,242,1230,-0.3169164882
Cats,2500,1146,700,654,0.2733333333
Charlie's Angels,2500,969,784,747,0.1293706294
Doctor Sleep,2500,1271,717,512,0.4256870443
What Men Want,2500,1790,452,258,0.748046875
After,2500,1096,553,851,0.1258346174
Playing with Fire,2500,960,154,1386,-0.1815856777
A Beautiful Day in the Neighborhood,2500,2421,9,70,0.9437976716
War,2500,363,70,2067,-0.7012345679
Happy Death Day 2U,2500,1002,60,1438,-0.1786885246
Bombshell,2500,938,855,707,0.1404255319
Ashfall,1255,537,443,275,0.3226600985
Ma,806,294,346,166,0.2782608696
Ready or Not,2500,1995,184,321,0.7227979275
Hellboy,2500,1061,781,658,0.2344386271
Long Shot,2500,1354,572,574,0.4045643154
Breakthrough,2500,1511,674,315,0.6549835706
Just Mercy,2471,1770,162,539,0.5331312256
Uncut Gems,2500,1156,831,513,0.3852606351
21 Bridges,2500,1247,914,339,0.5725094578
The Grudge,2500,711,909,880,-0.1062225016
Little,2500,1404,494,602,0.3998005982
Isn't It Romantic,2500,1059,76,1365,-0.1262376238
Countdown,2500,1064,1017,419,0.4349291976
Midsommar,2500,980,824,696,0.169451074
Queen & Slim,2500,1053,950,497,0.3587096774
47 Meters Down: Uncaged,2500,783,1093,624,0.1130063966
Judy,2500,1248,715,537,0.3983193277
Child's Play,2500,2029,67,404,0.6678997123
Richard Jewell,2500,1006,590,904,0.05340314136
Harriet,2500,1273,705,522,0.4183844011
Fighting with My Family,2500,853,168,1479,-0.2684391081
Uri: The Surgical Strike,2500,1078,118,1304,-0.09487825357
Overcomer,2500,1412,768,320,0.6304849885
Pain and Glory,2500,1894,303,303,0.7241693218
The Intruder,2500,1076,940,484,0.3794871795
The Good Liar,2500,1105,69,1326,-0.09090909091
The Art of Racing in the Rain,2500,1051,862,587,0.2832722833
Bharat,2428,1148,770,510,0.384800965
Brightburn,2500,981,833,686,0.1769646071
UglyDolls,2500,1314,768,418,0.5173210162
Stuber,2500,1420,674,406,0.5553121577
The Kid Who Would Be King,2500,1093,1086,321,0.5459688826
Anna,2500,1100,794,606,0.2895662368
My Hero Academia: Heroes Rising,2500,2457,5,38,0.9695390782
Gully Boy,2500,1422,765,313,0.6391930836
Missing Link,2500,1653,188,659,0.4299307958
No Manches Frida 2,189,55,27,107,-0.3209876543
Booksmart,2500,1584,629,287,0.693212186
Super 30,2500,1795,486,219,0.7825223436
Pinocchio,2402,980,717,705,0.1632047478
The Peanut Butter Falcon,1858,890,765,203,0.6285452882
Dark Waters,2500,1129,697,674,0.2523571825
The Farewell,2500,1361,743,396,0.5492316448
Black and Blue,2500,1141,972,387,0.4934554974
Late Night,2500,1157,865,478,0.4152905199
Les Mis̩rables,2500,1136,1016,348,0.5309973046
Shaft,2500,1138,848,514,0.3777239709
Unplanned,2500,1143,701,656,0.2707059477
Hotel Mumbai,2500,882,759,859,0.01321079839
