Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets
Meppadiyan,510,203,242,65
Hridayam,2500,1433,756,311
Stop-Zemlia,80,24,43,13
The Pirates: The Last Royal Treasure,81,58,17,6
Swingers,2500,1155,851,494
Veerame Vaagai Soodum,689,214,365,110
Last Looks,869,361,315,193
Between Two Worlds,818,364,197,257
Badhaai Do,2500,1310,899,291
Aaraattu,1790,810,635,345
Mister Knockout,12,4,6,2
Serve the People,2500,1351,437,712
Valimai,1964,898,772,294
Ek Love Ya,482,329,134,19
Black Glasses,2500,1218,682,600
Bheemla Nayak,2500,1029,901,570
Aaja Mexico Challiye,264,57,186,21
Bheeshma Parvam,2500,750,1289,461
Hey Sinamika,2500,1217,1021,262
Desperate for Marriage,314,122,8,184
In Our Prime,2500,1444,269,787
Turning Red,2500,1180,865,455
The Exorcism of God,469,313,42,114
Master,2500,1184,728,588
Jane by Charlotte,361,133,202,26
Bachchhan Paandey,2500,842,838,820
Nitram,1646,672,573,401
Love Is Better Than Life,222,221,1,0
The Contractor,2500,1005,849,646
The Grandmother,2500,1150,579,771
Ambulance,2500,934,681,885
Eiffel,2235,951,826,458
The Bad Guys,2500,771,133,1596
The Duke,2500,1018,964,518
Black Box,2500,1106,819,575
