,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
100,My Little Pony: The Movie,"60,330,833","21,885,107",36.3,"38,445,726",63.7,47.0,77.0,PG,JaysonThiessen,"BrianGoldner,StephenDavis,MarciaGwendolynJones,HavenAlexander",10-6-2017,21800000.0,6.2,6870,movie,My Little Pony: The Movie,0,2017,99,"Adventure,Animation,Comedy"
101,Molly's Game,"59,284,015","28,780,744",48.5,"30,503,271",51.5,82.0,84.0,R,AaronSorkin,"MarkGordon,AmyPascal,MattJackson",1-5-2018,28700000.0,7.4,163915,movie,Molly's Game,0,2017,140,"Biography,Crime,Drama"
102,The Devotion of Suspect X,"59,035,664","686,435",1.2,"58,349,229",98.8,,65.0,,AlecSu,HyunwooThomasKim,3-31-2017,686.4K,6.2,847,movie,Xian yi ren X de xian shen,0,2017,112,"Crime,Thriller"
103,Shock Wave,"58,815,633",-,-,"58,815,633",100,67.0,56.0,,HermanYau,"AndyLau,AlvinLam,ChanPui-wah,EstherKoo,AliceChan",5-5-2017,,6.3,3466,movie,Chak daan juen ga,0,2017,119,"Action,Crime,Thriller"
104,Goldbuster,"57,628,292","186,135",0.3,"57,442,157",99.7,,,,,,,,4.4,256,movie,Yao ling ling,0,2017,89,"Comedy,Fantasy"
105,All the Money in the World,"56,996,304","25,113,707",44.1,"31,882,597",55.9,79.0,66.0,R,RidleyScott,"DanFriedkin,BradleyThomas,QuentinCurtis,ChrisClark,RidleyScott,MarkHuffam,KevinJ.Walsh",12-25-2017,24800000.0,6.8,83508,movie,All the Money in the World,0,2017,132,"Biography,Crime,Drama"
106,The Big Sick,"56,411,585","42,873,127",76,"13,538,458",24,98.0,88.0,R,MichaelShowalter,"JuddApatow,BarryMendel",7-14-2017,42900000.0,7.5,132191,movie,The Big Sick,0,2017,120,"Comedy,Drama,Romance"
107,Gongjo,"55,972,241","475,618",0.8,"55,496,623",99.2,,,,,,,,6.6,3199,movie,Gongjo,0,2017,124,"Action,Comedy,Drama"
108,All Eyez on Me,"55,668,698","44,922,302",80.7,"10,746,396",19.3,18.0,53.0,R,BennyBoom,"DavidRobinson,L.T.Hutton,JamesG.Robinson",6-16-2017,44900000.0,5.8,22856,movie,All Eyez on Me,0,2017,139,"Biography,Drama,Music"
109,Downsizing,"55,003,890","24,449,754",44.5,"30,554,136",55.5,47.0,23.0,R,AlexanderPayne,"MeganEllison,MarkJohnson,AlexanderPayne,JimTaylor,JimBurke",12-22-2017,24400000.0,5.7,107640,movie,Downsizing,0,2017,135,"Drama,Fantasy,Sci-Fi"
110,"I, Tonya","53,939,297","30,014,539",55.6,"23,924,758",44.4,,,,,,,,7.5,207503,movie,"I, Tonya",0,2017,119,"Biography,Comedy,Drama"
111,1987: When the Day Comes,"53,834,292",-,-,"53,834,292",100,82.0,95.0,,JangJoon-hwan,,,,7.8,4846,movie,1987,0,2017,129,Drama
112,The Outlaws,"52,946,454",-,-,"52,946,454",100,91.0,79.0,,KangYunseong,YooYeong-chae,,,7.2,6342,movie,Beomjoidosi,0,2017,121,"Action,Crime,Thriller"
113,Bleeding Steel,"48,825,526",-,-,"48,825,526",100,22.0,23.0,R,LeoZhang,"PaulCurrie,KailuoLiu,JavierZhang",7-6-2018,,5.1,9898,movie,Ji qi zhi xue,0,2017,109,"Action,Sci-Fi,Thriller"
114,Logan Lucky,"48,453,605","27,780,977",57.3,"20,672,628",42.7,92.0,76.0,PG-13,StevenSoderbergh,"GregoryJacobs,MarkJohnson,ChanningTatum,ReidCarolin",8-18-2017,27800000.0,7.0,145930,movie,Logan Lucky,0,2017,118,"Action,Comedy,Crime"
115,Boo 2! A Madea Halloween,"48,333,932","47,319,572",97.9,"1,014,360",2.1,4.0,40.0,PG-13,TylerPerry,"TylerPerry,MarkE.Swinton,WillAreu,OzzieAreu",10-20-2017,47300000.0,3.8,4700,movie,Tyler Perry's Boo 2! A Madea Halloween,0,2017,101,"Comedy,Drama,Horror"
116,Sky Hunter,"48,065,601",-,-,"48,065,601",100,14.0,50.0,,ChenLi,,,,6.1,2701,movie,Kong tian lie,0,2017,115,"Action,Drama,Romance"
117,Phantom Thread,"47,756,590","21,198,205",44.4,"26,558,385",55.6,91.0,71.0,R,PaulThomasAnderson,"JoAnneSellar,PaulThomasAnderson,MeganEllison,DanielLupi",1-19-2018,20900000.0,7.4,127884,movie,Phantom Thread,0,2017,130,"Drama,Romance"
118,Rough Night,"47,347,283","22,105,643",46.7,"25,241,640",53.3,45.0,29.0,R,LuciaAniello,"MatthewTolmach,LuciaAniello,PaulW.Downs,DaveBecky",6-16-2017,22100000.0,5.2,51282,movie,Rough Night,0,2017,101,Comedy
119,Son of Bigfoot,"47,046,281","289,308",0.6,"46,756,973",99.4,76.0,41.0,PG,"JeremyDegruson,BenStassen",,5-4-2018,,6.1,7008,movie,The Son of Bigfoot,0,2017,92,"Adventure,Animation,Comedy"
120,Three Seconds,"46,596,415",-,-,"46,596,415",100,,100.0,,DanielG.Karslake,"MichaelHuffington,DanielG.Karslake,HelenR.Mendoza",,,6.7,4836,movie,Dvizhenie vverkh,0,2017,133,"Biography,Drama,Sport"
121,The Thousand Faces of Dunjia,"46,263,237","124,187",0.3,"46,139,050",99.7,33.0,50.0,,Woo-PingYuen,HarkTsui,12-15-2017,57.8K,5.4,1272,movie,Qimen Dunjia,0,2017,113,"Action,Adventure,Fantasy"
122,The Battleship Island,"46,183,383","1,104,957",2.4,"45,078,426",97.6,67.0,80.0,,RyooSeung-wan,JoSeong-min,7-28-2017,1100000.0,7.1,6955,movie,Gunhamdo,0,2017,132,"Action,Drama,History"
123,Hanson and the Beast,"46,154,323",-,-,"46,154,323",100,,,,YangXiao,,,,5.2,527,movie,Er dai yao jing,0,2017,110,"Comedy,Fantasy,Romance"
124,Gintama Live Action the Movie,"45,746,967",-,-,"45,746,967",100,,,,,,,,6.1,2409,movie,Gintama,0,2017,131,"Action,Adventure,Comedy"
125,Guilty of Mind,"45,698,503",-,-,"45,698,503",100,,,,,,,,4.8,154,movie,Xin li zui,0,2017,110,"Action,Crime,Drama"
126,Flatliners,"45,158,254","16,883,115",37.4,"28,275,139",62.6,4.0,32.0,PG-13,NielsArdenOplev,"LaurenceMark,MichaelDouglas,PeterSafran",9-29-2017,16900000.0,5.2,46185,movie,Flatliners,0,2017,109,"Drama,Horror,Mystery"
127,Bad Genius,"44,560,421",-,-,"44,560,421",100,100.0,93.0,,NattawutPoonpiriya,"VanrideePongsittisak,ChenchonneeSoonthonsaratul,SuwimonTechasupinan,WeerachaiYaikwawong",,,7.6,20331,movie,Chalard games goeng,0,2017,130,"Comedy,Crime,Drama"
128,Mother!,"44,516,999","17,800,004",40,"26,716,995",60,68.0,51.0,R,DarrenAronofsky,"DarrenAronofsky,ScottFranklin,AriHandel",9-15-2017,17800000.0,6.6,215663,movie,Mother!,0,2017,121,"Drama,Horror,Mystery"
129,Wind River,"43,980,821","33,800,859",76.9,"10,179,962",23.1,87.0,90.0,R,TaylorSheridan,"PeterBerg,WayneL.Rogers,MatthewGeorge,BasilIwanyk,ElizabethA.Bell",8-18-2017,33800000.0,7.7,241067,movie,Wind River,0,2017,107,"Crime,Drama,Mystery"
130,Battle of Memories,"43,892,362","594,552",1.4,"43,297,810",98.6,57.0,62.0,,LesteChen,TinaShi,4-28-2017,571.0K,6.4,1066,movie,Ji yi da shi,0,2017,119,"Fantasy,Mystery,Sci-Fi"
131,The Snowman,"43,155,261","6,700,035",15.5,"36,455,226",84.5,6.0,18.0,R,TomasAlfredson,"TimBevan,EricFellner,PeterGustafsson,RobynSlovo",10-20-2017,6700000.0,5.1,62590,movie,The Snowman,0,2017,119,"Crime,Drama,Thriller"
132,Gifted,"43,046,590","24,801,212",57.6,"18,245,378",42.4,73.0,85.0,PG-13,MarcWebb,"KarenLunder,AndyCohen",4-12-2017,24800000.0,7.6,112448,movie,Gifted,0,2017,101,Drama
133,Loving Vincent,"42,187,665","6,735,118",16,"35,452,547",84,84.0,86.0,PG-13,"DorotaKobiela,HughWelchman",,9-22-2017,6500000.0,7.8,56503,movie,Loving Vincent,0,2017,94,"Animation,Biography,Crime"
134,Mary and the Witch's Flower,"41,978,431","2,418,404",5.8,"39,560,027",94.2,89.0,70.0,PG,HiromasaYonebayashi,,1-19-2018,2000000.0,6.8,13984,movie,Meari to majo no hana,0,2017,103,"Adventure,Animation,Family"
135,Call Me by Your Name,"41,887,595","18,095,701",43.2,"23,791,894",56.8,94.0,86.0,R,LucaGuadagnino,"PeterSpears,LucaGuadagnino,EmilieGeorges,RodrigoTeixeira,MarcoMorabito",1-19-2018,18000000.0,7.9,254580,movie,Call Me by Your Name,0,2017,132,"Drama,Romance"
136,T2 Trainspotting,"41,681,746","2,402,004",5.8,"39,279,742",94.2,81.0,78.0,R,DannyBoyle,"AndrewMacdonald,DannyBoyle,ChristianColson,BernardBellew",3-17-2017,2400000.0,7.2,121910,movie,T2 Trainspotting,0,2017,117,Drama
137,Fist Fight,"41,087,017","32,187,017",78.3,"8,900,000",21.7,25.0,40.0,R,RichieKeen,"ShawnLevy,MaxGreenfield,JohnRickard,DanCohen",2-17-2017,32200000.000000004,5.6,42217,movie,Fist Fight,0,2017,91,Comedy
138,The Circle,"40,656,399","20,497,844",50.4,"20,158,555",49.6,,,,,,,,4.8,476,movie,The Circle,0,2017,93,"Drama,Horror,Thriller"
139,The Circle,"40,656,399","20,497,844",50.4,"20,158,555",49.6,,,,,,,,5.3,90925,movie,The Circle,0,2017,110,"Drama,Sci-Fi,Thriller"
140,Diary of a Wimpy Kid: The Long Haul,"40,140,972","20,738,724",51.7,"19,402,248",48.3,18.0,31.0,PG,DavidBowers,"NinaJacobson,BradSimpson",5-19-2017,20700000.0,4.3,8828,movie,Diary of a Wimpy Kid: The Long Haul,0,2017,91,"Adventure,Comedy,Family"
141,Brotherhood of Blades 2,"39,966,092","14,204",<0.1,"39,951,888",100,,74.0,,YangLu,,12-1-2017,13.8K,6.6,1904,movie,Xiu chun dao II: xiu luo zhan chang,0,2017,120,"Action,Adventure,Drama"
142,Midnight Runners,"39,730,433",-,-,"39,730,433",100,,,,HannesBaumgartner,,,,7.3,6971,movie,Cheong-nyeon-gyeong-chal,0,2017,109,"Action,Comedy,Crime"
143,The King,"37,886,707",-,-,"37,886,707",100,51.0,76.0,R,PeterBerg,"MichaelMann,ScottStuber",9-28-2007,47500000.0,6.9,1969,movie,Deoking,0,2017,134,"Action,Crime,Drama"
144,The King,"37,886,707",-,-,"37,886,707",100,51.0,76.0,R,PeterBerg,"MichaelMann,ScottStuber",9-28-2007,47500000.0,6.8,1170,movie,The King,0,2017,107,Documentary
