Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
The Dilemma,2500,1155,137,1208,-0.02242911553
Something Borrowed,2500,1155,1075,270,0.6210526316
The Darkest Hour,2500,358,68,2074,-0.7055921053
Hanna,2500,1230,805,465,0.4513274336
Conan the Barbarian,2500,687,1435,378,0.2901408451
Colombiana,2500,1018,1060,422,0.4138888889
From Up on Poppy Hill,1653,511,1041,101,0.6699346405
One Day,2500,1385,629,486,0.4804917157
The Tree of Life,2500,995,1264,241,0.6100323625
Killer Elite,2500,451,170,1879,-0.6128755365
Silent Hill: Revelation,2500,683,1456,361,0.3084291188
Extremely Loud & Incredibly Close,2500,1229,771,500,0.4216310006
Madea's Big Happy Family,2500,2398,17,85,0.9315344342
Winnie the Pooh,2500,1320,948,232,0.7010309278
Arthur,2428,1139,892,397,0.4830729167
Soul Surfer,2500,1385,812,303,0.6409952607
The Debt,2500,861,135,1504,-0.2718816068
Beastly,2500,1262,925,313,0.6025396825
Shaolin,2500,936,1022,542,0.2665764547
Born to Be Wild,2500,999,1337,164,0.7179707653
Shark Night,2500,721,1224,555,0.1300940439
50/50,2500,1140,808,552,0.3475177305
Fright Night,2500,810,163,1527,-0.3068035944
Drive Angry,2500,601,133,1766,-0.4921841994
30 Minutes or Less,2500,1222,983,295,0.6110744891
The Roommate,2500,1014,1027,459,0.3767820774
Dream House,2500,1810,176,514,0.5576592083
Monte Carlo,2500,1342,858,300,0.634591961
Mars Needs Moms,2500,643,927,930,-0.1824539097
Don't Be Afraid of the Dark,2500,602,1251,647,-0.03602882306
Jumping the Broom,2500,1479,828,193,0.769138756
One for the Money,2500,789,1492,219,0.5654761905
The Eagle,2500,960,1285,255,0.5802469136
A Very Harold & Kumar Christmas,2500,580,1780,140,0.6111111111
Ra.One,2500,1166,972,362,0.5261780105
Courageous,2500,2219,124,157,0.8678451178
My Week with Marilyn,2500,1210,1095,195,0.7224199288
The Sitter,2500,991,1134,375,0.4509516837
Jane Eyre,2500,1258,789,453,0.4704850964
The Skin I Live In,2500,691,1386,423,0.2405745063
The Thing,2500,980,783,737,0.1415259173
I Don't Know How She Does It,2500,680,1495,325,0.3532338308
African Cats,2500,1077,1168,255,0.6171171171
Carnage,2500,1025,1030,445,0.3945578231
A Dangerous Method,2500,315,113,2072,-0.7360703812
What's Your Number?,2500,2224,70,206,0.8304526749
The Rum Diary,2500,870,1262,368,0.4054927302
The Sorcerer and the White Snake,625,131,461,33,0.5975609756
Your Highness,2500,1166,875,459,0.4350769231
Apollo 18,2500,764,962,774,-0.006501950585
Our Idiot Brother,2500,675,172,1653,-0.4201030928
Warrior,2500,1211,919,370,0.531941809
Hoodwinked 2: Hood vs. Evil,204,124,10,70,0.2783505155
Young Adult,2500,1230,719,551,0.3812464907
A Separation,2500,1312,880,308,0.6197530864
