Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Jade Dynasty,1000,431,411,158,46.34974533
Nezha Reborn,733,299,324,110,46.21026895
Aaja Mexico Challiye,264,57,186,21,46.15384615
Spanish Affair 2,70,27,33,10,45.94594595
Arthur Rambo,17,8,6,3,45.45454545
Youth,2500,1204,838,458,44.8856799
The Policeman's Lineage,152,55,76,21,44.73684211
Along With the Gods: The Last 49 Days,383,115,224,44,44.65408805
Turning Red,2500,1180,865,455,44.34250765
The Man Standing Next,412,209,122,81,44.13793103
Line Walker,327,77,220,30,43.92523364
Wolf Warrior,532,123,361,48,43.85964912
The White Storm 2: Drug Lords,145,46,81,18,43.75
The Thousand Faces of Dunjia,174,33,128,13,43.47826087
Evangelion: 3.0 You Can (Not) Redo,912,137,721,54,43.45549738
Nicholas on Holiday,9,5,2,2,42.85714286
Operation Mekong,249,60,165,24,42.85714286
Mr. Donkey,185,75,80,30,42.85714286
The Vault,2500,1166,856,478,41.84914842
The Asadas,229,99,89,41,41.42857143
Detective Chinatown 3,548,205,258,85,41.37931034
Ayyappanum Koshiyum,1610,587,779,244,41.2755716
I Can Speak,2500,1309,640,551,40.75268817
The Left Ear,1074,520,335,219,40.73071719
Mrs. Brown's Boys D'Movie,2500,990,1092,418,40.625
Aaraattu,1790,810,635,345,40.25974026
Skyfire,717,311,273,133,40.09009009
Swingers,2500,1155,851,494,40.08489994
All About My Mother,216,84,96,36,40
Fading Gigolo,2500,933,1162,405,39.46188341
"I, Tonya",2500,1100,919,481,39.15243517
The Wailing,2077,839,871,367,39.13764511
The Specials,2500,1128,876,496,38.91625616
Mirai,309,143,103,63,38.83495146
Gantz,253,111,93,49,38.75
Hollywoo,1411,595,553,263,38.69463869
Long Day's Journey Into Night,252,95,115,42,38.68613139
The Battleship Island,1137,418,532,187,38.18181818
Sacrifice,2500,1470,371,659,38.09300141
The Four 2,1059,421,448,190,37.80687398
Bodies at Rest,136,55,56,25,37.5
League of Gods,836,282,423,131,36.56174334
The Prot̩g̩,2500,1086,909,505,36.51791326
Architecture 101,369,148,152,69,36.40552995
Chasing the Dragon II: Wild Wild Bunch,67,15,45,7,36.36363636
Detective Chinatown 2,344,96,203,45,36.17021277
The Sacrifice,2500,1412,426,662,36.16200579
Operation Red Sea,437,131,244,62,35.75129534
The Breakup Guru,120,19,92,9,35.71428571
The Island,2500,1224,690,586,35.24861878
From Vegas to Macau III,194,52,117,25,35.06493506
Billy Lynn's Long Halftime Walk,2500,626,1573,301,35.05933118
Out of Inferno,149,54,69,26,35
Eiffel,2235,951,826,458,34.98935415
Silent Witness,823,296,384,143,34.85193622
The Boy and the Beast,538,105,382,51,34.61538462
Black Glasses,2500,1218,682,600,33.99339934
Flight Crew,2500,1165,759,576,33.83113153
Norwegian Wood,2500,981,1033,486,33.74233129
Fireworks,2500,1172,746,582,33.63740023
Master,2500,1184,728,588,33.63431151
Rust and Bone,1609,648,639,322,33.60824742
Aftershock,2500,1028,959,513,33.41985724
The Floating Castle,39,16,15,8,33.33333333
The Kiyosu Conference,10,2,7,1,33.33333333
Fleet of Time,134,12,116,6,33.33333333
Hit Me Anyone One More Time!,12,6,3,3,33.33333333
My Mom is a Character 3,26,10,11,5,33.33333333
Krime Story,4,2,1,1,33.33333333
Mister Knockout,12,4,6,2,33.33333333
Greta,2500,1253,620,627,33.29787234
"I, Frankenstein",2497,1039,937,521,33.20512821
An Officer and a Spy,220,113,50,57,32.94117647
The Duke,2500,1018,964,518,32.55208333
Coming Home,2500,972,1029,499,32.1549966
The Heist of the Century,91,37,35,19,32.14285714
Veerame Vaagai Soodum,689,214,365,110,32.09876543
Default,2500,1082,859,559,31.87081048
"My People, My Country",824,457,130,237,31.70028818
Black Box,2500,1106,819,575,31.58834027
Go Brother!,2500,1342,452,706,31.0546875
Serve the People,2500,1351,437,712,30.97430926
Gooische vrouwen,41,17,15,9,30.76923077
Last Looks,869,361,315,193,30.32490975
Sink or Swim,2500,1101,808,591,30.14184397
Northern Limit Line,1119,378,538,203,30.12048193
Golden Job,308,119,125,64,30.05464481
Stop-Zemlia,80,24,43,13,29.72972973
In Our Prime,2500,1444,269,787,29.44867772
The Wild Goose Lake,96,42,31,23,29.23076923
Vakeel Saab,1893,846,582,465,29.0617849
Break the Silence: The Movie,2500,941,1039,520,28.81587953
Shin Godzilla,1753,624,784,345,28.79256966
Europe Raiders,1639,649,631,359,28.76984127
The Ice Road,2500,967,998,535,28.76165113
Bheemla Nayak,2500,1029,901,570,28.7054409
My Brothers and I,2500,1362,378,760,28.36946277
Soul,2500,1223,593,684,28.26428946
The Witness,2500,891,1108,501,28.01724138
Quo vado?,97,22,62,13,25.71428571
Ip Man 3,2500,672,1429,399,25.49019608
Head Full of Honey,203,42,136,25,25.37313433
Nitram,1646,672,573,401,25.25629077
The Founding of an Army,379,60,283,36,25
My Mom Is a Character 2,25,10,9,6,25
Us and Them,2500,987,920,593,24.93670886
Tolo Tolo,106,28,61,17,24.44444444
Bait,2500,959,952,589,23.90180879
Bheeshma Parvam,2500,750,1289,461,23.86457473
"My Country, My Parents",635,333,88,214,21.75502742
The Contractor,2500,1005,849,646,21.74439733
This Is Not What I Expected,623,189,312,122,21.54340836
Mayday,1319,526,451,342,21.19815668
Beasts Clawing at Straws,87,38,24,25,20.63492063
The Grandmother,2500,1150,579,771,19.72930765
The Front Line,2500,1067,700,733,18.55555556
83,2047,785,720,542,18.31198191
Buddies in India,92,36,31,25,18.03278689
Caught in Time,2500,1174,510,816,17.98994975
Conquest 1453,105,23,66,16,17.94871795
Between Two Worlds,818,364,197,257,17.23027375
Antebellum,2500,929,911,660,16.92888609
Twiceborn,1432,593,412,427,16.2745098
De Gaulle,559,215,188,156,15.90296496
The Eleventh Chapter,43,11,24,8,15.78947368
Stand by Me Doraemon,1056,210,692,154,15.38461538
Dying to Survive,75,24,33,18,14.28571429
Fukushima 50,24,8,10,6,14.28571429
Mojin: The Worm Valley,96,21,59,16,13.51351351
1921,1374,512,469,393,13.14917127
P Storm,158,48,73,37,12.94117647
Stalingrad,2500,485,1632,383,11.75115207
Shock Wave,2500,836,960,704,8.571428571
Sheep Without a Shepherd,192,93,20,79,8.139534884
Thugs of Hindostan,2500,820,970,710,7.189542484
Steel Rain,235,95,57,83,6.741573034
Chasing the Dragon,990,228,557,205,5.311778291
Firestorm,2500,778,1022,700,5.277401894
The Marriage Escape,24,12,1,11,4.347826087
Sinkhole,2500,870,812,818,3.08056872
Chinese Doctors,1678,692,334,652,2.976190476
"As Above, So Below",2500,697,1145,658,2.878228782
Ambulance,2500,934,681,885,2.693787795
Saving Mr. Wu,215,61,95,59,1.666666667
Bachchhan Paandey,2500,842,838,820,1.323706378
22 Bullets,38,8,22,8,0
"The Chef, The Actor, The Scoundrel",27,4,19,4,0
Midsummer's Equation,7,1,5,1,0
Monk Comes Down the Mountain,418,21,376,21,0
The Crimes That Bind,8,2,4,2,0
The Accidental Detective 2: In Action,78,38,2,38,0
The Snow Queen 3: Fire and Ice,2,1,0,1,0
A Witness Out of the Blue,37,11,15,11,0
The Real Exorcist,231,94,43,94,0
New Interpretation Records of the Three Kingdoms,7,1,5,1,0
Boiling Point,2500,970,526,1004,-1.722391084
Bleeding Steel,281,87,101,93,-3.333333333
Crazy Alien,236,83,63,90,-4.046242775
Qualunquemente,73,9,54,10,-5.263157895
Baragaki: Unbroken Samurai,23,8,6,9,-5.882352941
Gone with the Bullets,856,307,198,351,-6.686930091
I Am Not Madame Bovary,295,95,91,109,-6.862745098
Lost in Thailand,40,17,3,20,-8.108108108
Mia and the White Lion,381,156,39,186,-8.771929825
My Dear Liar,117,50,2,65,-13.04347826
Shock Wave 2,128,47,19,62,-13.76146789
A Violent Prosecutor,453,172,40,241,-16.70702179
Chronicles of the Ghostly Tribe,166,7,149,10,-17.64705882
Kung Fu Yoga,2393,769,518,1106,-17.97333333
Hard Hit,2500,972,109,1419,-18.69510665
Desperate for Marriage,314,122,8,184,-20.26143791
Cindy La Regia,96,11,68,17,-21.42857143
Unfair: The Answer,76,29,2,45,-21.62162162
Little White Lies 2,9,3,1,5,-25
The Voice of Sin,541,195,13,333,-26.13636364
Lost in Hong Kong,1389,433,150,806,-30.10492333
71: Into the Fire,378,106,72,200,-30.71895425
The Battle: Roar to Victory,142,46,9,87,-30.82706767
A Rainy Day in New York,625,194,33,398,-34.45945946
The Bad Guys,2500,771,133,1596,-34.85424588
Blind Detective,554,153,61,340,-37.93103448
Detective K: Secret of the Lost Island,652,193,4,455,-40.43209877
Battle of Memories,584,157,22,405,-44.12811388
Tad: The Lost Explorer,47,13,0,34,-44.68085106
Howling Village,246,48,64,134,-47.25274725
The Suspect,2500,641,65,1794,-47.35112936
A Ghost of a Chance,1075,271,42,762,-47.53146176
Season of the Witch,2500,611,101,1788,-49.06210921
Bride Wars,1844,449,74,1321,-49.26553672
Two Is a Family,10,1,6,3,-50
Break Through the Darkness,186,45,2,139,-51.08695652
Hostage: Missing Celebrity,103,22,13,68,-51.11111111
Bye Bye Morons,673,152,17,504,-53.65853659
One Piece: Stampede,371,73,42,256,-55.6231003
Heartbreaker,2500,524,109,1867,-56.16896696
Kung Fu Jungle,465,89,34,342,-58.70069606
The Tomorrow War,2500,463,139,1898,-60.77933079
The Stolen Years,22,4,1,17,-61.9047619
The Witch: Part 1 - The Subversion,21,4,0,17,-61.9047619
Badges of Fury,559,99,37,423,-62.06896552
One Cut of the Dead,848,139,8,701,-66.9047619
Go Away Mr. Tumor,460,75,5,380,-67.03296703
Dark Figure of Crime,112,11,42,59,-68.57142857
Journey to the West: The Demons Strike Back,632,92,21,519,-69.88543372
Mojin: The Lost Legend,328,35,20,273,-77.27272727
Assassination Classroom: The Graduation,9,1,0,8,-77.77777778
The White Haired Witch of Lunar Kingdom,219,19,10,190,-81.81818182
Liar Game: Reborn,121,10,6,105,-82.60869565
Confession of Murder,150,10,24,116,-84.12698413
Cold War 2,1809,97,58,1654,-88.92061679
Arthur 3: The War of the Two Worlds,93,2,3,88,-95.55555556
Lesson of the Evil,93,2,2,89,-95.6043956
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2500,19,1,2480,-98.47939176
The Fatal Encounter,2500,13,0,2487,-98.96
Andalucia: Revenge of the Goddess,2,0,0,2,-100
War of the Arrows,4,0,0,4,-100
Hotaru the Movie: It's Only a Little Light in My Life,9,0,7,2,-100
Serial Teachers 2,37,0,36,1,-100
The Hundred Regiments Offensive,1,0,0,1,-100
The Last Warrior: Root of Evil,2,0,0,2,-100
