Movie,Total Tweets,Positive Tweets,Neutral Tweets,Negative Tweets,Score
Midnight Swan,308,154,124,30,67.39130435
Jane by Charlotte,361,133,202,26,67.29559748
The Yinyang Master,669,354,245,70,66.98113208
"Hello, Mrs. Money",48,25,18,5,66.66666667
The Guernsey Literary and Potato Peel Pie Society,432,188,206,38,66.37168142
Secret Superstar,2500,1221,1026,253,65.67164179
Skiptrace,2500,871,1448,181,65.58935361
Total Dhamaal,2500,1297,933,270,65.53924697
Judwaa 2,2500,1336,883,281,65.24427953
T2 Trainspotting,2500,1004,1284,212,65.13157895
Couple from the Future,535,393,59,83,65.12605042
Beasts of the Southern Wild,2500,1117,1147,236,65.11456024
Bounty Hunters,2500,1029,1250,221,64.64
Hey Sinamika,2500,1217,1021,262,64.57065585
Hridayam,2500,1433,756,311,64.33486239
Badrinath Ki Dulhania,2500,1265,960,275,64.28571429
Shubh Mangal Zyada Saavdhan,2199,1146,803,250,64.18338109
Rurouni Kenshin: The Legend Ends,126,32,87,7,64.1025641
My Spy,2500,1529,635,336,63.96782842
Alice in Wonderland,2500,1369,830,301,63.95209581
Pad Man,2500,1319,889,292,63.74922408
Badhaai Do,2500,1310,899,291,63.64772017
A Monster in Paris,60,27,27,6,63.63636364
If You Are the One 2,117,49,57,11,63.33333333
Fat Buddies,82,49,22,11,63.33333333
The White Storm,640,227,362,51,63.30935252
The Secret Garden,2500,1323,879,298,63.23257249
Poupelle of Chimney Town,295,133,132,30,63.19018405
M.S. Dhoni: The Untold Story,2500,682,1664,154,63.15789474
The Inbetweeners 2,2500,1138,1105,257,63.15412186
The Choice,2500,1491,672,337,63.12910284
A Werewolf Boy,1388,735,486,167,62.97117517
Baaghi 2,2500,1192,1035,273,62.73037543
"Hail, Caesar!",2500,1853,220,427,62.54385965
Sky Hunter,363,172,151,40,62.26415094
Legend of Deification,322,141,148,33,62.06896552
Adu,875,474,290,111,62.05128205
"Crouching Tiger, Hidden Dragon: Sword of Destiny",2500,657,1688,155,61.8226601
Housefull 2,2500,1228,980,292,61.57894737
Line Walker 2: Invisible Spy,50,21,24,5,61.53846154
Grace of Monaco,2221,1517,342,362,61.46886642
Rise of the Legend,1203,237,909,57,61.2244898
The Monkey King 3,350,112,211,27,61.15107914
Baggage Claim,2500,1068,1172,260,60.84337349
Spirits' Homecoming,141,57,70,14,60.56338028
Love Aaj Kal,2500,1624,477,399,60.55363322
Cliff Walkers,503,222,226,55,60.28880866
"Three Billboards Outside Ebbing, Missouri",2500,1287,894,319,60.2739726
One Piece Film: Gold,24,8,14,2,60
Samba,561,203,307,51,59.84251969
The Grey,2500,1893,128,479,59.61214165
Be Somebody,2500,1221,969,310,59.50359242
Detective Conan: The Scarlet Bullet,247,74,154,19,59.13978495
Railroad Tigers,2500,685,1639,176,59.11730546
Sole a catinelle,140,35,96,9,59.09090909
Look Who's Back,2500,839,1443,218,58.75118259
Finding Mr. Right,423,230,133,60,58.62068966
Inside Men,277,146,92,39,57.83783784
One Piece Film Z,496,231,203,62,57.67918089
L.O.R.D: Legend of Ravaging Dynasties,75,11,61,3,57.14285714
Once Upon a Time in Hong Kong,33,11,19,3,57.14285714
Polisse,1223,527,552,144,57.07898659
Till The End Of The World,623,378,141,104,56.84647303
The Little Prince,2500,1236,921,343,56.55478151
White Snake,2500,1207,957,336,56.44847699
Bigfoot Family,133,43,78,12,56.36363636
Wolf Children,203,93,84,26,56.30252101
The Knight of Shadows: Between Yin and Yang,116,25,84,7,56.25
Extraordinary Mission,82,32,41,9,56.09756098
Duckweed,431,181,199,51,56.03448276
The Handmaiden,2500,1107,1079,314,55.80577058
Street Dancer 3D,2500,1112,1071,317,55.63331001
Tiny Times 2.0,61,7,52,2,55.55555556
Miss Granny,2500,1721,283,496,55.25484889
Time Raiders,1021,445,446,130,54.7826087
Sooryavanshi,2500,1107,1068,325,54.60893855
Legend,2500,1131,1031,338,53.98230088
Spanish Affair,58,10,45,3,53.84615385
Jian Bing Man,66,10,53,3,53.84615385
Let's Get Married,2500,1241,886,373,53.77942999
Les Mis̩rables,2500,1141,1014,345,53.5666218
Heidi,1204,621,395,188,53.52286774
The Queen's Corgi,130,66,44,20,53.48837209
Maya the Bee Movie,464,234,159,71,53.44262295
The Souvenir,2146,1157,637,352,53.34658714
Goodbye Mr. Loser,509,388,1,120,52.75590551
The Monkey King 2,998,232,694,72,52.63157895
A Writer's Odyssey,290,122,130,38,52.5
Schemes in Antiques,221,95,96,30,52
Alibi.com,303,122,142,39,51.55279503
Son of Bigfoot,246,50,180,16,51.51515152
Meppadiyan,510,203,242,65,51.49253731
Step Up,2500,1254,843,403,51.35787568
Always Miss You,2500,1861,39,600,51.2393336
Dragon Rider,618,366,133,119,50.92783505
Valimai,1964,898,772,294,50.67114094
Cloudy Mountain,869,476,237,156,50.63291139
The Glass Castle,2500,1055,1097,348,50.39201711
Nobunaga Concerto: The Movie,12,3,8,1,50
Signal: The Movie,397,207,121,69,50
White Snake 2: Green Snake,14,3,10,1,50
Caf̩ Society,2500,935,1252,313,49.83974359
Trolls 2: World Tour,354,129,181,44,49.13294798
Train to Busan,2205,900,998,307,49.13007457
What Happened to Monday,2500,1023,1127,350,49.01675164
A Little Red Flower,152,64,66,22,48.8372093
Capernaum,709,374,206,129,48.70775348
Goldbuster,58,23,27,8,48.38709677
Agneepath,2500,1186,900,414,48.25
Namiya,236,80,128,28,48.14814815
Violet Evergarden: The Movie,553,254,210,89,48.10495627
Only Cloud Knows,217,94,90,33,48.03149606
The Man from Nowhere,184,74,84,26,48
365 Days,2500,1359,658,483,47.55700326
Act of Vengeance,64,14,45,5,47.36842105
Luca,1543,775,489,279,47.05882353
When Marnie Was There,2220,763,1181,276,46.8719923
Legend of the Demon Cat,44,11,29,4,46.66666667
My Old Classmate,349,184,98,67,46.61354582
The Exorcism of God,469,313,42,114,46.60421546
Gintama: The Final,650,281,266,103,46.35416667
