,Rank,Release Group,Worldwide,Domestic,%,Foreign,%
83,84,2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary 2022 Oscar Nominated Short Films,"$1,528,977","$1,528,977",100%,-,-
84,85,For Ziko,"$1,526,578",-,-,"$1,526,578",100%
85,86,Mister Knockout,"$1,523,880",-,-,"$1,523,880",100%
86,87,V lete ti poviem,"$1,458,597",-,-,"$1,458,597",100%
87,88,Love Is Better Than Life,"$1,410,719",-,-,"$1,410,719",100%
88,89,Nhà Khong Bán,"$1,271,932",-,-,"$1,271,932",100%
89,90,Heart to Heart,"$1,186,659",-,-,"$1,186,659",100%
90,91,Swingers,"$1,168,817",-,-,"$1,168,817",100%
91,92,A Radiant Girl,"$1,154,112",-,-,"$1,154,112",100%
92,93,Desperate for Marriage,"$1,139,810",-,-,"$1,139,810",100%
93,94,Badhaai Do,"$1,138,046",-,-,"$1,138,046",100%
94,95,1990,"$1,106,702",-,-,"$1,106,702",100%
95,96,Odinnadtsat molchalivykh muzhchin,"$1,040,803",-,-,"$1,040,803",100%
96,97,The Butcher's Daughter,"$1,033,162",-,-,"$1,033,162",100%
97,98,Veerame Vaagai Soodum,"$1,024,908",-,-,"$1,024,908",100%
98,99,Umma,"$994,262","$994,262",100%,-,-
99,100,Aaja Mexico Challiye,"$976,316",-,-,"$976,316",100%
100,101,Mali Twist,"$956,475",-,-,"$956,475",100%
101,102,Leopoldstadt - Nt Live 2022 (Theatre),"$918,839",-,-,"$918,839",100%
102,103,The Tiger Rising,"$882,128","$835,162",94.7%,"$46,966",5.3%
103,104,Hello Jadoo: The Secret of Jeju Island,"$861,162",-,-,"$861,162",100%
104,105,The Family,"$847,236",-,-,"$847,236",100%
105,106,Krime Story,"$845,412",-,-,"$845,412",100%
106,107,Alors on danse,"$832,682",-,-,"$832,682",100%
107,108,The Souvenir,"$827,917",-,-,"$827,917",100%
108,109,My Brothers and I,"$825,312",-,-,"$825,312",100%
109,110,Zero Fucks Given,"$805,349",-,-,"$805,349",100%
110,111,Kamen Rider OOO 10th: The Core Medals of Resurrection,"$789,855",-,-,"$789,855",100%
111,112,Adieu Paris,"$771,286",-,-,"$771,286",100%
112,113,Placés,"$759,453",-,-,"$759,453",100%
113,114,The Ancestral,"$723,811",-,-,"$723,811",100%
114,115,Emergency Situation,"$714,805",-,-,"$714,805",100%
115,116,FIR,"$709,663",-,-,"$709,663",100%
116,117,Boiling Point,"$705,045",-,-,"$705,045",100%
117,118,The Companions,"$704,580",-,-,"$704,580",100%
118,119,Zlatni decko,"$695,379",-,-,"$695,379",100%
119,120,Wedding High,"$695,150",-,-,"$695,150",100%
120,121,America Latina,"$693,818",-,-,"$693,818",100%
121,122,Meppadiyan,"$691,981",-,-,"$691,981",100%
122,123,Official Competition,"$678,102",-,-,"$678,102",100%
123,124,Liubov i blohery,"$677,744",-,-,"$677,744",100%
124,125,Lynx,"$668,972",-,-,"$668,972",100%
125,126,Kaptan Pengu ve Arkadaslari 2,"$643,626",-,-,"$643,626",100%
126,127,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
127,128,Zaï Zaï Zaï Zaï,"$622,060",-,-,"$622,060",100%
128,129,Ik wist het,"$582,774",-,-,"$582,774",100%
129,130,Serve the People,"$555,333",-,-,"$555,333",100%
130,131,Full Time,"$547,708",-,-,"$547,708",100%
131,132,Bangarraju,"$534,735",-,-,"$534,735",100%
132,133,The Book Of Dust - La Belle Sauvage - Nt Live 2022 (Theatre),"$512,275",-,-,"$512,275",100%
133,134,Hey Sinamika,"$507,703",-,-,"$507,703",100%
134,135,Milosc jest blisko,"$504,348",-,-,"$504,348",100%
135,136,Ek Love Ya,"$475,499",-,-,"$475,499",100%
136,137,How I Learned to Fly,"$461,197",-,-,"$461,197",100%
137,138,Murder Party,"$453,590",-,-,"$453,590",100%
138,139,The Chef,"$416,658",-,-,"$416,658",100%
139,140,"Romeo & Juliet - Roh, London 2022 (Ballet)","$407,787",-,-,"$407,787",100%
140,141,Reunion 2,"$404,599",-,-,"$404,599",100%
141,142,Petya na moyata Petya,"$402,438",-,-,"$402,438",100%
142,143,Den slepogo valentina,"$401,338",-,-,"$401,338",100%
143,144,Betlémské svetlo,"$393,455",-,-,"$393,455",100%
144,145,Softie,"$384,058",-,-,"$384,058",100%
145,146,The Path,"$358,527",-,-,"$358,527",100%
146,147,Tyson's Run,"$358,100","$358,100",100%,-,-
147,148,The Best Weekend,"$353,922",-,-,"$353,922",100%
148,149,Book of Love,"$350,000",-,-,"$350,000",100%
149,150,Ali & Ava,"$347,804",-,-,"$347,804",100%
150,151,Nitram,"$344,826",-,-,"$344,826",100%
151,152,The Contractor,"$337,237",-,-,"$337,237",100%
152,153,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
153,154,C'era una volta il crimine,"$325,099",-,-,"$325,099",100%
154,155,Un Rabón con Corazón,"$321,899",-,-,"$321,899",100%
155,156,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
156,157,Clean,"$318,877","$318,877",100%,-,-
157,158,L'ombra del giorno,"$308,477",-,-,"$308,477",100%
158,159,Candlelight Revolution,"$304,558",-,-,"$304,558",100%
159,160,Nobody's Hero,"$304,037",-,-,"$304,037",100%
160,161,Ex,"$298,884",-,-,"$298,884",100%
161,162,Kung Fu Zohra,"$293,188",-,-,"$293,188",100%
162,163,Palmyra,"$292,873",-,-,"$292,873",100%
163,164,Afacanlar: Is Basa Düstü,"$282,375",-,-,"$282,375",100%
164,165,Three Times Nothing,"$281,810",-,-,"$281,810",100%
165,166,Papy,"$271,267",-,-,"$271,267",100%
166,167,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
167,168,The Sadness,"$264,927",-,-,"$264,927",100%
168,169,Secret Name,"$254,609",-,-,"$254,609",100%
169,170,I Want to Talk About Duras,"$250,010",-,-,"$250,010",100%
170,171,A Change of Heart,"$249,827",-,-,"$249,827",100%
171,172,Last Looks,"$249,315",-,-,"$249,315",100%
172,173,The Bunker Game,"$240,823",-,-,"$240,823",100%
173,174,Naai Sekar,"$237,861",-,-,"$237,861",100%
174,175,Mahlûkat,"$233,197",-,-,"$233,197",100%
175,176,Hamel El Lakab,"$232,800",-,-,"$232,800",100%
176,177,Sundown,"$229,922","$229,922",100%,-,-
177,178,Cuarentones,"$224,727",-,-,"$224,727",100%
178,179,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
179,180,Super Sharanya,"$187,264",-,-,"$187,264",100%
180,181,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
181,182,The Grandson,"$176,823",-,-,"$176,823",100%
182,183,Octonauts and the Caves of Sac Actun,"$175,696",-,-,"$175,696",100%
183,184,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
184,185,Alice,"$173,624","$173,624",100%,-,-
185,186,Black Glasses,"$173,199",-,-,"$173,199",100%
186,187,Facing Monsters,"$170,283",-,-,"$170,283",100%
187,188,Rosy,"$170,246",-,-,"$170,246",100%
188,189,Al Gareema,"$167,833",-,-,"$167,833",100%
189,190,Son of India,"$160,723",-,-,"$160,723",100%
190,191,Malazgirt 1071,"$159,223",-,-,"$159,223",100%
191,192,Hall,"$157,787",-,-,"$157,787",100%
192,193,Anka,"$152,402",-,-,"$152,402",100%
193,194,Jane by Charlotte,"$149,165","$16,013",10.7%,"$133,152",89.3%
194,195,Arthur Rambo,"$149,028",-,-,"$149,028",100%
195,196,Pups Alone,"$146,178",-,-,"$146,178",100%
196,197,Bachchhan Paandey,"$144,003",-,-,"$144,003",100%
197,198,Kernagis,"$143,637",-,-,"$143,637",100%
198,199,Stop-Zemlia,"$143,434",-,-,"$143,434",100%
199,200,Listeners: The Whispering,"$139,524",-,-,"$139,524",100%
