,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
65,Blue Jasmine,Alec Baldwin,17.182,Cate Blanchett,18.898,Louis C.K.,8.625,Bobby Cannavale,12.744,Andrew Dice Clay,11.091,65,99104804,33405481,33.7,65699323,66.3,91.0,77.0,PG-13,WoodyAllen,"LettyAronson,StephenTenenbaum,EdwardWalson",7-26-2013,33400000.0,7.3,200322,movie,Blue Jasmine,0,2013,98,"Comedy,Drama"
66,Young Detective Dee: Rise of the Sea Dragon,Mark Chao,12.422,AngelaBaby,20.187,William Feng,8.11,Kim Bum,20.339,Carina Lau,17.08,66,98774891,87783,<0.1,98687108,99.9,,53.0,,HarkTsui,"Kuo-fuChen,NansunShi,HarkTsui",,,6.4,4794,movie,Di Renjie: Shen du long wang,0,2013,134,"Action,Adventure,Drama"
67,Riddick,Vin Diesel,27.309,Matt Nable,8.126,Katee Sackhoff,29.043,Jordi Mollà,8.421,Dave Bautista,22.075,67,98337295,42025135,42.7,56312160,57.3,57.0,56.0,R,DavidTwohy,"VinDiesel,TedField",9-6-2013,42000000.0,6.4,163477,movie,Riddick,0,2013,119,"Action,Adventure,Sci-Fi"
68,Safe Haven,Julianne Hough,8.7,Josh Duhamel,10.859,Cobie Smulders,17.517,David Lyons,4.63,Mimi Kirkland,3.83,68,97594140,71349120,73.1,26245020,26.9,14.0,67.0,PG-13,LasseHallström,"RyanKavanaugh,WyckGodfrey,MartyBowen,NicholasSparks",2-14-2013,71300000.0,6.7,109700,movie,Safe Haven,0,2013,115,"Drama,Romance,Thriller"
69,Evil Dead,Jane Levy,10.681,Shiloh Fernandez,13.367,Lou Taylor Pucci,10.518,Jessica Lucas,11.648,Elizabeth Blackmore,12.036,69,97542952,54239856,55.6,43303096,44.4,63.0,63.0,R,FedeAlvarez,"RobTapert,SamRaimi,BruceCampbell",4-5-2013,54200000.0,6.5,167136,movie,Evil Dead,0,2013,91,Horror
70,42,Chadwick Boseman,13.943,Harrison Ford,17.858,Nicole Beharie,4.661,Christopher Meloni,11.433,Ryan Merriman,11.897,70,97470701,95020213,97.5,2450488,2.5,81.0,85.0,PG-13,BrianHelgeland,ThomasTull,4-12-2013,95100000.0,7.5,92934,movie,42,0,2013,128,"Biography,Drama,Sport"
71,The Mortal Instruments: City of Bones,Lily Collins,16.043,Jamie Campbell Bower,9.206,Robert Sheehan,12.674,Kevin Zegers,10.105,Jemima West,9.249,71,95396573,31165421,32.7,64231152,67.3,13.0,58.0,PG-13,HaraldZwart,"RobertKulzer,DonCarmody",8-21-2013,31200000.0,5.9,131877,movie,The Mortal Instruments: City of Bones,0,2013,130,"Action,Adventure,Fantasy"
72,Rush,Jackie Chan,33.882,Chris Tucker,12.283,Ken Leung,11.81,Tom Wilkinson,15.722,Tzi Ma,12.582,72,95224595,26947624,28.3,68276971,71.7,89.0,88.0,R,RonHoward,"AndrewEaton,EricFellner,BrianOliver,PeterMorgan,BrianGrazer,RonHoward",9-27-2013,26900000.0,8.1,466058,movie,Rush,0,2013,123,"Action,Biography,Drama"
73,Police Story: Lockdown,Jackie Chan,33.882,Liu Ye,10.933,Jing Tian,19.77,Yin Tao,8.32,Na Wei,4.158,73,94249025,-,-,94249025,100.0,25.0,33.0,,ShengDing,JackieChan,6-5-2015,,6.0,9815,movie,Jing cha gu shi 2013,0,2013,110,"Action,Crime,Drama"
74,The Internship,Vince Vaughn,17.127,Owen Wilson,46.143,Rose Byrne,25.865,Aasif Mandvi,5.281,Max Minghella,10.976,74,93492844,44672764,47.8,48820080,52.2,35.0,51.0,PG-13,ShawnLevy,"VinceVaughn,ShawnLevy",6-7-2013,44700000.0,6.3,201493,movie,The Internship,0,2013,119,Comedy
75,The Purge,Ethan Hawke,21.79,Lena Headey,28.319,Max Burkholder,6.17,Adelaide Kane,8.678,Edwin Hodge,11.033,75,89328627,64473115,72.2,24855512,27.8,39.0,36.0,R,JamesDeMonaco,"JasonBlum,SebastienK.Lemercier,MichaelBay,AndrewForm,BradFuller",6-7-2013,,5.7,218517,movie,The Purge,0,2013,85,"Horror,Sci-Fi,Thriller"
76,Dhoom 3,Aamir Khan,7.036,Katrina Kaif,7.378,Abhishek Bachchan,3.088,Uday Chopra,0.84,Riya Ray,0.6,76,88031955,8031955,9.1,80000000,90.9,74.0,48.0,,VijayKrishnaAcharya,AdityaChopra,12-20-2013,8000000.0,5.5,45405,movie,Dhoom:3,0,2013,172,"Action,Crime,Thriller"
77,Pain & Gain,Mark Wahlberg,49.465,Dwayne Johnson,29.99,Anthony Mackie,17.839,Tony Shalhoub,11.465,Ed Harris,14.475,77,87305549,49875291,57.1,37430258,42.9,50.0,47.0,R,MichaelBay,"DonaldDeLine,MichaelBay,IanBryce",4-26-2013,49900000.0,6.4,213437,movie,Pain & Gain,0,2013,129,"Action,Comedy,Crime"
78,About Time,Domhnall Gleeson,21.575,Rachel McAdams,31.909,Bill Nighy,26.247,Tom Hollander,17.615,Margot Robbie,31.358,78,87100449,15322921,17.6,71777528,82.4,70.0,81.0,R,RichardCurtis,"TimBevan,EricFellner,NickyKentishBarnes",11-8-2013,15300000.0,7.8,334916,movie,About Time,0,2013,123,"Comedy,Drama,Fantasy"
79,American Dreams in China,Huang Xiaoming,10.146,Deng Chao,6.787,Tong Dawei,3.997,Du Juan,2.266,Yi Yang,1.932,79,87097067,-,-,87097067,100.0,,77.0,,PeterHo-SunChan,"PeterHo-SunChan,Yuet-JanHui",,,7.0,2477,movie,Zhong Guo he huo ren,0,2013,112,Drama
80,Snowpiercer,Chris Evans,15.319,Song Kang-ho,24.694,Ed Harris,14.475,John Hurt,13.274,Tilda Swinton,17.432,80,86758912,4563650,5.3,82195262,94.7,94.0,72.0,R,BongJoonHo,"JeongTae-seong,StevenNam,ParkChan-wook,LeeTaeheon",6-27-2014,4600000.0,7.1,351636,movie,Snowpiercer,0,2013,126,"Action,Sci-Fi,Thriller"
81,Carrie,Angela Bettis,7.754,Patricia Clarkson,15.092,Rena Sofer,13.721,Kandyse McClure,10.56,Emilie de Ravin,12.515,81,84790678,35266619,41.6,49524059,58.4,50.0,44.0,R,KimberlyPeirce,KevinMisher,10-18-2013,35300000.0,5.9,138723,movie,Carrie,0,2013,100,"Drama,Horror"
82,Finding Mr. Right,Tang Wei,19.768,Wu Xiubo,14.706,Hai Qing,6.518,Mai Hongmei,9.463,Elaine Jin,3.35,82,84112033,6945,<0.1,84105088,100.0,,70.0,,XiaoLuXue,"ShanTam,MatthewTang",,879.8K,6.5,2528,movie,Bei Jing yu shang Xi Ya Tu,0,2013,121,"Comedy,Romance"
83,The Fighter Pilot,Junichi Okada,9.411,Haruma Miura,11.092,Mao Inoue,9.031,Isao Natsuyagi,5.789,Jun Fubuki,3.566,83,82879386,-,-,82879386,100.0,,,,,,,,7.3,2521,movie,Eien no 0,0,2013,144,"Action,Drama,Mystery"
84,Miracle in Cell No. 7,Vino G. Bastian,0.771,Graciella Abigail,1.96,Tora Sudiro,2.341,Indro,1.286,Bryan Domani,2.087,84,82101723,-,-,82101723,100.0,,84.0,,MehmetAdaÖztekin,"SanerAyar,SinanTuran",,,8.2,19776,movie,7-beon-bang-ui seon-mul,0,2013,127,"Comedy,Drama"
85,The Attorney,Song Kang-ho,24.694,Kim Young-ae,4.43,Oh Dal-su,7.91,Yim Si-wan,9.898,Kwak Do-won,6.113,85,78547586,557236,0.7,77990350,99.3,77.0,87.0,,YangWoo-suk,,,,7.7,6294,movie,Byeon-ho-in,0,2013,127,Drama
86,The Family,Bruce Greenwood,8.83,Vincent Martella,14.619,John DiMaggio,6.967,Zehra Fazal,1.334,Gary Cole,16.784,86,78418811,36918811,47.1,41500000,52.9,28.0,41.0,R,LucBesson,"VirginieSilla,RyanKavanaugh",9-13-2013,114.5K,6.3,115565,movie,The Family,0,2013,111,"Comedy,Crime,Thriller"
87,The Family,Bruce Greenwood,8.83,Vincent Martella,14.619,John DiMaggio,6.967,Zehra Fazal,1.334,Gary Cole,16.784,87,78418811,36918811,47.1,41500000,52.9,28.0,41.0,R,LucBesson,"VirginieSilla,RyanKavanaugh",9-13-2013,114.5K,7.2,20,movie,The Family,0,2013,152,"Comedy,Crime,Drama"
88,Scary Movie V,Ashley Tisdale,11.405,Simon Rex,11.699,Gracie Whitton,4.689,Ava Kolker,6.363,Molly Shannon,7.799,88,78378744,32015787,40.8,46362957,59.2,4.0,38.0,PG-13,MalcolmD.Lee,"DavidZucker,PhilDornfeld",4-12-2013,32000000.0,3.5,70486,movie,Scary Movie 5,0,2013,88,Comedy
89,R.I.P.D.,Jeff Bridges,17.346,Ryan Reynolds,40.796,Kevin Bacon,9.167,Mary-Louise Parker,12.764,Stephanie Szostak,7.122,89,78324220,33618855,42.9,44705365,57.1,12.0,38.0,PG-13,RobertSchwentke,"NealH.Moritz,MikeRichardson,MichaelFottrell",7-19-2013,33600000.0,5.6,130073,movie,R.I.P.D.,0,2013,96,"Action,Adventure,Comedy"
90,Tiny Times,Yang Mi,16.341,Amber Kuo,6.146,Bea Hayden Kuo,4.679,Xie Yi-lin,3.5,Kai Ko,2.339,90,77717014,23462,<0.1,77693552,100.0,,38.0,,JingmingGuo,"LiLi,XiaofenAn,AdamTsuei,ZhouQiang,AngieChai",7-26-2013,,3.2,2265,movie,Xiao shi dai,0,2013,116,"Drama,Romance"
91,Suck Me Shakespeer,Elyas M'Barek,17.534,Karoline Herfurth,17.707,Katja Riemann,5.452,Jana Pallaske,7.977,Alwara Höfels,8.253,91,77676735,-,-,77676735,100.0,,,,,,,,6.9,28682,movie,Fack ju Göhte,0,2013,119,Comedy
92,The Book Thief,Geoffrey Rush,9.579,Sophie Nélisse,9.772,Emily Watson,19.528,Nico Liersch,6.561,Ben Schnetzer,12.316,92,76586316,21488481,28.1,55097835,71.9,48.0,73.0,PG-13,BrianPercival,"KarenRosenfelt,KenBlancato",11-8-2013,21400000.0,7.5,133635,movie,The Book Thief,0,2013,131,"Drama,War"
93,August: Osage County,Meryl Streep,16.056,Julia Roberts,18.308,Chris Cooper,9.471,Julianne Nicholson,14.348,Juliette Lewis,22.931,93,74188937,37738810,50.9,36450127,49.1,67.0,65.0,R,JohnWells,"SteveTraxler,JeanDoumanian,GeorgeClooney,GrantHeslov",1-10-2014,37700000.0,7.2,89313,movie,August: Osage County,0,2013,121,"Comedy,Drama"
94,The Best Man Holiday,Terrence Howard,16.178,Harold Perrineau,11.972,Morris Chestnut,10.321,Sanaa Lathan,23.878,Taye Diggs,9.579,94,72835710,70525195,96.8,2310515,3.2,70.0,83.0,R,MalcolmD.Lee,"SeanDaniel,MalcolmD.Lee",11-15-2013,70500000.0,6.6,15715,movie,The Best Man Holiday,0,2013,123,"Comedy,Drama"
95,The Counselor,Michael Fassbender,14.93,Penélope Cruz,23.261,Cameron Diaz,18.596,Javier Bardem,24.038,Brad Pitt,26.942,95,71009334,16973715,23.9,54035619,76.1,34.0,23.0,R,RidleyScott,"RidleyScott,NickWechsler,SteveSchwartz,PaulaMaeSchwartz",10-25-2013,16900000.0,5.4,100233,movie,The Counselor,0,2013,117,"Crime,Drama,Thriller"
96,Sole a catinelle,Checco Zalone,2.138,Miriam Dalmazio,4.277,Marco Paolini,2.647,Robert Dancs,0.98,Aurore Erguy,1.11,96,69903094,-,-,69903094,100.0,,,,,,,,6.3,6208,movie,Sole a catinelle,0,2013,87,Comedy
97,The Call,Halle Berry,22.434,Abigail Breslin,20.558,Morris Chestnut,10.321,Michael Eklund,11.888,David Otunga,3.597,97,68572631,51872378,75.6,16700253,24.4,44.0,65.0,R,BradAnderson,"JeffreyGraup,MichaelJ.Luisi,RobertL.Stein,MichaelA.Helfant,BradleyGallo",3-15-2013,51900000.0,6.7,119376,movie,The Call,0,2013,96,"Crime,Drama,Horror"
98,One Direction: This Is Us,Harry Styles,10.519,Niall Horan,2.0,Zayn Malik,5.609,Louis Tomlinson,6.554,Liam Payne,4.85,98,68532898,28873374,42.1,39659524,57.9,63.0,79.0,PG,MorganSpurlock,"SimonCowell,AdamMilano,MorganSpurlock,BenWinston",8-30-2013,28900000.0,4.5,24296,movie,One Direction: This Is Us,0,2013,92,"Documentary,Music"
99,Stalingrad,Dominique Horwitz,1.956,Thomas Kretschmann,18.189,Jochen Nickel,2.787,Sebastian Rudolph,6.245,Dana Vávrová,6.002,99,68316452,1013945,1.5,67302507,98.5,50.0,41.0,R,FedorBondarchuk,"SergeyMelkumov,AntonZlatopolskiy,DmitriyRudovskiy,AlexanderRodnyansky",,1000000.0,5.7,16647,movie,Stalingrad,0,2013,131,"Action,Drama,War"
100,Thunder and the House of Magic,Grant George,3.681,Shanelle Workman,2.353,Joey Camen,1.4,Cinda Adams,1.96,Kyle Hebert,2.925,100,64197205,4091,<0.1,64193114,100.0,73.0,54.0,,"JeremyDegruson,BenStassen","NadiaKhamlichi,AdrianPolitowski,BenStassen,CarolineVanIseghem,GillesWaterkeyn",9-5-2014,,6.2,6696,movie,The House of Magic,0,2013,85,"Adventure,Animation,Comedy"
101,The Grandmaster,Tony Leung Chiu-wai,21.703,Zhang Ziyi,14.867,Chang Chen,9.659,Song Hye-kyo,6.688,Zhao Benshan,1.8,101,64076736,6594959,10.3,57481777,89.7,78.0,59.0,PG-13,Kar-WaiWong,JackyYeeWahPang,8-23-2013,6600000.0,6.5,33857,movie,Yi dai zong shi,0,2013,130,"Action,Biography,Drama"
102,Side Effects,Rooney Mara,14.801,Jude Law,21.474,Catherine Zeta-Jones,18.474,Channing Tatum,22.942,Vinessa Shaw,14.031,102,63414135,32172757,50.7,31241378,49.3,81.0,70.0,R,StevenSoderbergh,"LorenzodiBonaventura,GregoryJacobs,ScottZ.Burns",2-8-2013,32200000.000000004,7.1,186934,movie,Side Effects,0,2013,106,"Crime,Drama,Mystery"
103,The Host,Saoirse Ronan,21.955,Diane Kruger,21.536,Max Irons,12.482,Jake Abel,10.256,William Hurt,23.957,103,63365859,26627201,42,36738658,58.0,25.0,76.0,R,AndyNewbery,ZacharyWeckstein,1-17-2020,,5.8,114135,movie,The Host,0,2013,125,"Action,Adventure,Drama"
104,Runner Runner,Ben Affleck,23.439,Gemma Arterton,23.064,Justin Timberlake,7.076,Anthony Mackie,17.839,David Costabile,7.781,104,62675095,19316646,30.8,43358449,69.2,7.0,33.0,R,BradFurman,"BrianKoppelman,DavidLevien,ArnonMilchan,JenniferDavissonKilloran,LeonardoDiCaprio,MichaelShamberg,StaceySher",10-4-2013,19300000.0,5.6,63071,movie,Runner Runner,0,2013,88,"Crime,Thriller"
105,The Face Reader,Song Kang-ho,24.694,Lee Jung-jae,21.603,Baek Yoon-sik,5.558,Cho Jung-seok,4.486,Lee Jong-suk,17.109,105,61559184,515876,0.8,61043308,99.2,,74.0,,HanJae-rim,KimU-jae,10-4-2013,,6.8,2410,movie,Gwansang,0,2013,140,"Drama,History"
106,Kick-Ass 2,Aaron Taylor-Johnson,14.255,Chloë Grace Moretz,56.69,Christopher Mintz-Plasse,9.593,Jim Carrey,24.867,Clark Duke,8.525,106,60795985,28795985,47.4,32000000,52.6,32.0,57.0,R,JeffWadlow,"MatthewVaughn,AdamBohling,TarquinPack,DavidReid",8-16-2013,28800000.0,6.5,267703,movie,Kick-Ass 2,0,2013,103,"Action,Comedy,Crime"
107,A Haunted House,Marlon Wayans,12.773,Essence Atkins,5.423,Nick Swardson,8.413,Cedric the Entertainer,9.433,David Koechner,8.727,107,60159584,40041683,66.6,20117901,33.4,9.0,51.0,R,MikeTiddes,"MarlonWayans,RickAlvarez",1-11-2013,40000000.0,5.0,46288,movie,A Haunted House,0,2013,86,"Comedy,Fantasy,Horror"
108,Beautiful Creatures,Alden Ehrenreich,4.862,Alice Englert,6.287,Jeremy Irons,13.292,Viola Davis,11.558,Emmy Rossum,17.786,108,60052138,19452138,32.4,40600000,67.6,47.0,54.0,PG-13,RichardLaGravenese,"ErwinStoff,AndrewA.Kosove,BroderickJohnson,MollySmith,DavidValdes",2-14-2013,19400000.0,6.1,87138,movie,Beautiful Creatures,0,2013,124,"Drama,Fantasy,Romance"
109,Snitch,Dwayne Johnson,29.99,Barry Pepper,22.121,Susan Sarandon,22.136,Benjamin Bratt,14.298,Michael Kenneth Williams,8.053,109,57824674,42930462,74.2,14894212,25.8,57.0,61.0,PG-13,RicRomanWaugh,"NigelSinclair,MattJackson,JonathanKing,DwayneJohnson,DanyGarcia,AlexanderYvesBrunner,TobinArmbrust",2-22-2013,42900000.0,6.4,87505,movie,Snitch,0,2013,112,"Action,Drama,Thriller"
110,The Physician,Tom Payne,10.227,Ben Kingsley,17.546,Stellan Skarsgård,20.205,Olivier Martinez,7.944,Emma Rigby,13.839,110,57284237,-,-,57284237,100.0,,73.0,R,PhilippStölzl,,12-5-2014,,7.2,39053,movie,The Physician,0,2013,155,"Adventure,Drama,History"
111,Firestorm,Howie Long,3.884,Scott Glenn,19.362,Suzy Amis,3.686,William Forsythe,6.831,Christianne Hirt,2.588,111,55754766,-,-,55754766,100.0,,47.0,,AlanYuen,,,,6.2,2824,movie,Feng bao,0,2013,118,"Action,Crime,Thriller"
112,Dallas Buyers Club,Matthew McConaughey,20.491,Jennifer Garner,16.887,Jared Leto,70.2,Denis O'Hare,5.229,Steve Zahn,28.971,112,55736588,27298285,49,28438303,51.0,92.0,91.0,R,Jean-MarcVallée,"RachelWinter,RobbieBrenner",11-1-2013,27300000.0,8.0,475182,movie,Dallas Buyers Club,0,2013,117,"Biography,Drama"
113,A Madea Christmas,Tyler Perry,7.41,Anna Maria Horsford,9.159,Tika Sumpter,7.342,Eric Lively,4.23,Chad Michael Murray,17.044,113,53396635,52543354,98.4,853281,1.6,,,,,,,,4.9,6353,movie,A Madea Christmas,0,2013,100,"Comedy,Drama,Romance"
114,Temptation: Confessions of a Marriage Counselor,Kim Kardashian West,17.531,Vanessa Williams,10.646,Brandy Norwood,8.999,Jurnee Smollett,11.34,Lance Gross,8.788,114,53143144,51975354,97.8,1167790,2.2,,,,,,,,5.0,11870,movie,Temptation: Confessions of a Marriage Counselor,0,2013,111,"Drama,Romance,Thriller"
115,Delivery Man,Vince Vaughn,17.127,Cobie Smulders,17.517,Chris Pratt,27.826,Britt Robertson,23.536,Jack Reynor,11.957,115,53120346,30664106,57.7,22456240,42.3,40.0,47.0,PG-13,KenScott,AndreRouleau,11-22-2013,30700000.0,6.3,78258,movie,Delivery Man,0,2013,105,"Comedy,Drama"
116,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,Will Ferrell,13.839,,,,,,,,,116,51167572,944193,1.8,50223379,98.2,68.0,69.0,R,FelixHerngren,"MalteForssell,FelixHerngren,HenrikJansson-Schweizer,PatrickNebout",5-1-2015,923.9K,7.1,40199,movie,Hundraåringen som klev ut genom fönstret och försvann,0,2013,114,"Adventure,Comedy"
117,Dragon Ball Z: Battle of Gods,Masako Nozawa,10.188,Koichi Yamadera,9.389,Masakazu Morita,3.179,Ryou Horikawa,6.233,Hiromi Tsuru,3.076,117,50461371,2553002,5.1,47908369,94.9,88.0,80.0,,MasahiroHosoda,,,,7.2,27683,movie,Dragon Ball Z: Doragon bôru Z - Kami to Kami,0,2013,85,"Action,Adventure,Animation"
118,The Berlin File,Ha Jung-woo,9.169,Han Suk-kyu,8.334,Ryoo Seung-bum,5.821,Jun Ji-hyun,24.218,Lee Kyung-young,10.791,118,48972848,665210,1.4,48307638,98.6,43.0,58.0,,RyooSeung-wan,"HanJae-deok,Su-RanKuk",2-15-2013,,6.6,7120,movie,Bereullin,0,2013,121,"Action,Thriller"
119,Her,Joaquin Phoenix,17.538,Scarlett Johansson,38.188,Amy Adams,19.554,Rooney Mara,14.801,Olivia Wilde,19.984,119,48517427,25568251,52.7,22949176,47.3,94.0,82.0,R,SpikeJonze,"MeganEllison,SpikeJonze,VincentLanday",1-10-2014,25600000.0,8.0,588230,movie,Her,0,2013,126,"Drama,Romance,Sci-Fi"
120,Homefront,Jason Statham,68.171,James Franco,11.754,Izabela Vidovic,13.153,Winona Ryder,20.857,Rachelle Lefevre,15.061,120,48449416,20158898,41.6,28290518,58.4,42.0,61.0,R,GaryFleder,"SylvesterStallone,KevinKingTempleton,JohnThompson",11-27-2013,20100000.0,6.5,118278,movie,Homefront,0,2013,100,"Action,Crime,Thriller"
121,Homefront,Jason Statham,68.171,James Franco,11.754,Izabela Vidovic,13.153,Winona Ryder,20.857,Rachelle Lefevre,15.061,121,48449416,20158898,41.6,28290518,58.4,42.0,61.0,R,GaryFleder,"SylvesterStallone,KevinKingTempleton,JohnThompson",11-27-2013,20100000.0,6.6,30,movie,The Things We Leave Behind,0,2013,111,Drama
122,The Last Stand,Arnold Schwarzenegger,30.027,Johnny Knoxville,19.66,Jaimie Alexander,10.684,Zach Gilford,12.46,Kristen Rakes,1.393,122,48330757,12050299,24.9,36280458,75.1,61.0,53.0,R,KimJee-woon,LorenzodiBonaventura,1-18-2013,12000000.0,6.3,137987,movie,The Last Stand,0,2013,107,"Action,Thriller,Western"
123,21 & Over,Skylar Astin,9.985,Justin Chon,4.165,Miles Teller,12.138,Sarah Wright,10.374,Jonathan Keltz,6.28,123,48065672,25682380,53.4,22383292,46.6,27.0,46.0,R,"JonLucas,ScottMoore","DavidHoberman,ToddLieberman,RyanKavanaugh,HugoShong",3-1-2013,25700000.0,5.8,74113,movie,21 & Over,0,2013,93,Comedy
124,Texas Chainsaw,Sarah Yarkin,18.124,Elsie Fisher,12.425,Mark Burnham,8.681,Jacob Latimore,9.509,Moe Dunford,11.938,124,47340586,34341945,72.5,12998641,27.5,19.0,40.0,R,JohnLuessenhop,CarlMazzocone,1-4-2013,,4.8,50460,movie,Texas Chainsaw 3D,0,2013,92,"Horror,Thriller"
125,Tiny Times 2.0,Yang Mi,16.341,Amber Kuo,6.146,Bea Hayden Kuo,4.679,Xie Yi-lin,3.5,Kai Ko,2.339,125,47289937,43788,<0.1,47246149,99.9,,27.0,,JingmingGuo,"JingmingGuo,ChaiZhiPing",,,3.4,1087,movie,Xiao shi dai 2: Qing mu shi dai,0,2013,113,"Comedy,Drama,Romance"
126,Switch,Dan Stevens,29.073,Bérénice Marlohe,12.55,Charity Wakefield,4.578,Gijs Scholten van Aschat,3.087,Mike Reus,1.4,126,47164301,-,-,47164301,100.0,33.0,41.0,,FrédéricSchoendoerffer,"Jean-ChristopheGrangé,ÉricNévé,FrédéricSchoendoerffer",,,2.2,1862,movie,Tian ji: Fu chun shan ju tu,0,2013,120,"Action,Adventure,Crime"
127,Parker,Jason Statham,68.171,Jennifer Lopez,10.12,Nick Nolte,11.236,Michael Chiklis,11.284,Clifton Collins Jr.,5.105,127,46922566,17616641,37.5,29305925,62.5,40.0,48.0,R,TaylorHackford,"TaylorHackford,LesAlexander,SteveChasman,SidneyKimmel,JonathanMitchell",1-25-2013,17600000.0,6.2,121453,movie,Parker,0,2013,118,"Action,Crime,Thriller"
