,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
116,116,116,Conquest 1453,35797045,35730,<0.1,35761315,99.9,40.0,52.0,,FarukAksoy,FarukAksoy,,,6.8,57979,movie,Fetih 1453,0,2012,162,"Action,Drama,History"
117,117,117,Good Deeds,35579177,35025791,98.4,553386,1.6,12.0,55.0,PG-13,SamMiller,"WillPacker,LeeClay",9-12-2014,52500000.0,5.6,7871,movie,Good Deeds,0,2012,129,"Comedy,Drama,Romance"
118,118,118,Arbitrage,35485056,7919574,22.3,27565482,77.7,87.0,62.0,R,NicholasJarecki,"LauraBickford,KevinTuren,JustinNappi,RobertSalerno",9-14-2012,7900000.0,6.6,51967,movie,Arbitrage,0,2012,107,"Drama,Thriller"
119,119,119,Welcome to the North,34995189,-,-,34995189,100,,,,,,,,5.3,3877,movie,Benvenuti al nord,0,2012,110,Comedy
120,120,120,Chimpanzee,34823764,28972764,83.2,5851000,16.8,76.0,75.0,G,"AlastairFothergill,MarkLinfield","AlastairFothergill,MarkLinfield,AlixTidmarsh",4-20-2012,29000000.0,7.1,6126,movie,Chimpanzee,0,2012,78,"Documentary,Family"
121,121,121,Alex Cross,34618867,25888412,74.8,8730455,25.2,11.0,47.0,PG-13,RobCohen,"BillBlock,PaulHanson,JamesPatterson,SteveBowen,RandallEmmett,LeopoldoGout",10-19-2012,25900000.0,5.1,33841,movie,Alex Cross,0,2012,101,"Action,Crime,Mystery"
122,122,122,Adventures in Zambezia,34428345,-,-,34428345,100,,,,,,,,5.7,7207,movie,Zambezia,0,2012,83,"Adventure,Animation,Comedy"
123,123,123,Cirque du Soleil: Worlds Away,34153101,12512862,36.6,21640239,63.4,45.0,94.0,PG,AndrewAdamson,"MartinBolduc,AndrewAdamson,AronWarner",12-21-2012,12500000.0,6.8,8048,movie,Cirque du Soleil: Worlds Away,0,2012,91,Fantasy
124,124,124,Three Heroes on Distant Shores,33674759,-,-,33674759,100,,,,,,,,5.2,942,movie,Tri bogatyrya na dalnikh beregakh,0,2012,65,Animation
125,125,125,2016: Obama's America,33449086,33449086,100,-,-,26.0,73.0,PG,"DineshD'Souza,JohnSullivan","AnnBalog,DougSain",8-31-2012,33299999.999999996,5.1,10697,movie,2016: Obama's America,0,2012,87,"Documentary,Fantasy"
126,126,126,The Perks of Being a Wallflower,33384127,17742948,53.1,15641179,46.9,85.0,89.0,PG-13,StephenChbosky,"LianneHalfon,RussellSmith,JohnMalkovich",10-12-2012,17700000.0,8.0,495624,movie,The Perks of Being a Wallflower,0,2012,103,"Drama,Romance"
127,127,127,Lockout,32948113,14326864,43.5,18621249,56.5,37.0,46.0,PG-13,"JamesMather,StephenSaint-Leger","MarcLibert,LeilaSmith",4-13-2012,14300000.0,6.1,97798,movie,Lockout,0,2012,95,"Action,Sci-Fi,Thriller"
128,128,128,Bait,32813407,-,-,32813407,100,100.0,61.0,,MarkJenkin,"KateByers,LinnWaite",,,5.2,17560,movie,Bait,0,2012,93,Horror
129,129,129,Part of Me,32726956,25326071,77.4,7400885,22.6,75.0,72.0,PG,"DanCutforth,JaneLipsitz","BrianGrazer,KatyPerry,MartinKirkup,BradfordCobb,StevenJensen",7-5-2012,25300000.0,5.9,13621,movie,Katy Perry: Part of Me,0,2012,93,"Documentary,Music"
130,130,130,Nameless Gangster: Rules of the Time,32472645,-,-,32472645,100,,,,,,,,7.0,6460,movie,Bumchoiwaui junjaeng: Nabbeunnomdeul jeonsungshidae,0,2012,134,"Action,Crime,Drama"
131,131,131,Seven Psychopaths,32226382,15024049,46.6,17202333,53.4,83.0,71.0,R,MartinMcDonagh,"GrahamBroadbent,PeterCzernin,MartinMcDonagh",10-12-2012,15000000.0,7.2,253157,movie,Seven Psychopaths,0,2012,110,"Comedy,Crime"
132,132,132,The Floating Castle,31967471,-,-,31967471,100,,,,,,,,6.4,563,movie,Nobô no shiro,0,2012,144,"Comedy,Drama,History"
133,133,133,The Neighbors,31949315,-,-,31949315,100,,29.0,,HwiKim,SukJae-seung,,,6.5,1238,movie,I-ut saram,0,2012,115,"Drama,Thriller"
134,134,134,The Dream Team,31822402,-,-,31822402,100,53.0,61.0,PG-13,HowardZieff,ChristopherW.Knight,,26800000.0,5.4,3596,movie,Les seigneurs,0,2012,97,"Comedy,Sport"
135,135,135,The Dream Team,31822402,-,-,31822402,100,53.0,61.0,PG-13,HowardZieff,ChristopherW.Knight,,26800000.0,8.3,843,movie,The Dream Team,0,2012,68,"Documentary,Sport"
136,136,136,What's in a Name?,31303580,8111,<0.1,31295469,100,71.0,74.0,,"AlexandredeLaPatellière,MatthieuDelaporte","JeremyBurdek,AlexandredeLaPatellière,MatthieuDelaporte,SergedePoucques",,,7.3,16402,movie,Le prénom,0,2012,109,"Comedy,Drama"
137,137,137,Joyful Noise,31158113,30932113,99.3,226000,0.7,32.0,65.0,PG-13,ToddGraff,"MichaelG.Nathanson,JosephFarrell,CatherinePaura,BroderickJohnson,AndrewA.Kosove",1-13-2012,30900000.0,5.7,8382,movie,Joyful Noise,0,2012,118,"Comedy,Drama,Music"
138,138,138,Premium Rush,31083599,20275446,65.2,10808153,34.8,74.0,60.0,PG-13,DavidKoepp,GavinPolone,8-24-2011,20300000.0,6.5,113256,movie,Premium Rush,0,2012,91,"Action,Crime,Thriller"
139,139,139,Playing for Keeps,30962335,13103272,42.3,17859063,57.7,4.0,41.0,PG-13,GabrieleMuccino,"JonathanMostow,KevinMisher,GerardButler,AlanSiegel,HeidiJoMarkel,JohnThompson",12-7-2012,13100000.0,5.7,30065,movie,Playing for Keeps,0,2012,105,"Comedy,Romance,Sport"
