,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
21,Mad Max: Fury Road,Tom Hardy,59.898,Charlize Theron,40.523,Nicholas Hoult,25.64,Hugh Keays-Byrne,4.0,Josh Helman,11.785,21,374736354,153636354,41,221100000,59.0,97.0,86.0,R,GeorgeMiller,"DougMitchell,GeorgeMiller,P.J.Voeten",5-15-2015,153600000.0,8.1,962606,movie,Mad Max: Fury Road,0,2015,120,"Action,Adventure,Sci-Fi"
22,The Good Dinosaur,Frances McDormand,16.265,Raymond Ochoa,3.328,Jeffrey Wright,26.649,Steve Zahn,28.971,Sam Elliott,17.503,22,332207671,123087120,37.1,209120551,62.9,76.0,64.0,PG,PeterSohn,DeniseReam,11-25-2015,123100000.0,6.7,112304,movie,The Good Dinosaur,0,2015,93,"Adventure,Animation,Comedy"
23,The SpongeBob Movie: Sponge Out of Water,Tom Kenny,9.65,Bill Fagerbakke,10.333,Rodger Bumpass,8.167,Clancy Brown,29.504,Carolyn Lawrence,6.689,23,325186032,162994032,50.1,162192000,49.9,81.0,54.0,PG,"PaulTibbitt,MikeMitchell","PaulTibbitt,MaryParent",2-6-2015,163400000.0,6.0,54005,movie,The SpongeBob Movie: Sponge Out of Water,0,2015,92,"Adventure,Animation,Comedy"
24,Maze Runner: The Scorch Trials,Dylan O'Brien,14.5,Ki Hong Lee,14.637,Kaya Scodelario,44.822,Thomas Brodie-Sangster,21.827,Dexter Darden,3.252,24,312296056,81697192,26.2,230598864,73.8,48.0,54.0,PG-13,WesBall,"EllenGoldsmith-Vein,WyckGodfrey,MartyBowen,LeeStollman,JoeHartwickJr.",9-18-2015,81700000.0,6.3,242286,movie,Maze Runner: The Scorch Trials,0,2015,131,"Action,Adventure,Sci-Fi"
25,The Divergent Series: Insurgent,Shailene Woodley,25.831,Theo James,20.465,Octavia Spencer,10.21,Jai Courtney,10.934,Ray Stevenson,6.964,25,297002527,130179072,43.8,166823455,56.2,,,,,,,,6.2,232368,movie,Insurgent,0,2015,119,"Action,Adventure,Sci-Fi"
26,Pitch Perfect 2,Anna Kendrick,18.19,Brittany Snow,19.663,Rebel Wilson,10.1,Hailee Steinfeld,55.775,Skylar Astin,9.985,26,287144079,184296230,64.2,102847849,35.8,65.0,64.0,PG-13,ElizabethBanks,"PaulBrooks,MaxHandelman,ElizabethBanks",5-15-2015,183700000.0,6.4,153411,movie,Pitch Perfect 2,0,2015,115,"Comedy,Music"
27,Mojin: The Lost Legend,Chen Kun,8.38,Huang Bo,13.595,Shu Qi,15.112,AngelaBaby,14.419,Xia Yu,3.416,27,259368448,1243810,0.5,258124638,99.5,56.0,56.0,,Wuershan,,12-18-2015,1100000.0,5.9,3850,movie,Xun long jue,0,2015,127,"Action,Adventure,Drama"
28,Lost in Hong Kong,Xu Zheng,4.063,Zhao Wei,7.423,Bao Bei Er,7.902,Du Juan,2.266,Eric Kot Man-Fai,3.514,28,256283912,1302281,0.5,254981631,99.5,60.0,49.0,,ZhengXu,ZhengXu,9-25-2015,1300000.0,5.4,1642,movie,Gang jiong,0,2015,114,"Action,Adventure,Comedy"
29,The Peanuts Movie,Noah Schnapp,12.615,Bill Melendez,2.499,Marleik 'Mar Mar' Walker,0.996,Alex Garfin,6.028,Hadley Belle Miller,1.4,29,246233113,130178411,52.9,116054702,47.1,87.0,76.0,G,SteveMartino,"CraigSchulz,BryanSchulz,CorneliusUliano,PaulFeig,MichaelJ.Travers",11-6-2015,130100000.0,7.0,45223,movie,The Peanuts Movie,0,2015,88,"Adventure,Animation,Comedy"
30,Pixels,Adam Sandler,14.625,Kevin James,18.227,Michelle Monaghan,23.375,Peter Dinklage,14.994,Josh Gad,11.913,30,244874809,78747585,32.2,166127224,67.8,18.0,46.0,PG-13,ChrisColumbus,"AllenCovert,MarkRadcliffe,ChrisColumbus,AdamSandler",7-24-2015,78700000.0,5.6,140785,movie,Pixels,0,2015,105,"Action,Comedy,Fantasy"
