,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
139,"Love Me, Love Me Not",139,Soma Saito,5.484,Megumi Han,7.74,Marika Suzuki,1.4,Nobunaga Shimazaki,7.556,Kikuko Inoue,9.443,6494241,-,-,6494241,100,,,,,,,,6.7,326,movie,"Omoi, Omoware, Furi, Furare",0,2020,124,"Drama,Romance"
140,"Love Me, Love Me Not",140,Soma Saito,5.484,Megumi Han,7.74,Marika Suzuki,1.4,Nobunaga Shimazaki,7.556,Kikuko Inoue,9.443,6494241,-,-,6494241,100,,,,,,,,6.9,361,movie,"Omoi, Omoware, Furi, Furare",0,2020,103,"Animation,Comedy,Drama"
141,Hammamet,141,Claudia Gerini,9.324,Pierfrancesco Favino,6.024,Omero Antonutti,2.437,Renato Carpentieri,1.508,Livia Rossi,0.732,6434874,-,-,6434874,100,,,,RaoulRuiz,,,,5.8,1516,movie,Hammamet,0,2020,126,"Biography,Drama"
142,Lindenberg! Mach dein Ding,142,Jan Bülow,0.6,Julia Jentsch,3.864,Claude Heinrich,2.309,Jesse Hansen,1.38,Detlev Buck,1.805,6404964,-,-,6404964,100,,,,,,,,6.5,770,movie,Lindenberg! Mach dein Ding,0,2020,139,"Biography,Music"
143,Midnight Swan,143,Tsuyoshi Kusanagi,1.879,Misaki Hattori,1.116,Asami Mizukawa,8.228,Tomorowo Taguchi,3.379,Sei Matobu,1.815,6397065,-,-,6397065,100,,,,EijiUchida,,,,7.1,340,movie,Midnight Swan,0,2020,124,Drama
144,Simply Black,144,Jean-Pascal Zadi,3.091,Fary,1.38,Caroline Anglade,6.828,Omar Sy,10.194,Mathieu Kassovitz,11.414,6323750,-,-,6323750,100,,,,,,,,6.4,1742,movie,Tout simplement noir,0,2020,90,Comedy
145,My Boyfriend's Meds,145,Sandra Echeverría,0.6,Jaime Camil,9.703,Brooke Shields,18.999,Jason Alexander,21.21,James Maslow,8.919,6292780,2971116,47.2,3321664,52.8,,,,,,,,4.6,425,movie,My Boyfriend's Meds,0,2020,100,Comedy
146,Bill & Ted Face the Music,146,Keanu Reeves,59.33,Alex Winter,5.495,Kristen Schaal,8.655,Samara Weaving,23.726,Brigette Lundy-Paine,10.989,6274027,3439660,54.8,2834367,45.2,82.0,66.0,PG-13,DeanParisot,"ScottKroopf,AlexLebovici,StevePonce,DavidHaring,EdSolomon",8-28-2020,3400000.0,5.9,44126,movie,Bill & Ted Face the Music,0,2020,91,"Adventure,Comedy,Music"
147,Hotel Belgrade,147,Miloš Biković,5.508,Diana Pozharskaya,7.573,Ljubomir Bandović,1.294,Srđan Todorović,6.686,Jelisaveta 'Seka' Sablić,1.75,6199413,-,-,6199413,100,,,,KonstantinStatskiy,"MiodragRadonjic,MikhailTkachenko",,,6.2,1314,movie,Hotel Belgrade,0,2020,106,"Comedy,Romance"
148,How to Be a Good Wife,148,Juliette Binoche,10.585,Yolande Moreau,3.044,Noémie Lvovsky,6.961,Edouard Baer,3.774,François Berléand,5.485,6029102,-,-,6029102,100,70.0,0.0,,MartinProvost,"FrançoisKraus,DenisPineau-Valencienne,SergeHayat",,,5.8,1724,movie,La bonne épouse,0,2020,109,"Comedy,Drama"
149,The Legacy Of Dr. Death: Black File,149,Go Ayano,9.373,Keiko Kitagawa,14.696,Kenshi Okada,8.232,Tomoya Maeno,2.015,Misato Aoyama,2.758,6024046,-,-,6024046,100,,,,,,,,5.6,70,movie,The Legacy Of Dr. Death: Black File,0,2020,121,"Mystery,Thriller"
150,The Rhythm Section,150,Blake Lively,12.53,Jude Law,21.474,Sterling K. Brown,6.462,Ivana Bašić,1.184,Nasser Memarzia,1.725,5989583,5437971,90.8,551612,9.2,29.0,44.0,R,ReedMorano,"MichaelG.Wilson,BarbaraBroccoli",1-31-2020,4900000.0,5.4,17475,movie,The Rhythm Section,0,2020,109,"Action,Drama,Mystery"
151,Twiceborn,151,Hiroaki Tanaka,0.6,Fumika Shimizu,3.359,Nao Hasegawa,1.094,Shirô Namiki,3.344,Shunsuke Kubozuka,4.047,5880157,11527,0.2,5868630,99.8,,,PG,HiroshiAkabane,,10-16-2020,11.0K,4.6,42,movie,Twiceborn,0,2020,135,Drama
152,The Royal Bride,152,Ninh Dương Lan Ngọc,3.114,Lê Xuân Tiền,1.62,Hồng Vân,0.6,Thùy Anh,0.995,Jun Vũ,3.867,5830719,-,-,5830719,100,,,,Namcito,,,,5.7,100,movie,Gai Gia Lam Chieu 3,0,2020,118,Comedy
153,Beasts Clawing at Straws,153,Jeon Do-yeon,10.376,Jung Woo-sung,8.045,Bae Sung-woo,4.466,Youn Yuh-jung,10.541,Jeong Man-sik,2.997,5796059,-,-,5796059,100,95.0,87.0,,KimYong-Hun,JangWon-seok,10-21-2020,,7.1,4105,movie,Jipuragirado jabgo sipeun jibseungdeul,0,2020,108,"Crime,Drama,Thriller"
154,Last Letter,154,Shailene Woodley,25.831,Felicity Jones,18.633,Callum Turner,28.579,Joe Alwyn,8.095,Nabhaan Rizwan,7.428,5663972,-,-,5663972,100,,,,ShunjiIwai,,,,6.9,919,movie,Last Letter,0,2020,120,Romance
155,Mama Weed,155,Isabelle Huppert,9.466,Liliane Rovère,2.502,Hippolyte Girardot,3.566,Iris Bry,0.785,Pierre Rousselet,0.6,5432038,29151,0.5,5402887,99.5,,,,,,,,6.2,2575,movie,La daronne,0,2020,104,"Comedy,Crime,Drama"
156,Divorce Club,156,Arnaud Ducret,5.11,François-Xavier Demaison,2.18,Caroline Anglade,6.828,Audrey Fleurot,18.907,Youssef Hajdi,6.769,5316313,-,-,5316313,100,,,,,,,,5.2,1016,movie,Divorce Club,0,2020,108,Comedy
157,Cindy La Regia,157,Cassandra Sánchez Navarro,2.332,Regina Blandón,5.784,Diana Bovio,3.942,Nicolasa Ortíz Monasterio,1.619,Isela Vega,9.441,5222322,-,-,5222322,100,,,,"SantiagoLimón,CatalinaAguilarMastretta",,,,5.9,1355,movie,Cindy La Regia,0,2020,109,Comedy
158,Run,158,Ben Milliken,3.646,Brad William Henke,11.303,Janel Parrish,16.757,Mark Dacascos,20.334,Celestino Cornielle,1.967,5184368,-,-,5184368,100,,,,,,,,4.7,68,movie,Run,0,2020,86,"Mystery,Thriller"
