,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
106,The House That Never Dies,"65,220,000",-,-,"65,220,000",100,,20.0,,JoeChien,GordonChan,,,4.6,350,movie,Jing Cheng 81 hao,0,2014,90,"Drama,Horror,Mystery"
107,The Pirates,"64,858,224","415,775",0.6,"64,442,449",99.4,81.0,83.0,G,WilfordLeach,"TimothyBurrill,JosephPapp",2-18-1983,,6.5,3697,movie,Hae-jeok: Ba-da-ro gan san-jeok,0,2014,130,"Action,Adventure,Comedy"
108,God's Not Dead,"64,667,874","60,755,732",94,"3,912,142",6,12.0,75.0,PG,HaroldCronk,"MichaelScott,RussellWolfe,DavidA.R.White,AnnaZielinski,ElizabethTravis",3-21-2014,20600000.0,4.8,42452,movie,God's Not Dead,0,2014,113,Drama
109,The Inbetweeners 2,"63,852,235",-,-,"63,852,235",100,69.0,60.0,,"DamonBeesley,IainMorris",,,,6.4,43632,movie,The Inbetweeners 2,0,2014,96,Comedy
110,The White Haired Witch of Lunar Kingdom,"62,515,046",-,-,"62,515,046",100,13.0,22.0,,"ChiLeung""Jacob""Cheung",JianxinHuang,,,5.3,1697,movie,Bai fa mo nu zhuan zhi ming yue tian guo,0,2014,104,Fantasy
111,Miss Granny,"58,940,254",-,-,"58,940,254",100,,,,JoyceBernal,"NeilArce,VicenteG.delRosarioIII,VeroniqueDelRosario-Corpus",,,7.2,3395,movie,Soo-sang-han geun-yeo,0,2014,124,"Comedy,Fantasy,Music"
112,A Walk Among the Tombstones,"58,834,384","26,307,600",44.7,"32,526,784",55.3,68.0,53.0,R,ScottFrank,"DannyDeVito,MichaelShamberg,StaceySher,TobinArmbrust,BrianOliver",9-19-2014,26000000.0,6.5,119735,movie,A Walk Among the Tombstones,0,2014,114,"Action,Crime,Drama"
113,Dolphin Tale 2,"57,824,533","42,024,533",72.7,"15,800,000",27.3,66.0,72.0,PG,CharlesMartinSmith,"BroderickJohnson,RichardIngber,AndrewA.Kosove,StevenP.Wegner",9-12-2014,42000000.0,6.4,9088,movie,Dolphin Tale 2,0,2014,107,"Drama,Family"
114,St. Vincent,"54,837,234","44,137,712",80.5,"10,699,522",19.5,77.0,78.0,PG-13,TheodoreMelfi,"PeterChernin,JennoTopping,TheodoreMelfi,FredRoos",10-24-2014,44100000.0,7.3,101835,movie,St. Vincent,0,2014,102,"Comedy,Drama"
115,No Good Deed,"54,323,210","52,543,632",96.7,"1,779,578",3.3,12.0,55.0,PG-13,SamMiller,"WillPacker,LeeClay",9-12-2014,52500000.0,5.6,20446,movie,No Good Deed,0,2014,84,Thriller
