,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic
81,Hubble,0,6.826,7.7,4366,45,"Documentary,Short",88.0,86.0,G,3/19/2010,123.0,70.75,0.6,15.264,,74249729,52522904.0
82,Pokémon: Zoroark: Master of Illusions,0,26.271,6.1,1985,96,"Action,Animation,Family",,70.0,,0,,,6.304,15.264,4.6892000000000005,71143529,
83,A Turtle's Tale: Sammy's Adventures,0,15.389,6.0,7424,88,"Adventure,Animation,Family",44.0,47.0,PG,0,,,1.708,15.264,14.087200000000001,71594792,
84,The Last Exorcism,1800000,25.701,5.7,49644,87,"Horror,Mystery,Thriller",72.0,35.0,PG-13,8/27/2010,79.0,47.25,1.686,4.637,8.4204,69432527,41034350.0
85,Takers,32000000,25.31,6.2,61911,107,"Action,Crime,Thriller",28.0,62.0,PG-13,8/27/2010,60.0,39.375,1.913,5.7025,19.543400000000002,80205382,57744720.0
86,Legion,26000000,231.369,5.2,104018,100,"Action,Fantasy,Horror",,14.0,TV14,1/22/2010,81.0,59.875,1.585,1.637,15.204600000000003,67918658,40168080.0
87,The American,20000000,37.988,6.3,95908,105,"Action,Crime,Drama",86.0,,,9/1/2010,89.0,91.5,1.02,1.02,9.648599999999998,67876281,35606376.0
88,The Next Three Days,30000000,58.139,7.3,194911,133,"Action,Crime,Drama",50.0,66.0,PG-13,11/19/2010,120.0,40.25,4.484,2.42575,12.1702,67448651,21148651.0
89,Skyline,10000000,109.771,4.5,89448,92,"Action,Sci-Fi,Thriller",15.0,18.0,PG-13,11/12/2010,118.0,50.125,0.0,3.374,11.3726,66984887,21394120.0
90,Devil,10000000,43.231,6.3,143130,80,"Horror,Mystery,Thriller",49.0,43.0,PG-13,9/17/2010,92.0,71.5,6.056,5.2545,16.7006,62695489,33601190.0
91,127 Hours,18000000,34.224,7.6,369651,94,"Biography,Drama",93.0,85.0,R,11/5/2010,141.0,72.875,6.737,3.411666667,13.1102,60738797,18335230.0
92,Why Did I Get Married Too?,20000000,12.338,4.6,9687,121,"Comedy,Drama,Romance",27.0,68.0,PG-13,4/2/2010,55.0,24.75,6.343,4.3115,5.730199999999999,60673972,60095852.0
93,The Ghost Writer,45000000,15.701,7.2,162021,128,"Crime,Drama,Mystery",84.0,70.0,PG-13,2/19/2010,130.0,73.0,10.168,4.657,20.851,60331447,15541549.0
94,Secretariat,35000000,16.606,7.2,28163,123,"Biography,Drama,Family",64.0,76.0,PG,10/8/2010,58.0,51.125,2.21,1.2245,16.891799999999996,60321861,59713955.0
95,Morning Glory,40000000,15.394,6.5,78101,107,"Comedy,Drama,Romance",55.0,51.0,PG-13,11/10/2010,99.0,64.75,1.846,6.7605,20.274,60040976,31011732.0
96,Remember Me,16000000,22.986,7.1,145016,113,"Drama,Romance",,78.0,,3/12/2010,125.0,56.0,0.98,0.695,21.2308,56032889,19068240.0
97,Cop Out,30000000,15.958,5.6,87556,107,"Action,Comedy,Crime",18.0,39.0,R,2/26/2010,73.0,38.875,16.02,1.763333333,14.947199999999999,55611001,44875481.0
98,Veda - Atatürk,0,1.749,7.3,7078,114,"Biography,Drama,History",,67.0,,0,,,1.32,15.264,1.6705999999999996,55024621,
99,The Crazies,20000000,29.88,6.5,119200,101,"Horror,Mystery,Thriller",71.0,56.0,R,2/26/2010,82.0,44.375,4.383,2.383,15.636000000000001,54956140,39123589.0
100,Little White Lies,565000,1.4,7.4,42,86,"Comedy,Drama",42.0,64.0,,8/24/2012,,54.25,12.213,2.824,1.9654,53319615,
101,From Paris with Love,52000000,53.337,6.4,116402,92,"Action,Crime,Thriller",37.0,54.0,R,2/5/2010,113.0,45.375,5.051,0.84,9.3592,52830951,24077427.0
102,Detective Dee: The Mystery of the Phantom Flame,13000000,13.91,6.6,11206,123,"Action,Adventure,Drama",80.0,62.0,PG-13,9/2/2011,,29.625,7.95,3.555333333,15.0,51899269,
103,Daybreakers,20000000,17.07,6.4,127396,98,"Action,Horror,Sci-Fi",69.0,49.0,R,1/8/2010,100.0,44.875,0.0,1.368666667,20.690000000000005,51416464,30101577.0
104,Alpha and Omega,20000000,17.828,5.2,14237,90,"Adventure,Animation,Comedy",18.0,41.0,PG,9/17/2010,109.0,42.875,0.0,2.278333333,14.8392,50507267,25107267.0
105,The Switch,19000000,16.105,6.1,103831,101,"Comedy,Drama,Romance",,,,8/20/2010,103.0,52.375,15.264,15.264,14.357400000000002,49830607,27779426.0
106,She's Out of My League,20000000,20.441,6.4,135723,104,"Comedy,Romance",58.0,59.0,R,3/12/2010,95.0,45.625,1.859,3.3435,18.162399999999998,49779728,32010860.0
107,Death at a Funeral,21000000,18.533,5.7,49446,92,Comedy,43.0,45.0,R,4/16/2010,77.0,38.0,3.918,5.2516,18.7044,49050886,42739347.0
108,How Do You Know,120000000,10.486,5.4,49491,121,"Comedy,Drama,Romance",31.0,25.0,PG-13,12/17/2010,116.0,84.0,4.553,1.9935,24.931600000000003,48668907,30212620.0
109,Charlie St. Cloud,44000000,26.544,6.4,61604,100,"Drama,Fantasy,Romance",28.0,60.0,PG-13,7/30/2010,97.0,45.75,3.724,3.313,16.2114,48190704,31162545.0
110,Heartbreaker,0,1.035,4.6,99,90,"Drama,Romance",,,R,0,,,0.6,15.264,,48023509,
111,Scott Pilgrim vs. the World,85000000,56.904,7.6,413494,112,"Action,Comedy,Fantasy",82.0,84.0,PG-13,8/13/2010,96.0,46.875,31.091,9.56,14.767599999999998,48000000,31524275.0
112,StreetDance 2,0,18.254,5.6,9244,85,"Drama,Music,Romance",41.0,38.0,,0,,,0.0,2.178,6.210800000000001,46960833,
113,Machete,20000000,73.313,6.6,196102,105,"Action,Crime,Thriller",72.0,63.0,R,9/3/2010,105.0,42.125,0.0,5.886,19.802,45491656,26593646.0
114,The Man from Nowhere,0,1.4,6.9,106,59,"Drama,Mystery",,,,0,,,0.98,1.865333333,0.9620000000000001,44723232,
115,Of Gods and Men,4000000,44.799,7.2,15440,122,"Drama,History",92.0,75.0,PG-13,2/25/2011,177.0,48.125,2.678,2.654,6.0984,43803417,3951596.0
116,When in Rome,55000000,13.904,5.5,62011,91,"Comedy,Romance",17.0,41.0,PG-13,1/29/2010,94.0,42.875,5.949,3.532333333,12.7928,43053376,32680633.0
117,My Name Is Khan,12000000,34.068,8.0,104991,165,"Drama,Romance",83.0,83.0,PG-13,2/12/2010,171.0,29.875,2.353,0.938,5.7504,42345360,4018771.0
118,Going the Distance,32000000,12.408,6.3,58185,103,"Comedy,Romance",,,,9/3/2010,126.0,45.0,2.705,15.264,15.864799999999999,42059111,17804299.0
119,SP: The Motion Picture I,0,1.034,5.7,125,\N,Drama,,,,0,,,15.264,15.264,5.144,39674739,
