,Release Group,Score_Rotten,Score_Audience,Rating,Genre,Director,Producer,Release Date (Theaters),Box Office (Gross USA)
22,The Legend of Tarzan,35,58,PG-13,"['Adventure', 'Action', 'Drama']",['DavidYates'],"['JerryWeintraub', 'DavidBarron', 'AlanRiche', 'TonyLudwig']","['Jul 1', '2016']",126.6M
23,The Angry Birds Movie,43,46,PG,"['Kids&family', 'Comedy', 'Action', 'Adventure', 'Animation']","['ClayKaytis', 'FergalReilly']","['JohnCohen', 'CatherineWinder', 'SeanMullen']","['May 20', '2016']",107.5M
24,Trolls,75,67,PG,"['Fantasy', 'Musical', 'Adventure', 'Kids&family', 'Comedy', 'Animation']","['MikeMitchell', 'WaltDohrn']",['GinaShay'],"['Nov 4', '2016']",153.6M
25,Star Trek Beyond,86,80,PG-13,"['Fantasy', 'Action', 'Sci-fi', 'Adventure']",['JustinLin'],"['J.J.Abrams', 'BryanBurk', 'RobertoOrci']","['Jul 22', '2016']",158.8M
26,The Great Wall,,,,,,,,
27,Now You See Me 2,34,53,PG-13,"['Adventure', 'Comedy']",['JonM.Chu'],"['RobertoOrci', 'BobbyCohen', 'AlexKurtzman']","['Jun 10', '2016']",65.0M
28,The Conjuring 2,80,81,R,"['Horror', 'Mystery&thriller']",['JamesWan'],"['PeterSafran', 'RobCowan', 'JamesWan']","['Jun 10', '2016']",102.5M
29,Resident Evil: The Final Chapter,37,48,R,"['Horror', 'Action']",['PaulW.S.Anderson'],"['JeremyBolt', 'PaulW.S.Anderson', 'RobertKulzer', 'SamuelHadida']","['Jan 27', '2017']",26.8M
30,Dangal,88,93,,"['Drama', 'Biography', 'Action']",['NiteshTiwari'],"['AamirKhan', 'KiranRao', 'SiddharthRoyKapur']","['Dec 21', '2016']",12.4M
31,Passengers,30,63,PG-13,"['Mystery&thriller', 'Romance', 'Sci-fi', 'Adventure']",['MortenTyldum'],"['StephenHamel', 'MichaelMaher', 'NealH.Moritz', 'OriMarmur']","['Dec 21', '2016']",100.0M
32,Alice Through the Looking Glass,28,48,PG,"['Adventure', 'Fantasy']",['JamesBobin'],"['JoeRoth', 'SuzanneTodd', 'JenniferTodd', 'TimBurton']","['May 27', '2016']",77.0M
33,Miss Peregrine's Home for Peculiar Children,65,60,PG-13,"['Drama', 'Fantasy', 'Adventure', 'Action', 'Mystery&thriller']",['TimBurton'],"['PeterChernin', 'JennoTopping']","['Sep 30', '2016']",87.2M
34,Teenage Mutant Ninja Turtles: Out of the Shadows,38,46,PG-13,"['Adventure', 'Comedy', 'Action']",['DaveGreen'],"['MichaelBay', 'AndrewForm', 'BradFuller', 'GalenWalker', 'ScottMednick']","['Jun 3', '2016']",82.0M
35,Sully,85,84,PG-13,"['Drama', 'Biography']",['ClintEastwood'],"['ClintEastwood', 'FrankMarshall', 'AllynStewart', 'TimMoore']","['Sep 9', '2016']",125.0M
36,Assassin's Creed,18,42,PG-13,"['Action', 'Adventure']",['JustinKurzel'],"['Jean-JulienBaronnet', 'GerardGuillemot', 'FrankMarshall', 'PatrickCrowley', 'MichaelFassbender', 'ConorMcCaughan', 'ArnonMilchan']","['Dec 21', '2016']",54.6M
37,Hidden Figures,93,93,PG,"['History', 'Drama']",['TheodoreMelfi'],"['DonnaGigliotti', 'PeterChernin', 'JennoTopping', 'PharrellWilliams', 'TheodoreMelfi']","['Jan 6', '2017']",169.3M
