,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
62,62,Get Hard,111711453,90411453,80.9,21300000,19.1,28.0,45.0,R,EtanCohen,"WillFerrell,AdamMcKay,ChrisHenchy",3-27-2015,90400000.0,6.0,133268,movie,Get Hard,0,2015,100,"Comedy,Crime"
63,63,Paul Blart: Mall Cop 2,107588225,71038190,66,36550035,34.0,6.0,33.0,PG,AndyFickman,"ToddGarner,KevinJames,AdamSandler,JackGiarraputo",4-17-2015,71000000.0,4.4,37007,movie,Paul Blart: Mall Cop 2,0,2015,94,"Action,Comedy,Crime"
64,64,Vacation,107228221,58884188,54.9,48344033,45.1,27.0,45.0,R,"JonathanM.Goldstein,JohnFrancisDaley","DavidDobkin,ChrisBender",7-29-2015,58900000.0,6.1,109082,movie,Vacation,0,2015,99,"Adventure,Comedy"
65,65,The Man from U.N.C.L.E.,107045109,45445109,42.5,61600000,57.5,68.0,73.0,PG-13,GuyRitchie,"JohnDavis,LionelWigram,GuyRitchie,SteveClark-Hall",8-14-2015,45400000.0,7.2,299815,movie,The Man from U.N.C.L.E.,0,2015,116,"Action,Adventure,Comedy"
66,66,Chronicles of the Ghostly Tribe,106380000,-,-,106380000,100.0,,,,,,,,5.2,1704,movie,Jiu ceng yao ta,0,2015,118,"Action,Adventure,Drama"
67,67,Shaun the Sheep Movie,106209378,19375982,18.2,86833396,81.8,99.0,81.0,PG,"MarkBurton,RichardStarzak","JulieLockhart,PaulKewley",8-5-2015,19400000.0,7.3,40109,movie,Shaun the Sheep Movie,0,2015,85,"Adventure,Animation,Comedy"
68,68,Sisters,105011053,87044645,82.9,17966408,17.1,,,,YaminaBenguigui,PhilippeDupuis-Mendel,10-29-2021,,6.0,66080,movie,Sisters,0,2015,118,Comedy
69,69,Chappie,102811889,31569268,30.7,71242621,69.3,32.0,56.0,R,NeillBlomkamp,"NeillBlomkamp,SimonKinberg",3-6-2015,31600000.0,6.8,245978,movie,Chappie,0,2015,120,"Action,Crime,Drama"
70,70,Joy,101134059,56451232,55.8,44682827,44.2,60.0,57.0,PG-13,DavidO.Russell,"JohnDavis,KenMok,MeganEllison,JonathanGordon,DavidO.Russell",12-25-2015,56400000.0,6.6,135021,movie,Joy,0,2015,124,"Biography,Drama"
71,71,Black Mass,99775678,62575678,62.7,37200000,37.3,73.0,68.0,R,ScottCooper,"JohnLesher,BrianOliver,ScottCooper,PatrickMcCormick,TylerThompson",9-18-2015,62600000.0,6.9,177202,movie,Black Mass,0,2015,123,"Biography,Crime,Drama"
72,72,Spotlight,98690254,45055776,45.7,53634478,54.3,97.0,93.0,R,TomMcCarthy,"MichaelSugar,SteveGolin,NicoleRocklin,BlyePagonFaust",11-20-2015,45000000.0,8.1,456956,movie,Spotlight,0,2015,129,"Biography,Crime,Drama"
73,73,Spotlight,98690254,45055776,45.7,53634478,54.3,97.0,93.0,R,TomMcCarthy,"MichaelSugar,SteveGolin,NicoleRocklin,BlyePagonFaust",11-20-2015,45000000.0,7.9,15,movie,Spotlight,0,2015,99,Drama
74,74,Devil and Angel,98599942,131058,0.1,98468884,99.9,,,,,,,,4.3,261,movie,E gun tian shi,0,2015,124,Comedy
75,75,The Visit,98450062,65206105,66.2,33243957,33.8,68.0,51.0,PG-13,M.NightShyamalan,"M.NightShyamalan,JasonBlum,MarcBienstock",9-11-2015,65099999.99999999,6.2,127090,movie,The Visit,0,2015,94,"Horror,Mystery,Thriller"
76,76,The Visit,98450062,65206105,66.2,33243957,33.8,68.0,51.0,PG-13,M.NightShyamalan,"M.NightShyamalan,JasonBlum,MarcBienstock",9-11-2015,65099999.99999999,5.9,728,movie,The Visit,0,2015,83,Documentary
77,77,The Little Prince,97571250,1339152,1.4,96232098,98.6,93.0,84.0,PG,MarkOsborne,"DimitriRassam,AtonSoumache,AlexisVonarb",8-5-2016,1300000.0,7.7,60989,movie,Le Petit Prince,0,2015,108,"Adventure,Animation,Drama"
78,78,The Little Prince,97571250,1339152,1.4,96232098,98.6,93.0,84.0,PG,MarkOsborne,"DimitriRassam,AtonSoumache,AlexisVonarb",8-5-2016,1300000.0,8.0,5,movie,The Little Prince,0,2015,49,Documentary
79,79,Assassination,96119773,1904682,2,94215091,98.0,83.0,84.0,,ChoiDong-hoon,AhnSuhyeon,8-7-2015,1900000.0,7.3,6842,movie,Amsal,0,2015,140,"Action,Drama,Thriller"
80,80,Poltergeist,95437994,47425125,49.7,48012869,50.3,30.0,22.0,PG-13,GilKenan,"SamRaimi,RobTapert,RoyLee",5-22-2015,47300000.0,4.9,57662,movie,Poltergeist,0,2015,93,"Horror,Thriller"
81,81,Veteran,94393020,1200627,1.3,93192393,98.7,90.0,78.0,,RyooSeung-wan,,,1000000.0,7.0,6447,movie,Beterang,0,2015,123,"Action,Comedy,Crime"
82,82,In the Heart of the Sea,93920758,25020758,26.6,68900000,73.4,42.0,53.0,PG-13,RonHoward,"PaulaWeinstein,JoeRoth,WillWard,BrianGrazer,RonHoward",12-11-2015,23100000.0,6.9,135302,movie,In the Heart of the Sea,0,2015,122,"Action,Adventure,Biography"
83,83,Kill Zone 2,93638358,11998,<0.1,93626360,100.0,,,,,,,,6.7,6669,movie,Saat po long 2,0,2015,120,"Action,Adventure,Crime"
84,84,Southpaw,91970827,52421953,57,39548874,43.0,60.0,75.0,R,AntoineFuqua,"ToddBlack,JasonBlumenthal,AntoineFuqua,AlanRiche,PeterRiche,SteveTisch,JerryYe",7-24-2015,52400000.0,7.4,232116,movie,Southpaw,0,2015,124,"Action,Crime,Drama"
85,85,The Second Best Exotic Marigold Hotel,85978266,33078266,38.5,52900000,61.5,65.0,59.0,PG,JohnMadden,"GrahamBroadbent,PeterCzernin",3-6-2015,33000000.0,6.5,33495,movie,The Second Best Exotic Marigold Hotel,0,2015,122,"Comedy,Drama,Romance"
86,86,Paper Towns,85512300,32000304,37.4,53511996,62.6,58.0,47.0,PG-13,JakeSchreier,"WyckGodfrey,MartyBowen",7-24-2015,31900000.0,6.3,101425,movie,Paper Towns,0,2015,109,"Adventure,Comedy,Drama"
87,87,Sicario,84872444,46889293,55.2,37983151,44.8,92.0,85.0,R,DenisVilleneuve,"BasilIwanyk,EdwardL.McDonnell,MollySmith,ThadLuckinbill,TrentLuckinbill",10-2-2015,46900000.0,7.7,413701,movie,Sicario,0,2015,121,"Action,Crime,Drama"
88,88,Our Times,83867493,-,-,83867493,100.0,,79.0,,YuShanChen,Ju-fengYeh,,722.5K,7.4,5220,movie,Wo de shaonu shidai,0,2015,134,"Comedy,Romance"
89,89,Suck Me Shakespeer 2,83027924,-,-,83027924,100.0,,,,,,,,5.9,12861,movie,Fack ju Göhte 2,0,2015,115,Comedy
90,90,Hitman: Agent 47,82347656,22467450,27.3,59880206,72.7,8.0,40.0,R,AleksanderBach,"CharlesGordon,AdrianAskarieh,AlexYoung,SkipWoods",8-21-2015,22400000.0,5.7,89895,movie,Hitman: Agent 47,0,2015,96,"Action,Crime,Thriller"
91,91,Wolf Warrior,81411331,-,-,81411331,100.0,,23.0,,JingWu,LivJianmin,,,5.3,5137,movie,Zhan lang,0,2015,90,"Action,Crime,Thriller"
92,92,Go Away Mr. Tumor,80606893,286639,0.4,80320254,99.6,,80.0,,HanYan,,8-14-2015,284.4K,6.6,1118,movie,Gun dan ba! Zhong liu jun,0,2015,85,"Comedy,Romance"
93,93,The Wedding Ringer,79799880,64460211,80.8,15339669,19.2,29.0,63.0,R,JeremyGarelick,"AdamFields,WillPacker",1-16-2015,64500000.0,6.6,74935,movie,The Wedding Ringer,0,2015,101,Comedy
94,94,Paranormal Activity: The Ghost Dimension,78903124,18300124,23.2,60603000,76.8,14.0,27.0,R,GregoryPlotkin,"JasonBlum,OrenPeli",10-23-2015,18300000.0,4.6,27505,movie,Paranormal Activity: The Ghost Dimension,0,2015,88,"Horror,Mystery"
95,95,The Left Ear,78015473,-,-,78015473,100.0,,50.0,,AlecSu,,,,5.5,449,movie,Zuo er,0,2015,120,Drama
96,96,Tiny Times 4.0,77750000,-,-,77750000,100.0,,,,,,,,3.0,466,movie,Xiao shi dai 4: Ling hun jin tou,0,2015,116,"Drama,Romance"
97,97,Bajrangi Bhaijaan,75547184,8178001,10.8,67369183,89.2,88.0,86.0,,KabirKhan,"AmarButala,KabirKhan,SalmanKhan,SunilLulla,RocklineVenkatesh",,7700000.0,8.1,84431,movie,Bajrangi Bhaijaan,0,2015,163,"Action,Adventure,Comedy"
98,98,War Room,73267874,67790117,92.5,5477757,7.5,34.0,87.0,PG,AlexKendrick,StephenKendrick,8-28-2015,67800000.0,6.5,14723,movie,War Room,0,2015,120,Drama
99,99,The Transporter Refueled,72629670,16029670,22.1,56600000,77.9,15.0,30.0,PG-13,CamilleDelamarre,"LucBesson,MarkGao",9-4-2015,16000000.0,5.2,41706,movie,The Transporter Refueled,0,2015,96,"Action,Thriller"
100,100,Run All Night,71561644,26461644,37,45100000,63.0,59.0,56.0,R,JaumeCollet-Serra,"RoyLee,BrooklynWeaver,MichaelTadross",3-13-2015,26500000.0,6.6,108082,movie,Run All Night,0,2015,114,"Action,Crime,Thriller"
101,101,Running Man,68782475,310978,0.5,68471497,99.5,,18.0,,,,1-30-2015,278.5K,2.5,115,movie,Benpao Ba! Xiongdi,0,2015,88,"Action,Comedy,Documentary"
102,102,The Age of Adaline,65663276,42629776,64.9,23033500,35.1,55.0,67.0,PG-13,LeeTolandKrieger,"SidneyKimmel,TomRosenberg,GaryLucchesi",4-24-2015,42600000.0,7.2,170846,movie,The Age of Adaline,0,2015,112,"Drama,Fantasy,Romance"
103,103,Monk Comes Down the Mountain,64455686,-,-,64455686,100.0,,41.0,,ChenKaige,ChenHong,,,5.5,1917,movie,Dao shi xia shan,0,2015,123,Action
104,104,Zhongkui: Snow Girl and the Dark Crystal,64325947,165428,0.3,64160519,99.7,,,,,,,,5.3,1331,movie,Zhong Kui fu mo: Xue yao mo ling,0,2015,118,"Action,Fantasy,Romance"
105,105,The Danish Girl,64191523,11114018,17.3,53077505,82.7,66.0,72.0,R,TomHooper,"TomHooper,GailMutrux,AnneHarrison,TimBevan,EricFellner",12-25-2015,11100000.0,7.1,179963,movie,The Danish Girl,0,2015,119,"Biography,Drama,Romance"
106,106,The Boy,64188367,35819556,55.8,28368811,44.2,75.0,85.0,R,JoelSchumacher,HarveyBernhard,7-31-1987,31700000.0,5.5,5332,movie,The Boy,0,2015,111,"Drama,Horror,Thriller"
107,107,The Hundred Regiments Offensive,63230000,-,-,63230000,100.0,,,,,,,,4.1,100,movie,Bai tuan da zhan,0,2015,111,War
108,108,The Longest Ride,62944815,37446117,59.5,25498698,40.5,31.0,71.0,PG-13,GeorgeTillmanJr.,"NicholasSparks,MartyBowen,WyckGodfrey,TheresaPark",4-10-2015,37400000.0,7.1,81597,movie,The Longest Ride,0,2015,123,"Comedy,Drama,Romance"
109,109,Brooklyn,62076141,38322743,61.7,23753398,38.3,97.0,87.0,PG-13,JohnCrowley,"FinolaDwyer,AmandaPosey",11-25-2015,38300000.0,7.5,139594,movie,Brooklyn,0,2015,117,"Drama,Romance"
110,110,"Dragon Ball Z: Resurrection ""F""",61768190,8008363,13,53759827,87.0,83.0,84.0,,TadayoshiYamamuro,,8-4-2015,7900000.0,7.3,21943,movie,Dragon Ball Z: Doragon bôru Z - Fukkatsu no 'F',0,2015,93,"Action,Adventure,Animation"
111,111,Woman in Gold,61619773,33307793,54.1,28311980,45.9,57.0,79.0,PG-13,SimonCurtis,"DavidM.Thompson,KrisThykier",4-10-2015,33299999.999999996,7.3,57739,movie,Woman in Gold,0,2015,109,"Biography,Drama,History"
