movie,startdate,releasedate,Text,mean_google_trend_popularity
Five Feet Apart,2019-03-08,2019-03-15,,38.0
Rambo: Last Blood,2019-09-13,2019-09-20,,37.125
Jojo Rabbit,2019-11-01,2019-11-08,,66.75
A Dog's Way Home,2019-01-04,2019-01-11,,45.5
Cold Pursuit,2019-02-01,2019-02-08,,28.875
A Dog's Journey,2019-05-10,2019-05-17,,51.75
A Madea Family Funeral,2019-02-22,2019-03-01,,41.375
Cats,2019-12-13,2019-12-20,,60.5
Charlie's Angels,2019-11-08,2019-11-15,,60.625
Doctor Sleep,2019-11-01,2019-11-08,,59.0
What Men Want,2019-02-01,2019-02-08,,41.5
After,2022-02-25,2022-03-04,,98.0
Playing with Fire,2019-11-01,2019-11-08,,29.375
A Beautiful Day in the Neighborhood,2019-11-15,2019-11-22,,44.5
War,2021-11-12,2021-11-19,,89.125
Happy Death Day 2U,2019-02-06,2019-02-13,,35.5
White Snake,2019-11-08,2019-11-15,,86.875
Bombshell,2019-12-13,2019-12-20,,59.875
Ashfall,2019-12-13,2019-12-20,,48.5
Ready or Not,2019-08-14,2019-08-21,,41.625
Hellboy,2019-04-05,2019-04-12,,42.0
Long Shot,2019-04-26,2019-05-03,,31.0
Kingdom,2007-09-21,2007-09-28,,85.75
Breakthrough,2019-04-10,2019-04-17,,54.375
Just Mercy,2020-01-03,2020-01-10,,37.75
Uncut Gems,2019-12-18,2019-12-25,,41.125
21 Bridges,2019-11-15,2019-11-22,,28.25
The Grudge,2019-12-27,2020-01-03,,33.0
Little,2006-07-07,2006-07-14,,86.875
Isn't It Romantic,2019-02-06,2019-02-13,,41.0
Countdown,2019-10-18,2019-10-25,,56.125
Midsommar,2019-08-23,2019-08-30,,78.875
Queen & Slim,2019-11-20,2019-11-27,,24.75
47 Meters Down: Uncaged,2019-08-09,2019-08-16,,34.5
Judy,2019-09-20,2019-09-27,,63.75
Child's Play,2019-06-14,2019-06-21,,35.0
Richard Jewell,2019-12-06,2019-12-13,,66.125
Harriet,2019-10-25,2019-11-01,,41.5
Fighting with My Family,2019-02-15,2019-02-22,,38.375
The Last Wish,2019-09-13,2019-09-20,,68.75
Uri: The Surgical Strike,2019-01-04,2019-01-11,,20.0
Overcomer,2019-08-16,2019-08-23,,33.5
Pain and Glory,2019-09-27,2019-10-04,,49.75
The Intruder,2019-04-26,2019-05-03,,30.125
The Battle: Roar to Victory,2019-08-09,2019-08-16,,28.75
The Good Liar,2019-11-08,2019-11-15,,42.125
The Art of Racing in the Rain,2019-08-02,2019-08-09,,35.625
Bharat,2019-05-29,2019-06-05,,27.375
Brightburn,2019-05-17,2019-05-24,,42.25
UglyDolls,2019-04-26,2019-05-03,,50.25
Stuber,2019-07-05,2019-07-12,,29.75
The Kid Who Would Be King,2019-01-18,2019-01-25,,46.5
Anna,2006-01-20,2006-01-27,,78.0
My Dear Liar,2019-11-01,2019-11-08,,19.875
My Hero Academia: Heroes Rising,2020-02-19,2020-02-26,,45.625
Gully Boy,2019-02-07,2019-02-14,,22.875
Total Dhamaal,2019-02-15,2019-02-22,,24.75
Missing Link,2019-04-05,2019-04-12,,37.875
No Manches Frida 2,2019-03-08,2019-03-15,,33.875
"The Gangster, the Cop, the Devil",2019-05-31,2019-06-07,,31.25
Booksmart,2019-05-17,2019-05-24,,31.25
Super 30,2019-07-05,2019-07-12,,20.125
Skyfire,2021-02-05,2021-02-12,,58.875
Pinocchio,2020-12-18,2020-12-25,,63.125
A Rainy Day in New York,2020-10-02,2020-10-09,,78.125
The Peanut Butter Falcon,2019-08-16,2019-08-23,,42.125
Only Cloud Knows,2019-12-13,2019-12-20,,21.25
Dark Waters,2019-11-29,2019-12-06,,50.5
The Farewell,2019-07-26,2019-08-02,,74.0
Black and Blue,2019-10-18,2019-10-25,,39.125
Late Night,2019-06-07,2019-06-14,,58.625
Les Misérables,2012-12-18,2012-12-25,,54.625
Shaft,2019-06-07,2019-06-14,,56.25
Unplanned,2019-03-22,2019-03-29,,30.0
Hotel Mumbai,2019-03-22,2019-03-29,,49.75
Always Miss You,2019-04-26,2019-05-03,,74.125
Greta,2019-02-22,2019-03-01,,50.125
Peppa Celebrates Chinese New Year,2019-01-29,2019-02-05,,26.875
