movie,startdate,releasedate,Text,mean_google_trend_popularity
The Mechanic,2011-01-21,2011-01-28,,42.75
The Change-Up,2011-07-29,2011-08-05,,55.875
Larry Crowne,2011-06-24,2011-07-01,,42.125
Diary of a Wimpy Kid: Rodrick Rules,2011-03-18,2011-03-25,,35.0
The Dilemma,2011-01-07,2011-01-14,,41.375
Something Borrowed,2011-04-29,2011-05-06,,43.125
The Darkest Hour,2011-12-18,2011-12-25,,43.375
Hanna,2011-04-01,2011-04-08,,68.625
Conan the Barbarian,2011-08-12,2011-08-19,,46.5
Colombiana,2011-08-19,2011-08-26,,73.875
From Up on Poppy Hill,2013-03-08,2013-03-15,,46.0
One Day,2011-08-12,2011-08-19,,74.625
The Tree of Life,2011-05-20,2011-05-27,,54.5
Killer Elite,2011-09-16,2011-09-23,,47.125
Silent Hill: Revelation,2012-10-19,2012-10-26,,52.25
Extremely Loud & Incredibly Close,2012-01-13,2012-01-20,,43.25
Madea's Big Happy Family,2011-04-15,2011-04-22,,30.25
Winnie the Pooh,2011-07-08,2011-07-15,,57.125
Arthur,2011-04-01,2011-04-08,,81.75
Soul Surfer,2011-04-01,2011-04-08,,52.125
The Debt,2011-08-24,2011-08-31,,59.375
Beastly,2011-02-25,2011-03-04,,55.5
Shaolin,2011-09-02,2011-09-09,,78.625
Born to Be Wild,2011-04-01,2011-04-08,,53.625
Shark Night,2011-08-26,2011-09-02,,40.625
50/50,2011-09-23,2011-09-30,,44.625
Fright Night,2011-08-12,2011-08-19,,40.25
Drive Angry,2011-02-18,2011-02-25,,55.875
30 Minutes or Less,2011-08-05,2011-08-12,,45.125
The Roommate,2011-01-28,2011-02-04,,44.125
Dream House,2011-09-23,2011-09-30,,43.5
Monte Carlo,2011-06-24,2011-07-01,,67.375
Mars Needs Moms,2011-03-04,2011-03-11,,49.875
Don't Be Afraid of the Dark,2011-08-19,2011-08-26,,45.375
Jumping the Broom,2011-04-29,2011-05-06,,35.875
One for the Money,2012-01-20,2012-01-27,,50.375
The Eagle,2011-02-04,2011-02-11,,64.875
A Very Harold & Kumar Christmas,2011-10-28,2011-11-04,,31.125
Ra.One,2011-10-19,2011-10-26,,30.5
Courageous,2011-09-23,2011-09-30,,42.5
My Week with Marilyn,2011-11-18,2011-11-25,,71.625
The Sitter,2011-12-02,2011-12-09,,43.75
Jane Eyre,2011-03-04,2011-03-11,,50.875
The Skin I Live In,2011-10-07,2011-10-14,,34.75
The Thing,2011-10-07,2011-10-14,,65.75
I Don't Know How She Does It,2011-09-09,2011-09-16,,43.125
African Cats,2011-04-15,2011-04-22,,28.0
Carnage,2011-12-09,2011-12-16,,77.875
A Dangerous Method,2011-11-16,2011-11-23,,72.625
What's Your Number?,2011-09-23,2011-09-30,,41.5
The Rum Diary,2011-10-21,2011-10-28,,45.625
The Sorcerer and the White Snake,2013-02-01,2013-02-08,,46.25
Your Highness,2011-04-01,2011-04-08,,43.25
Apollo 18,2011-08-26,2011-09-02,,47.375
Our Idiot Brother,2011-08-19,2011-08-26,,31.75
Warrior,2011-09-02,2011-09-09,,83.625
Young Adult,2011-12-09,2011-12-16,,66.75
A Separation,2011-12-23,2011-12-30,,64.75
Polisse,2012-05-11,2012-05-18,,74.0
Hollywoo,2006-09-01,2006-09-08,,28.25
