,Unnamed: 0,Unnamed: 0.1,Movie Title,Worldwide,Budget,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
32,32,32,Passengers,303144152,100014699,33,203129453,67,30.0,63.0,PG-13,MortenTyldum,"StephenHamel,MichaelMaher,NealH.Moritz,OriMarmur",12-21-2016,100000000.0,7.0,388526,movie,Passengers,0,2016,116,"Drama,Romance,Sci-Fi"
33,33,33,Alice Through the Looking Glass,299457024,77041381,25.7,222415643,74.3,28.0,48.0,PG,JamesBobin,"JoeRoth,SuzanneTodd,JenniferTodd,TimBurton",5-27-2016,77000000.0,6.2,104310,movie,Alice Through the Looking Glass,0,2016,113,"Adventure,Family,Fantasy"
34,34,34,Miss Peregrine's Home for Peculiar Children,296482446,87242834,29.4,209239612,70.6,65.0,60.0,PG-13,TimBurton,"PeterChernin,JennoTopping",9-30-2016,87200000.0,6.7,167868,movie,Miss Peregrine's Home for Peculiar Children,0,2016,127,"Adventure,Drama,Family"
35,35,35,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,33.4,163572247,66.6,38.0,46.0,PG-13,DaveGreen,"MichaelBay,AndrewForm,BradFuller,GalenWalker,ScottMednick",6-3-2016,82000000.0,5.9,91376,movie,Teenage Mutant Ninja Turtles: Out of the Shadows,0,2016,112,"Action,Adventure,Comedy"
36,36,36,Sully,240797623,125070033,51.9,115727590,48.1,85.0,84.0,PG-13,ClintEastwood,"ClintEastwood,FrankMarshall,AllynStewart,TimMoore",9-9-2016,125000000.0,7.4,263077,movie,Sully,0,2016,96,"Biography,Drama"
37,37,37,Assassin's Creed,240697856,54647948,22.7,186049908,77.3,18.0,42.0,PG-13,JustinKurzel,"Jean-JulienBaronnet,GerardGuillemot,FrankMarshall,PatrickCrowley,MichaelFassbender,ConorMcCaughan,ArnonMilchan",12-21-2016,54600000.0,5.7,196263,movie,Assassin's Creed,0,2016,115,"Action,Adventure,Sci-Fi"
38,38,38,Hidden Figures,235956898,169607287,71.9,66349611,28.1,93.0,93.0,PG,TheodoreMelfi,"DonnaGigliotti,PeterChernin,JennoTopping,PharrellWilliams,TheodoreMelfi",1-6-2017,169300000.0,7.8,221031,movie,Hidden Figures,0,2016,127,"Biography,Drama,History"
39,39,39,Ghostbusters,229147509,128350574,56,100796935,44,74.0,49.0,PG-13,PaulFeig,"IvanReitman,AmyPascal",7-15-2016,,6.9,225661,movie,Ghostbusters,0,2016,117,"Action,Comedy,Fantasy"
40,40,40,Inferno,220021259,34343574,15.6,185677685,84.4,23.0,36.0,PG-13,RonHoward,"BrianGrazer,RonHoward",10-28-2016,34300000.0,6.2,172135,movie,Inferno,0,2016,121,"Action,Adventure,Crime"
41,41,41,Central Intelligence,216972543,127440871,58.7,89531672,41.3,71.0,62.0,PG-13,RawsonMarshallThurber,"ScottStuber,PeterPrincipato,PaulYoung,MichaelFottrell",6-17-2016,127400000.0,6.3,182357,movie,Central Intelligence,0,2016,107,"Action,Comedy,Crime"
