,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
100,100,Happy Death Day 2U,64600152,28148130,43.6,36452022,56.4,71.0,58.0,PG-13,ChristopherLandon,JasonBlum,2-13-2019,28000000.0,6.2,70639,movie,Happy Death Day 2U,0,2019,100,"Comedy,Horror,Mystery"
101,101,White Snake,62098770,34730,<0.1,62064040,99.9,70.0,84.0,,AmpWong,"StephanieSheh,MichaelSinterniklaas",11-15-2019,33.9K,7.1,4054,movie,Bai She: Yuan qi,0,2019,99,"Action,Adventure,Animation"
102,102,Bombshell,61404394,31762808,51.7,29641586,48.3,67.0,84.0,R,JayRoach,"AaronL.Gilbert,JayRoach,RobertGraf,MichelleGraham,CharlesRandolph,MargaretRiley,CharlizeTheron,BethKono,A.J.Dix",12-20-2019,31700000.0,6.8,110452,movie,Bombshell,0,2019,109,"Biography,Drama"
103,103,Ashfall,61354854,372562,0.6,60982292,99.4,73.0,74.0,,"KimByeong-seo,LeeHae-jun","KangMyeong-chan,LeeHae-jun",12-20-2019,233.0K,6.2,4554,movie,Baekdusan,0,2019,130,"Action,Adventure,Thriller"
104,104,Ma,61105672,45896028,75.1,15209644,24.9,57.0,,,"BenjaminBergmann,JonoBergmann","KarolMartesko,BenjaminBergmann,JonoBergmann",5-13-2022,,5.6,51807,movie,Ma,0,2019,99,"Horror,Mystery,Thriller"
105,105,My Best Summer,60011073,-,-,60011073,100,,,,,,,,6.0,218,movie,Zui hao de wo men,0,2019,109,"Drama,Romance"
106,106,Ready or Not,57615777,28714231,49.8,28901546,50.2,,,,"DavidModigliani,PalomaMartinez",,,,6.8,139042,movie,Ready or Not,0,2019,95,"Action,Comedy,Horror"
107,107,Jade Dynasty,57149764,-,-,57149764,100,,,,,,,,6.5,1744,movie,Zhu xian I,0,2019,101,"Action,Fantasy,Romance"
108,108,Das perfekte Geheimnis,56573047,-,-,56573047,100,,,,,,,,6.6,5256,movie,Das perfekte Geheimnis,0,2019,120,"Comedy,Drama,Romance"
109,109,The Big Shot,56040681,-,-,56040681,100,,,,BaiWu,,,,5.8,238,movie,Da ren wu,0,2019,107,"Action,Crime"
