moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
The A-Team,"
June 11, 2010 (2010-06-11)
",$100–110 million,1,1,2010,110000000,6/11/2010,110000000,110000000
Jackass 3D,"
October 15, 2010 (2010-10-15)
",$20 million,1,1,2010,20000000,10/15/2010,20000000,20000000
Unstoppable,"
October 26, 2010 (2010-10-26) (Westwood)
November 12, 2010 (2010-11-12) (United States)
",$85–100 million,1,1,2010,100000000,11/12/2010,100000000,100000000
The Book of Eli,"
January 15, 2010 (2010-01-15)
",$80 million,1,1,2010,80000000,1/15/2010,80000000,80000000
The Town,"
September 8, 2010 (2010-09-08) (Venice)
September 17, 2010 (2010-09-17) (United States)
",$37 million,1,1,2010,37000000,9/17/2010,37000000,37000000
Date Night,"
April 6, 2010 (2010-04-06) (New York City)
April 9, 2010 (2010-04-09) (United States)
",$55 million,1,1,2010,55000000,4/9/2010,55000000,55000000
Legend of the Guardians: The Owls of Ga'Hoole,"
September 19, 2010 (2010-09-19) (Grauman's Chinese Theatre)
September 24, 2010 (2010-09-24) (United States)
September 30, 2010 (2010-09-30) (Australia)
",$80 million,1,1,2010,80000000,9/30/2010,80000000,80000000
The Wolfman,"
January 27, 2010 (2010-01-27) (Arclight Hollywood)
February 12, 2010 (2010-02-12) (United States)
",$150 million,1,1,2010,150000000,2/12/2010,150000000,150000000
The Bounty Hunter,"
March 19, 2010 (2010-03-19)
",$40–$45 million,1,1,2010,45000000,3/19/2010,45000000,45000000
Wall Street: Money Never Sleeps,"
May 14, 2010 (2010-05-14) (Cannes)
September 24, 2010 (2010-09-24) (US)
",$70 million,1,1,2010,70000000,9/24/2010,70000000,70000000
The Adjustment Bureau,"
February 14, 2011 (2011-02-14) (Ziegfeld Theatre)
March 4, 2011 (2011-03-04) (United States)
",$50.2 million,1,1,2010,50000000,3/4/2011,50200000,50200000
Dear John,"
February 5, 2010 (2010-02-05) (United States)
",$25 million,1,1,2010,25000000,2/5/2010,25000000,25000000
