,Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,Score
1136,The Nice Guys,50000000,24.027,7.4,311302,116,"Action,Comedy,Crime",91.0,79.0,R,5/20/2016,79.0,31.875,8.983,2.846,14.4184,62788218,36261763.0,0.8083978801
1137,L.O.R.D: Legend of Ravaging Dynasties,0,26.972,5.1,1206,118,"Adventure,Animation,Fantasy",,31.0,,9/30/2016,,37.0,5.582,15.264,11.7962,58089494,,
1138,Nine Lives,30000000,23.845,5.3,22494,87,"Comedy,Drama,Family",14.0,41.0,PG,8/5/2016,113.0,32.5,7.28,1.774,22.5188,57814445,19700032.0,0.8192090395
1139,Zoolander 2,50000000,21.245,4.7,68496,101,"Action,Adventure,Comedy",22.0,20.0,PG-13,2/12/2016,92.0,51.125,16.396,4.9228,24.2102,56722693,28848693.0,0.2972636816
1140,Barbershop: The Next Cut,20000000,26.372,5.9,15090,111,"Comedy,Drama",90.0,66.0,PG-13,4/15/2016,61.0,21.5,9.21,6.705666667,10.264600000000000,55030051,54030051.0,-0.1670864819
1141,The Age of Shadows,9620000,12.301,7.1,9764,140,"Action,Drama,Thriller",100.0,83.0,,9/23/2016,,44.0,7.389,0.6,12.8966,54491162,,
1142,A Chinese Odyssey: Part Three,0,7.286,3.6,449,93,Fantasy,,87.0,,0,,,7.899,15.264,9.337,53306108,,
1143,Patriots Day,45000000,34.765,7.4,100371,133,"Action,Crime,Drama",80.0,86.0,R,12/21/2017,83.0,29.0,12.59,11.2515,23.9968,52185751,31886361.0,0.4491017964
1144,My Beloved Bodyguard,0,7.899,5.9,2158,99,"Action,Crime,Drama",,,,0,,,15.264,15.264,8.528400000000000,52165873,,
1145,The Finest Hours,80000000,32.148,6.7,65757,117,"Action,Drama,History",63.0,66.0,PG-13,1/29/2016,94.0,43.625,4.636,1.2765,16.1362,52099090,27569558.0,0.6445916115
1146,Master,0,15.751,4.9,2968,98,"Drama,Horror,Mystery",74.0,40.0,R,3/18/2022,,96.5,1.4,0.848333333,7.7318,51636415,,
