moviename,release_date,budget,year,cleaned_budget,cleaned_release_date
Death at a Funeral,"
April 12, 2010 (2010-04-12) (Hollywood)
April 16, 2010 (2010-04-16) (United States)
",$21 million,2010.0,21000000.0,2010-04-16
How Do You Know,,,2010.0,,
Charlie St. Cloud,,,2010.0,,
Heartbreaker,"
17 March 2010 (2010-03-17)
",$10 million,2010.0,10000000.0,2010-03-17
Scott Pilgrim vs. the World,"
July 27, 2010 (2010-07-27) (Fantasia Festival)
August 13, 2010 (2010-08-13) (United States)
August 25, 2010 (2010-08-25) (United Kingdom)
April 29, 2011 (2011-04-29) (Japan)
",$60–85 million,2010.0,85000000.0,2011-04-29
StreetDance 2,"
30 March 2012 (2012-03-30) (United Kingdom)
",£7 million,2010.0,7000000.0,2012-03-30
Machete,"
September 1, 2010 (2010-09-01) (Venice Film Festival)
September 3, 2010 (2010-09-03)
",$10.5 million,2010.0,5000000.0,2010-09-03
The Man from Nowhere,"
August 4, 2010 (2010-08-04)
",,2010.0,,2010-08-04
Of Gods and Men,"
18 May 2010 (2010-05-18) (Cannes)
8 September 2010 (2010-09-08) (France)
",,2010.0,,2010-09-08
When in Rome,"
January 29, 2010 (2010-01-29)
",$28 million,2010.0,28000000.0,2010-01-29
My Name Is Khan,"
10 February 2010 (2010-02-10) (Dubai)
12 February 2010 (2010-02-12) (Worldwide)
",₹500 million,2010.0,500000000.0,2010-02-12
Going the Distance,"
August 27, 2010 (2010-08-27) (United Kingdom)
September 3, 2010 (2010-09-03) (United States)
",$32 million,2010.0,32000000.0,2010-09-03
SP: The Motion Picture I,,,2011.0,,
For Colored Girls,"
November 5, 2010 (2010-11-05)
",$21 million,2010.0,21000000.0,2010-11-05
Detective Conan: The Lost Ship in the Sky,,,2010.0,,
Secret Reunion,"
4 February 2010 (2010-02-04)
",,2010.0,,2010-02-04
Furry Vengeance,"
April 30, 2010 (2010-04-30)
",$35 million,2010.0,35000000.0,2010-04-30
You Will Meet a Tall Dark Stranger,"
May 15, 2010 (2010-05-15) (Cannes)
August 27, 2010 (2010-08-27) (Spain)
September 22, 2010 (2010-09-22) (United States)
",$22 million,2010.0,22000000.0,2010-09-22
