Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2010-08-06,The Other Guys,"$119,219,978","$119,219,978",18,Sony Pictures Entertainment (SPE),,,
2010-08-06,Step Up,"$42,400,223","$42,400,223",78,Walt Disney Studios Motion Pictures,,,
2010-08-06,Lebanon,"$3,368,088","$368,088",177,Sony Pictures Classics,,,
2010-08-06,Flipped,"$1,755,212","$1,755,212",200,Warner Bros.,,,
2010-08-13,The Expendables,"$103,068,524","$103,068,524",25,Lionsgate,,,
2010-08-13,Eat Pray Love,"$80,574,010","$80,574,010",38,Sony Pictures Entertainment (SPE),,,
2010-08-13,Scott Pilgrim vs. the World,"$31,524,275","$31,524,275",96,Universal Pictures,,,
2010-08-18,Vampires Suck,"$36,661,504","$36,661,504",88,Twentieth Century Fox,,,
2010-08-20,Nanny McPhee Returns,"$29,011,215","$29,011,215",101,Universal Pictures,,,
2010-08-20,The Switch,"$27,779,426","$27,779,426",103,Miramax,,,
2010-08-20,Piranha 3D,"$25,003,155","$25,003,155",110,-,,,
2010-08-20,Lottery Ticket,"$24,719,879","$24,719,879",111,Warner Bros.,,,
2010-08-20,Mao's Last Dancer,"$4,817,770","$4,817,770",167,The Samuel Goldwyn Company,,,
2010-08-27,Takers,"$57,744,720","$57,744,720",60,Screen Gems,,,
2010-08-27,The Last Exorcism,"$41,034,350","$41,034,350",79,Lionsgate,,,
2010-08-27,Avatar2010 Special Edition,"$10,741,486","$10,741,486",139,Twentieth Century Fox,,,
2010-09-01,The American,"$35,606,376","$35,606,376",89,Focus Features,,,
2010-09-03,Machete,"$26,593,646","$26,593,646",105,Twentieth Century Fox,,,
2010-09-03,Going the Distance,"$17,804,299","$17,804,299",126,Warner Bros.,,,
2010-09-10,Resident Evil: Afterlife,"$60,128,566","$60,128,566",54,Screen Gems,,,
2010-09-15,Never Let Me Go,"$2,434,652","$2,434,652",190,Fox Searchlight Pictures,,,
2010-09-17,The Town,"$92,155,037","$92,186,262",32,Warner Bros.,,,
2010-09-17,Easy A,"$58,401,464","$58,401,464",59,Screen Gems,,,
2010-09-17,Devil,"$33,601,190","$33,601,190",92,Universal Pictures,,,
2010-09-17,Alpha and Omega,"$25,107,267","$25,107,267",109,Lionsgate,,,
2010-09-17,Catfish,"$3,237,343","$3,237,343",180,Rogue Pictures,,,
2010-09-22,You Will Meet a Tall Dark Stranger,"$3,225,989","$3,248,246",181,Sony Pictures Classics,,,
2010-09-23,Magnificent Desolation: Walking on the Moon,"$2,512,796","$34,137,524",189,IMAX,,,
2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,"$55,486,413","$55,675,313",62,Warner Bros.,,,
2010-09-24,Wall Street: Money Never Sleeps,"$52,474,616","$52,474,616",65,Twentieth Century Fox,,,
2010-09-24,You Again,"$25,702,053","$25,702,053",108,Walt Disney Studios Motion Pictures,,,
2010-09-24,Waiting for Superman,"$6,417,135","$6,417,135",157,Paramount Vantage,,,
2010-10-01,The Social Network,"$92,876,282","$96,962,694",31,Sony Pictures Entertainment (SPE),,,
2010-10-01,Case 39,"$13,261,851","$13,261,851",134,Paramount Vantage,,,
2010-10-01,Let Me In,"$12,134,935","$12,134,935",135,Overture Films,,,
2010-10-08,Secretariat,"$58,876,848","$59,713,955",58,Walt Disney Studios Motion Pictures,,,
2010-10-08,Life as We Know It,"$52,727,343","$53,374,681",64,Warner Bros.,,,
2010-10-08,My Soul to Take,"$14,744,435","$14,744,435",132,Universal Pictures,,,
2010-10-08,It's Kind of a Funny Story,"$6,363,628","$6,363,628",159,Focus Features,,,
2010-10-08,Inside Job,"$3,409,430","$4,312,735",176,Sony Pictures Classics,,,
2010-10-08,Tamara Drewe,"$1,907,257","$560,391",196,Sony Pictures Classics,,,
2010-10-08,Stone,"$1,810,078","$1,810,078",198,Overture Films,,,
2010-10-09,An Education,"$4,963,224","$12,574,914",166,Sony Pictures Classics,,,
2010-10-15,Jackass 3D,"$117,052,883","$117,229,692",21,Paramount Pictures,,,
2010-10-15,RED,"$89,296,297","$90,380,162",34,Summit Entertainment,,,
2010-10-15,Hereafter,"$32,684,455","$32,746,941",93,Warner Bros.,,,
2010-10-15,Conviction2010 Re-release,"$6,783,129","$6,783,129",154,Fox Searchlight Pictures,,,
2010-10-15,N-Secure,"$2,595,644","$2,595,644",188,Freestyle Releasing,,,
2010-10-22,Paranormal Activity 2,"$84,612,342","$84,752,907",36,Paramount Pictures,,,
2010-10-29,Saw: The Final Chapter,"$45,710,178","$45,710,178",72,Lionsgate,,,
2010-10-29,The Girl Who Kicked the Hornet's Nest,"$4,990,497","$5,190,196",165,Music Box Films,,,
2010-11-05,Megamind,"$143,767,792","$148,415,853",15,DreamWorks,,,
2010-11-05,Due Date,"$98,935,039","$100,539,043",26,Warner Bros.,,,
2010-11-05,For Colored Girls,"$37,669,584","$37,729,698",85,Lionsgate,,,
2010-11-05,127 Hours,"$10,203,228","$18,335,230",141,Fox Searchlight Pictures,,,
2010-11-05,Fair Game,"$9,048,389","$9,540,691",146,Summit Entertainment,,,
2010-11-06,Precious,"$4,998,535","$47,566,524",164,Lionsgate,,,
2010-11-10,Morning Glory,"$30,727,814","$31,011,732",99,Paramount Pictures,,,
2010-11-12,Unstoppable,"$79,104,757","$81,562,942",41,Twentieth Century Fox,,,
2010-11-12,Skyline,"$21,394,120","$21,393,620",118,Universal Pictures,,,
2010-11-13,2012,"$3,763,166","$166,112,167",173,Sony Pictures Entertainment (SPE),,,
2010-11-13,Fantastic Mr. Fox,"$2,358,363","$21,002,919",192,Twentieth Century Fox,,,
