,Unnamed: 0,Movie Title,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
136,136,T2 Trainspotting,41681746,2402004,5.8,39279742,94.2,81.0,78.0,R,DannyBoyle,"AndrewMacdonald,DannyBoyle,ChristianColson,BernardBellew",3-17-2017,2400000.0,7.2,121910,movie,T2 Trainspotting,0,2017,117,Drama
137,137,Fist Fight,41087017,32187017,78.3,8900000,21.7,25.0,40.0,R,RichieKeen,"ShawnLevy,MaxGreenfield,JohnRickard,DanCohen",2-17-2017,32200000.000000004,5.6,42217,movie,Fist Fight,0,2017,91,Comedy
138,138,The Circle,40656399,20497844,50.4,20158555,49.6,,,,,,,,4.8,476,movie,The Circle,0,2017,93,"Drama,Horror,Thriller"
139,139,The Circle,40656399,20497844,50.4,20158555,49.6,,,,,,,,5.3,90925,movie,The Circle,0,2017,110,"Drama,Sci-Fi,Thriller"
140,140,Diary of a Wimpy Kid: The Long Haul,40140972,20738724,51.7,19402248,48.3,18.0,31.0,PG,DavidBowers,"NinaJacobson,BradSimpson",5-19-2017,20700000.0,4.3,8828,movie,Diary of a Wimpy Kid: The Long Haul,0,2017,91,"Adventure,Comedy,Family"
141,141,Brotherhood of Blades 2,39966092,14204,<0.1,39951888,100.0,,74.0,,YangLu,,12-1-2017,13.8K,6.6,1904,movie,Xiu chun dao II: xiu luo zhan chang,0,2017,120,"Action,Adventure,Drama"
142,142,Midnight Runners,39730433,-,-,39730433,100.0,,,,HannesBaumgartner,,,,7.3,6971,movie,Cheong-nyeon-gyeong-chal,0,2017,109,"Action,Comedy,Crime"
143,143,The King,37886707,-,-,37886707,100.0,51.0,76.0,R,PeterBerg,"MichaelMann,ScottStuber",9-28-2007,47500000.0,6.9,1969,movie,Deoking,0,2017,134,"Action,Crime,Drama"
144,144,The King,37886707,-,-,37886707,100.0,51.0,76.0,R,PeterBerg,"MichaelMann,ScottStuber",9-28-2007,47500000.0,6.8,1170,movie,The King,0,2017,107,Documentary
145,145,Pokémon the Movie: I Choose You!,37552144,2401722,6.4,35150422,93.6,33.0,62.0,,KunihikoYuyama,"SusumuMatsuyama,SatoshiShimohira,AtsushiChiku,HidenagaKatakami",,,6.3,6745,movie,Pokémon the Movie: I Choose You,0,2017,98,"Action,Adventure,Animation"
