,Movie,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Unnamed: 0.1.1,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
159,The Hate U Give,Amandla Stenberg,8.136,Regina Hall,12.088,Russell Hornsby,8.178,K.J. Apa,14.291,Common,10.41,159,34934009,29719483,85.1,5214526,14.9,97.0,83.0,PG-13,GeorgeTillmanJr.,"RobertTeitel,GeorgeTillmanJr.,MartyBowen,WyckGodfrey",10-19-2018,29600000.0,7.4,35337,movie,The Hate U Give,0,2018,133,"Crime,Drama"
160,Nobody's Fool,Tiffany Haddish,8.655,Tika Sumpter,7.342,Omari Hardwick,13.365,Whoopi Goldberg,8.711,Missi Pyle,10.805,160,33705333,31713110,94.1,1992223,5.9,25.0,36.0,R,TylerPerry,"MarkE.Swinton,WillAreu",11-2-2018,31700000.0,4.9,7506,movie,Nobody's Fool,0,2018,110,"Comedy,Drama,Romance"
161,Baaghi 2,Tiger Shroff,5.243,Disha Patani,11.001,Manoj Bajpayee,1.688,Randeep Hooda,3.186,Darshan Kumaar,0.694,161,33139063,1319579,4,31819484,96,36.0,58.0,,AhmedKhan,SajidNadiadwala,3-30-2018,1300000.0,4.9,10428,movie,Baaghi 2,0,2018,137,"Action,Crime,Drama"
162,The Hurricane Heist,Toby Kebbell,12.326,Maggie Grace,22.642,Ryan Kwanten,8.846,Ralph Ineson,13.916,Melissa Bolona,7.347,162,32517248,6115825,18.8,26401423,81.2,47.0,23.0,PG-13,RobCohen,,3-9-2018,6100000.0,5.1,20478,movie,The Hurricane Heist,0,2018,103,"Action,Adventure,Crime"
163,All About Me,Katharine Hepburn,4.782,,,,,,,,,163,31920159,-,-,31920159,100,,,,,,,,7.3,4354,movie,Der Junge muss an die frische Luft,0,2018,100,"Biography,Comedy,Drama"
164,Bad Times at the El Royale,Jeff Bridges,17.346,Cynthia Erivo,5.589,Dakota Johnson,13.949,Jon Hamm,16.214,Lewis Pullman,9.183,164,31882724,17839115,56,14043609,44,74.0,73.0,R,DrewGoddard,"JeremyLatcham,DrewGoddard",10-12-2018,17800000.0,7.1,144201,movie,Bad Times at the El Royale,0,2018,141,"Crime,Drama,Mystery"
165,Hunter Killer,Gerard Butler,18.085,Gary Oldman,27.283,Toby Stephens,11.116,Common,10.41,Linda Cardellini,17.794,165,31672678,15767460,49.8,15905218,50.2,37.0,68.0,R,DonovanMarsh,"NealH.Moritz,TobyJaffe,AlanSiegel,GerardButler,TuckerTooley",10-26-2018,15700000.0,6.6,61554,movie,Hunter Killer,0,2018,121,"Action,Thriller"
166,Super Troopers 2,Jay Chandrasekhar,4.295,Kevin Heffernan,6.392,Steve Lemme,2.859,Erik Stolhanske,1.4,Paul Soter,1.312,166,31626386,30617396,96.8,1008990,3.2,35.0,64.0,R,JayChandrasekhar,RichardPerello,4-20-2018,30600000.0,6.0,26210,movie,Super Troopers 2,0,2018,100,"Comedy,Crime,Mystery"
167,The Strangers: Prey at Night,Bailee Madison,20.261,Lewis Pullman,9.183,Christina Hendricks,19.454,Martin Henderson,25.154,Emma Bellomy,2.131,167,31039126,24586708,79.2,6452418,20.8,40.0,35.0,R,JohannesRoberts,"JamesHarris,WayneMarcGodfrey,MarkLane,RobertJones,RyanKavanaugh",3-9-2018,24400000.0,5.2,30389,movie,The Strangers: Prey at Night,0,2018,85,Horror
168,Gintama 2: Rules are Made to be Broken,Shun Oguri,11.892,Masaki Suda,9.285,Kanna Hashimoto,12.865,Masami Nagasawa,13.437,Masaki Okada,13.688,168,30896653,-,-,30896653,100,,,,,,,,6.4,1018,movie,Gintama 2: Okite wa yaburu tame ni koso aru,0,2018,134,"Action,Adventure,Comedy"
