,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
69,Belfast,69,Jude Hill,0.6,Caitriona Balfe,8.68,Jamie Dornan,12.431,Judi Dench,8.949,Ciarán Hinds,29.898,42845489,9047410,21.1,33798079,78.9,86.0,92.0,PG-13,KennethBranagh,"KennethBranagh,LauraBerwick,BeccaKovacik,TamarThomas",11-12-2021,9200000.0,7.3,51989,movie,Belfast,0,2021,98,"Biography,Drama,History"
70,Spirit Untamed,70,Isabela Merced,17.013,Jake Gyllenhaal,21.848,Julianne Moore,18.698,Marsai Martin,11.289,Mckenna Grace,57.227,42717215,17716215,41.5,25001000,58.5,49.0,95.0,PG,ElaineBogan,KarenFoster,6-4-2021,17600000.0,5.5,3344,movie,Spirit Untamed,0,2021,88,"Adventure,Animation,Comedy"
71,Spiral,71,Chris Rock,20.036,Samuel L. Jackson,56.705,Max Minghella,10.976,Marisol Nichols,12.938,Morgan David Jones,4.768,40618920,23216862,57.2,17402058,42.8,74.0,38.0,,"KurtisDavidHarder,JohnPoliquin","ChrisJ.Ball,KurtisDavidHarder,ColinMinihan",,,5.2,46995,movie,Spiral: From the Book of Saw,0,2021,93,"Crime,Drama,Horror"
72,Spiral,72,Chris Rock,20.036,Samuel L. Jackson,56.705,Max Minghella,10.976,Marisol Nichols,12.938,Morgan David Jones,4.768,40618920,23216862,57.2,17402058,42.8,74.0,38.0,,"KurtisDavidHarder,JohnPoliquin","ChrisJ.Ball,KurtisDavidHarder,ColinMinihan",,,7.5,14,movie,Spiral,0,2021,92,Drama
73,Snake Eyes,73,Henry Golding,8.632,Andrew Koji,7.942,Haruka Abe,10.573,Úrsula Corberó,23.102,Samara Weaving,23.726,40064325,28264325,70.5,11800000,29.5,40.0,35.0,R,BrianDePalma,BrianDePalma,7-30-1998,55600000.0,5.4,33415,movie,Snake Eyes: G.I. Joe Origins,0,2021,121,"Action,Adventure,Fantasy"
74,Tokyo Revengers,74,Takumi Kitamura,6.685,Ryo Yoshizawa,8.778,Yuki Yamada,12.968,Yosuke Sugino,10.87,Mio Imada,15.456,39687069,-,-,39687069,100,,,,,,,,7.1,1091,movie,Tokyo Revengers,0,2021,120,"Action,Crime,Drama"
75,Resident Evil: Welcome to Raccoon City,75,Kaya Scodelario,44.822,Robbie Amell,32.842,Hannah John-Kamen,19.542,Tom Hopper,15.505,Avan Jogia,9.923,38600612,17000612,44,21600000,56,31.0,65.0,R,JohannesRoberts,"RobertKulzer,JamesHarris,HartleyGorenstein",11-24-2021,16900000.0,5.2,40486,movie,Resident Evil: Welcome to Raccoon City,0,2021,107,"Action,Horror,Sci-Fi"
76,King Richard,76,Will Smith,33.966,Aunjanue Ellis,13.528,Saniyya Sidney,8.719,Demi Singleton,1.938,Tony Goldwyn,8.646,38061180,15061180,39.6,23000000,60.4,90.0,98.0,PG-13,ReinaldoMarcusGreen,"TimWhite,TrevorWhite,WillSmith",11-19-2021,15100000.0,7.5,78130,movie,King Richard,0,2021,144,"Biography,Drama,Sport"
77,Nightmare Alley,77,Bradley Cooper,38.912,Cate Blanchett,18.898,Toni Collette,24.141,Willem Dafoe,27.4,Richard Jenkins,11.093,38009220,11296894,29.7,26712326,70.3,80.0,68.0,R,GuillermodelToro,"GuillermodelToro,J.MilesDale,BradleyCooper",12-17-2021,11300000.0,7.1,104043,movie,Nightmare Alley,0,2021,150,"Crime,Drama,Thriller"
78,The Yinyang Master,78,Chen Kun,8.38,Zhou Xun,12.814,William Chan Wai-Ting,13.425,Qu Chuxiao,9.261,Wang Likun,4.584,37690000,-,-,37690000,100,,,,,,,,6.4,2555,movie,Shi shen ling,0,2021,113,"Action,Adventure,Drama"
79,Rurouni Kenshin: Final Chapter Part I - The Final,79,Takeru Satoh,16.147,Emi Takei,10.023,Mackenyu,17.367,Munetaka Aoki,4.937,Yu Aoi,8.369,36964978,-,-,36964978,100,,85.0,,KeishiOhtomo,SatoshiFukushima,,,7.2,8210,movie,Rurôni Kenshin: Sai shûshô - The Final,0,2021,138,"Action,Drama"
80,The Door Lock,80,Bai Baihe,3.959,Bai Ke,1.946,Fan Chengcheng,3.868,Wang Zixuan,7.106,Marc Ma,0.802,36100000,-,-,36100000,100,,,,,,,,4.7,73,movie,Men suo,0,2021,105,"Crime,Drama,Thriller"
