,Movie,Unnamed: 0,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity,Worldwide,Domestic,%,Foreign,%.1,Score_Rotten,Score_Audience,Rating,Director,Producer,Release Date (Theaters),Box Office (Gross USA),averageRating,numVotes,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres
13,Radhe Shyam,13,Prabhas,4.547,Pooja Hegde,8.05,Bhagyashree,0.84,Sathyaraj,1.854,Krishnam Raju,1.252,15956283,1860000,11.7,14096283,88.3,22.0,55.0,,,,1-14-2022,,6.7,24074,movie,Radhe Shyam,0,2022,138,"Drama,Romance"
14,Bheemla Nayak,14,Pawan Kalyan,4.263,Rana Daggubati,6.772,Samuthirakani,2.122,Nithya Menen,2.418,Samyuktha Menon,1.918,15021965,-,-,15021965,100,,,,,,,,7.5,7472,movie,Bheemla Nayak,0,2022,130,"Action,Drama,Thriller"
15,Blacklight,15,Liam Neeson,33.989,Emmy Raver-Lampman,4.646,Taylor John Smith,9.867,Aidan Quinn,17.361,Tim Draxl,1.932,14072601,9570333,68,4502268,32,8.0,82.0,PG-13,MarkWilliams,"MarkWilliams,PaulCurrie,MylesNestel,AllieLoh,CocoXiaoluMa",2-11-2022,9400000.0,4.7,8861,movie,Blacklight,0,2022,104,"Action,Thriller"
16,Maison de retraite,16,Kev Adams,7.184,Gérard Depardieu,11.863,Antoine Duléry,2.636,Mylène Demongeot,10.34,Marthe Villalonga,5.506,13782342,-,-,13782342,100,,,,,,,,5.7,101,movie,Maison de retraite,0,2022,97,Comedy
17,Valimai,17,Ajith Kumar,4.41,Huma Qureshi,4.004,Kartikeya Gummakonda,1.188,Gurbani Judge,3.423,Sumithra,1.4,13276393,-,-,13276393,100,,,,A.SenthilKumar,,,,7.2,14941,movie,Valimai,0,2022,178,"Action,Crime,Thriller"
18,Wunderschön,18,Karoline Herfurth,12.648,Nora Tschirner,7.918,Martina Gedeck,4.439,Emilia Schüle,5.4,Dilara Aylin Ziem,0.6,12626169,-,-,12626169,100,,,,,,,,7.4,471,movie,Wunderschön,0,2022,132,"Comedy,Drama,Romance"
19,The Pirates: The Last Royal Treasure,19,Kang Ha-neul,12.181,Han Hyo-joo,24.008,Lee Kwang-soo,11.993,Kwon Sang-woo,7.678,Chae Soo-bin,12.846,10266142,-,-,10266142,100,60.0,62.0,,KimJeonghun,SongYong-woon,,,6.1,2465,movie,The Pirates: The Last Royal Treasure,0,2022,126,"Action,Adventure,Comedy"
20,Redeeming Love,20,Logan Marshall-Green,14.649,Abigail Cowen,26.574,Nina Dobrev,20.789,Famke Janssen,25.542,Tom Lewis,2.077,9436988,9214020,97.6,222968,2.4,12.0,95.0,PG-13,D.J.Caruso,"CindyBond,BrittanyYost,SimonSwart,WayneFitzjohn,MichaelScott,DavidA.R.White",1-21-2022,9200000.0,6.7,4289,movie,Redeeming Love,0,2022,134,"Drama,History,Romance"
21,Turning Red,21,Rosalie Chiang,9.263,Sandra Oh,16.974,Ava Morse,10.545,Hyein Park,2.092,Maitreyi Ramakrishnan,3.069,8643727,-,-,8643727,100,94.0,73.0,PG,DomeeShi,LindseyCollins,,,7.1,67171,movie,Turning Red,0,2022,100,"Adventure,Animation,Comedy"
22,The Bad Guys,22,Sam Rockwell,13.281,Marc Maron,6.935,Craig Robinson,13.723,Anthony Ramos,13.432,Awkwafina,44.339,8438000,-,-,8438000,100,93.0,,PG,PierrePerifel,"RebeccaHuntley,DamonRoss",4-22-2022,,7.0,1474,movie,The Bad Guys,0,2022,100,"Adventure,Animation,Comedy"
23,The Last 10 Years,23,Adam Berardi,0.6,Clay Moffatt,1.103,Ashley Moffatt,0.6,,,,,7993429,-,-,7993429,100,,,,,,,,7.6,17,movie,The Last 10 Years,0,2022,124,Drama
24,Doraemon the Movie: Nobita's Little Star Wars 2021,24,,,,,,,,,,,6984462,-,-,6984462,100,,,,,,,,9.4,86,movie,Doraemon the Movie: Nobita's Little Star Wars 2021,0,2022,108,"Action,Adventure,Animation"
25,Kingmaker,25,Imelda Marcos,2.171,Leni Robredo,0.6,,,,,,,6049436,-,-,6049436,100,97.0,90.0,R,LaurenGreenfield,FrankEvers,11-8-2019,121.6K,6.7,175,movie,Kingmaker,0,2022,123,Drama
26,The Policeman's Lineage,26,Cho Jin-woong,9.375,Choi Woo-shik,10.445,Park Hee-soon,11.492,Kwon Yul,9.755,Park Myung-hoon,3.196,5869939,-,-,5869939,100,,,,,,,,6.1,306,movie,The Policeman's Lineage,0,2022,119,"Crime,Drama"
27,Chickenhare and the Hamster of Darkness,27,Danny Fehsenfeld,0.84,Donte Paris,0.6,Joe Ochman,2.246,,,,,4967154,-,-,4967154,100,,,,,,,,7.4,91,movie,Chickenhare and the Hamster of Darkness,0,2022,91,"Adventure,Animation,Comedy"
28,X,28,Mia Goth,35.412,Jenna Ortega,88.674,Brittany Snow,19.663,Martin Henderson,25.154,Kid Cudi,16.023,4407750,4407750,100,-,-,96.0,75.0,R,TiWest,"JacobJaffke,KevinTuren,HarrisonKreiss",3-18-2022,11600000.0,7.3,9873,movie,X,0,2022,105,Horror
29,Ambulance,29,Yahya Abdul-Mateen II,11.716,Jake Gyllenhaal,21.848,Eiza González,26.314,Garret Dillahunt,11.648,Keir O'Donnell,6.106,4274000,-,-,4274000,100,68.0,87.0,R,MichaelBay,"MichaelBay,BradleyJ.Fischer,JamesVanderbilt,WilliamSherak,IanBryce",4-8-2022,15700000.0,6.4,6716,movie,Ambulance,0,2022,136,"Action,Crime,Drama"
30,Pawankhind,30,Chinmay Mandlekar,3.238,Mrinal Kulkarni,1.553,Ajay Purkar,0.6,Ruchi Savarn Mohan,0.6,Prajakta Mali,1.568,4260686,-,-,4260686,100,,,,,,,,9.4,5804,movie,Pawankhind,0,2022,153,"Action,Drama,History"
31,Bheeshma Parvam,31,Mammootty,4.409,Soubin Shahir,2.691,Sreenath Bhasi,2.637,Shine Tom Chacko,2.1,Nadhiya,5.632,4068477,-,-,4068477,100,,,,,,,,8.4,8621,movie,Bheeshmaparvam,0,2022,144,"Drama,Thriller"
32,Maigret,32,Gérard Depardieu,11.863,Anne Loiret,3.482,Aurore Clément,3.189,Mélanie Bernier,4.305,Jade Labeste,0.6,3974524,-,-,3974524,100,,,,PatriceLeconte,"Jean-LouisLivi,PhilippeCarcassonne",,,5.9,262,movie,Maigret,0,2022,89,Crime
33,Koniec swiata czyli Kogel Mogel 4,33,Nikodem Rozbicki,3.377,Aleksandra Hamkało,4.649,Grażyna Błęcka-Kolska,1.96,Ewa Kasprzyk,1.4,Zdzisław Wardejn,1.687,3957350,-,-,3957350,100,,,,,,,,3.4,128,movie,Koniec swiata czyli Kogel Mogel 4,0,2022,96,Comedy
34,Special Delivery,34,Lisa Edelstein,17.199,Brenda Song,13.874,Robert Gant,4.596,Michael Cowell,0.6,Stan Egi,4.184,3536617,-,-,3536617,100,,23.0,PG,PaulWendkos,,,,6.4,388,movie,Special Delivery,0,2022,109,"Action,Crime,Thriller"
35,King,35,Will Smith,33.966,Aunjanue Ellis,13.528,Saniyya Sidney,8.719,Demi Singleton,1.938,Tony Goldwyn,8.646,3516803,-,-,3516803,100,84.0,50.0,PG-13,PeterJackson,"JanBlenkin,CarolynneCunningham,FranWalsh",12-14-2005,218100000.0,5.6,37,movie,King,0,2022,105,"Adventure,Comedy,Family"
36,Belli ciao,36,Pio D'Antini,1.96,Amedeo Grieco,0.6,Lorena Cacciatore,5.82,Rosa Diletta Rossi,10.633,Gegia,3.571,3423847,-,-,3423847,100,,,,,,,,3.4,141,movie,Belli ciao,0,2022,90,Comedy
37,Goliath,37,Miles Sloman,0.6,Jerry Sokolosky,0.6,Makenna Guyler,1.166,Paul Hughes,0.6,Joseph Emms,0.6,3276852,-,-,3276852,100,,,,,,,,7.1,463,movie,Goliath,0,2022,121,"Drama,Thriller"
38,Etharkkum Thunindhavan,38,Suriya,2.183,Priyanka Arul Mohan,7.412,Vinay Rai,6.693,Sathyaraj,1.854,Rajkiran,1.105,3264667,-,-,3264667,100,,,,,,,,8.4,6992,movie,Etharkkum Thunindhavan,0,2022,151,"Action,Drama,Thriller"
39,Gangubai Kathiawadi,39,Alia Bhatt,6.766,Ajay Devgn,3.191,Shantanu Maheshwari,1.048,Indira Tiwari,0.6,Seema Pahwa,1.753,3192000,592000,18.5,2600000,81.5,91.0,97.0,,SanjayLeelaBhansali,"SanjayLeelaBhansali,JayantilalGada",2-25-2022,,7.0,38061,movie,Gangubai Kathiawadi,0,2022,152,"Biography,Crime,Drama"
40,Studio 666,40,Dave Grohl,3.359,Taylor Hawkins,3.609,Nate Mendel,1.05,Pat Smear,1.849,Chris Shiflett,1.4,2988867,2513963,84.1,474904,15.9,56.0,80.0,R,BJMcDonnell,"JohnRamsay,JamesA.Rota",2-25-2022,2200000.0,5.8,4259,movie,Studio 666,0,2022,106,"Comedy,Horror,Music"
41,Chia Khoa Tram Ty,41,Kiều Minh Tuấn,0.862,Thu Trang,0.6,Anh Tú,1.018,Jun Vũ,3.867,,,2851565,-,-,2851565,100,,,,,,,,6.4,24,movie,Chia Khoa Tram Ty,0,2022,117,"Action,Comedy"
42,The Wannabes,42,Nick Giannopoulos,1.01,Russell Dykstra,0.828,Isla Fisher,15.923,Michael Carman,1.752,,,2627605,-,-,2627605,100,38.0,36.0,R,NickSandow,"LizzieNastro,MichaelGasparro,VincentPiazza",12-4-2015,,6.6,362,movie,Les vedettes,0,2022,101,Comedy
43,Chuyen Ma Gan Nhà,43,Khả Như,1.4,Mạc Can,0.6,Vân Trang,0.84,Huỳnh Thanh Trực,0.6,Lê Bê La,0.6,2569119,-,-,2569119,100,,,,,,,,4.7,37,movie,Chuyen Ma Gan Nhà,0,2022,108,"Horror,Thriller"
44,¡Qué Despadre!,44,Mauricio Ochmann,7.749,Fiona Palomo,0.674,Sandra Echeverría,3.64,Ana Claudia Talancón,7.624,Héctor Suárez,1.616,2486337,-,-,2486337,100,,,,,,,,6.7,63,movie,¡Qué Despadre!,0,2022,99,Comedy
45,Disobedient,45,Rachel Weisz,14.704,Rachel McAdams,23.696,Alessandro Nivola,6.133,Allan Corduner,4.36,Anton Lesser,9.895,2246180,-,-,2246180,100,84.0,75.0,R,SebastiánLelio,"FridaTorresblanco,EdGuiney,RachelWeisz",5-18-2018,3500000.0,5.4,104,movie,Neposlushnik,0,2022,110,Comedy
46,The Beatles: Get Back - The Rooftop Concert,46,John Lennon,4.898,Paul McCartney,7.084,George Harrison,6.927,Ringo Starr,4.655,Billy Preston,1.153,2176712,976712,44.9,1200000,55.1,100.0,95.0,PG-13,PeterJackson,"JonathanClyde,ClareOlssen,PeterJackson,PaulMcCartney,RingoStarr,YokoOno,OliviaHarrison",1-30-2022,970.9K,9.0,807,movie,The Beatles: Get Back - The Rooftop Concert,0,2022,65,"Documentary,Music"
47,Fireheart,47,Olivia Cooke,24.151,Kenneth Branagh,42.401,William Shatner,9.331,Laurie Holden,15.435,Kevin Dennis,1.22,2036108,-,-,2036108,100,,8.0,R,PeterYuval,,,71.1K,6.2,711,movie,Fireheart,0,2022,92,"Adventure,Animation,Comedy"
48,Bergen,48,Farah Zeynep Abdullah,11.617,Tilbe Saran,3.787,Erdal Beşikçioğlu,2.807,Nergis Öztürk,4.612,Ali Seçkiner Alıcı,5.31,2024204,-,-,2024204,100,,,,,,,,7.2,1806,movie,Bergen,0,2022,145,"Biography,Drama,Music"
49,In Our Prime,49,Choi Min-sik,10.174,Kim Dong-hwi,1.824,Park Hae-jun,6.406,Park Byung-eun,26.215,Jo Yoon-seo,1.988,1933361,-,-,1933361,100,,,,,,,,6.4,12,movie,In Our Prime,0,2022,117,Drama
50,Aslan: Hürkus kayip Elmas,50,,,,,,,,,,,1883289,-,-,1883289,100,,,,,,,,6.5,109,movie,Aslan: Hürkus kayip Elmas,0,2022,93,Animation
51,Love Mocktail 2,51,Darling Krishna,2.85,Rachel David,0.6,Milana Nagaraj,1.974,Amrutha Iyengar,0.766,Rachana Inder,1.094,1845639,-,-,1845639,100,,,,,,,,8.3,1719,movie,Love Mocktail 2,0,2022,140,"Drama,Romance"
52,The King's Daughter,52,Pierce Brosnan,42.595,Kaya Scodelario,44.822,Benjamin Walker,13.001,William Hurt,23.957,Julie Andrews,12.132,1758963,1758963,100,-,-,18.0,80.0,PG,SeanMcNamara,"DavidBrookwell,PaulCurrie,WeiHan,SeanMcNamara,,",1-21-2022,1500000.0,5.1,2689,movie,The King's Daughter,0,2022,90,"Action,Adventure,Family"
53,Hridayam,53,Pranav Mohanlal,5.93,Darshana Rajendran,1.252,Kalyani Priyadarshan,8.571,Aswath Lal,0.6,Vijayaraghavan,0.98,1740483,-,-,1740483,100,,,,,,,,8.5,8724,movie,Hridayam,0,2022,172,"Drama,Musical,Romance"
54,"Love, Sex & Pandemic",54,Anna Mucha,4.669,Zofia Zborowska,1.62,Sebastian Dela,5.244,Małgorzata Rozenek-Majdan,1.62,Tomasz Dedek,1.851,1712634,-,-,1712634,100,,,,,,,,2.5,79,movie,"Milosc, seks & pandemia",0,2022,114,"Drama,Romance"
55,The Outfit,55,Mark Rylance,24.088,Zoey Deutch,20.092,Dylan O'Brien,14.5,Johnny Flynn,11.332,Nikki Amuka-Bird,4.376,1649335,1649335,100,-,-,84.0,92.0,R,GrahamMoore,"BenBrowning,AmyJackson,ScoopWasserstein",3-18-2022,3300000.0,7.5,1886,movie,The Outfit,0,2022,105,"Crime,Drama"
56,Aaraattu,56,Mohanlal,7.236,Shraddha Srinath,5.408,Siddique,1.363,Saikumar,2.59,Nedumudi Venu,3.22,1648155,-,-,1648155,100,,,,,,,,5.3,6084,movie,Aaraattu,0,2022,167,"Action,Drama"
57,Heart of Oak,57,,,,,,,,,,,1613736,-,-,1613736,100,,,,"LaurentCharbonnier,MichelSeydoux",,,,7.6,62,movie,Le chêne,0,2022,80,Documentary
58,Gierek,58,Michał Koterski,2.537,Małgorzata Kożuchowska,2.691,Antoni Pawlicki,4.843,Sebastian Stankiewicz,6.92,Rafał Zawierucha,2.221,1531831,-,-,1531831,100,88.0,67.0,,IsaacJulien,"ColinMacCabe,ElizaMellor",,,4.3,142,movie,Gierek,0,2022,140,"Biography,Drama"
59,For Ziko,59,,,,,,,,,,,1526578,-,-,1526578,100,,,,,,,,7.0,388,movie,For Ziko,0,2022,95,"Comedy,Drama"
60,Mister Knockout,60,Viktor Horinyak,9.859,Sergei Bezrukov,4.704,Inga Strelkova-Oboldina,2.225,Evgeniya Dmitrieva,6.7,Angelina Strechina,8.764,1523880,-,-,1523880,100,,,,,,,,5.2,23,movie,Mister Nokaut,0,2022,117,"Drama,Sport"
61,V lete ti poviem,61,Tereza Kostková,3.156,Ondřej Sokol,1.4,Martin Hofmann,1.4,Dana Rogoz,0.98,Andreea Vasile,1.64,1458597,-,-,1458597,100,,,,,,,,6.0,10,movie,V lete ti poviem,0,2022,\N,Comedy
62,Nhà Khong Bán,62,Việt Hương,0.991,Kim Xuân,2.268,Nam Em,0.6,Hữu Tín,0.6,Hạnh Thúy,0.6,1271932,-,-,1271932,100,,,,,,,,6.0,11,movie,Nhà Khong Bán,0,2022,\N,"Drama,Horror"
63,Heart to Heart,63,,,,,,,,,,,1186659,-,-,1186659,100,,51.0,G,HaroldD.Schuster,,1-19-1949,,6.4,9,movie,Srdce na dlani,0,2022,95,Comedy
64,Desperate for Marriage,64,Miloš Biković,5.508,Kristina Asmus,9.192,Marina Aleksandrova,10.549,Sergey Gilev,1.69,Yuliya Aug,2.948,1139810,-,-,1139810,100,,,,,,,,6.2,29,movie,Want to get married (Hochu zamuzh),0,2022,110,"Comedy,Drama,Romance"
65,Badhaai Do,65,Rajkummar Rao,1.851,Bhumi Pednekar,1.176,Seema Pahwa,1.753,Sheeba Chaddha,1.042,Nitesh Pandey,1.624,1138046,-,-,1138046,100,93.0,83.0,,HarshavardhanKulkarni,VineetJain,2-11-2022,,7.3,13742,movie,Badhaai Do,0,2022,147,Comedy
66,Odinnadtsat molchalivykh muzhchin,66,Roman Kurtsyn,6.29,Makar Zaporozhskiy,7.384,Pavel Trubiner,2.443,Andrey Chernyshov,2.24,Dmitriy Belotserkovskiy,0.6,1040803,-,-,1040803,100,,,,,,,,4.5,52,movie,Odinnadtsat molchalivykh muzhchin,0,2022,121,"Drama,Sport"
67,Veerame Vaagai Soodum,67,Vishal Krishna,3.395,Baburaj,0.794,Dimple Hayathi,3.251,Raveena Ravi,4.333,Yogi Babu,3.906,1024908,-,-,1024908,100,,,,,,,,7.1,2233,movie,Veerame Vaagai Soodum,0,2022,166,"Action,Thriller"
68,Umma,68,Sandra Oh,16.974,Fivel Stewart,8.942,Dermot Mulroney,22.46,Odeya Rush,18.647,MeeWha Alana Lee,1.392,994262,994262,100,-,-,27.0,51.0,PG-13,IrisK.Shim,"ZainabAzizi,SamRaimi",3-18-2022,2000000.0,5.1,698,movie,Umma,0,2022,83,Horror
69,Aaja Mexico Challiye,69,Ammy Virk,3.85,Yasaman Mohsani,0.6,Nasir Chinyoti,1.739,,,,,976316,-,-,976316,100,,,,,,,,7.7,276,movie,Aaja Mexico Challiye,0,2022,125,"Drama,Thriller"
70,The Tiger Rising,70,Christian Convery,10.627,Madalen Mills,1.638,Dennis Quaid,13.1,Queen Latifah,12.416,Sam Trammell,9.045,882128,835162,94.7,46966,5.3,17.0,73.0,PG,RayGiarratana,"DeborahGiarratana,RyanDonnellSmith",1-21-2022,835.2K,4.5,329,movie,The Tiger Rising,0,2022,102,Family
71,Krime Story,71,Cezary Łukaszewicz,0.742,Michał Koterski,2.537,Piotr Witkowski,0.98,Gabriela Muskała,2.519,Wiktoria Gąsiewska,7.017,845412,-,-,845412,100,,,,,,,,3.9,47,movie,Krime Story,0,2022,117,Drama
72,Kamen Rider OOO 10th: The Core Medals of Resurrection,72,,,,,,,,,,,789855,-,-,789855,100,,,,,,,,7.3,27,movie,Kamen Raidâ Ôzu 10th: Fukkatsu no Coa Medaru,0,2022,59,Action
73,Placés,73,Elle Fanning,19.65,Justice Smith,14.942,Alexandra Shipp,24.492,Kelli O'Hara,0.84,Lamar Johnson,7.374,759453,-,-,759453,100,,,,,,,,6.3,60,movie,Placés,0,2022,111,"Comedy,Drama"
74,Emergency Situation,74,,,,,,,,,,,714805,-,-,714805,100,,,,,,,,7.0,38,movie,Mimorádná událost,0,2022,103,"Comedy,Drama"
75,FIR,75,Sarah Lancaster,10.785,Eric Johnson,10.002,Colin Mochrie,4.792,Greg Calderone,1.742,Inga Cadranel,5.588,709663,-,-,709663,100,,,,,,,,7.3,2353,movie,FIR,0,2022,156,"Action,Thriller"
76,Zlatni decko,76,Denis Murić,2.475,Andrija Kuzmanović,0.737,Igor Benčina,1.644,Petar Strugar,1.167,Alisa Radaković,0.6,695379,-,-,695379,100,,,,,,,,6.5,421,movie,Zlatni decko,0,2022,102,Sport
77,Wedding High,77,Ryoko Shinohara,7.508,Tomoya Nakamura,4.772,Nagisa Sekimizu,5.593,Takanori Iwata,12.315,Osamu Mukai,5.94,695150,-,-,695150,100,,,,,,,,6.0,8,movie,Uedingu hai,0,2022,117,"Comedy,Drama,Romance"
78,Meppadiyan,78,Unni Mukundan,2.901,Kottayam Ramesh,2.088,Saiju Kurup,2.137,Anju Kurian,1.62,Aju Varghese,1.532,691981,-,-,691981,100,,,,,,,,7.6,2301,movie,Meppadiyan,0,2022,124,"Drama,Thriller"
79,Liubov i blohery,79,Nazar Zadniprovskyi,1.228,Olha Sumska,3.723,Vadym Novytskyi,0.6,Ivan Kukharchuk,0.6,Georgiy Deliev,0.649,677744,-,-,677744,100,,,,,,,,2.4,22,movie,Liubov i blohery,0,2022,98,Comedy
80,Kaptan Pengu ve Arkadaslari 2,80,,,,,,,,,,,643626,-,-,643626,100,,,,,,,,6.6,10,movie,Kaptan Pengu ve Arkadaslari 2,0,2022,\N,"Animation,Family"
81,Benden Ne Olur,81,Hazal Kaya,11.636,Onur Tuna,13.252,Nur Fettahoğlu,10.039,Selin Şekerci,0.6,Elçin Afacan,8.551,639014,-,-,639014,100,,,,,,,,5.5,258,movie,Benden Ne Olur,0,2022,114,Comedy
82,Ik wist het,82,Sigrid ten Napel,5.93,Victoria Koblenko,6.163,Tarikh Janssen,0.6,Steef de Bot,4.928,Melissa Drost,0.6,582774,-,-,582774,100,,,,,,,,5.4,68,movie,Ik wist het,0,2022,95,"Comedy,Romance"
83,Serve the People,83,Yeon Woo-jin,10.618,Ji An,3.057,Cho Seong-ha,6.711,Jeong Gyu-su,5.368,Kim Ji-chul,0.6,555333,-,-,555333,100,,,,,,,,6.7,79,movie,Inmineul wihae bongmuhara,0,2022,146,"Drama,Romance"
84,Bangarraju,84,Allari Naresh,2.549,Surekha Vani,4.365,,,,,,,534735,-,-,534735,100,,40.0,,KalyanKrishnaKurasala,,1-14-2022,,6.4,1587,movie,Bangarraju,0,2022,150,Drama
85,Hey Sinamika,85,Dulquer Salmaan,3.833,Aditi Rao Hydari,4.483,Kajal Agarwal,13.938,Nakshathra Nagesh,0.706,Yogi Babu,3.906,507703,-,-,507703,100,,,,,,,,6.3,1610,movie,Hey Sinamika,0,2022,150,"Drama,Romance"
86,Milosc jest blisko,86,Weronika Książkiewicz,6.665,Wojciech Solarz,1.77,Olga Bołądź,1.558,Grzegorz Małecki,2.677,Janusz Chabior,4.933,504348,-,-,504348,100,,,,,,,,4.8,17,movie,Milosc jest blisko,0,2022,103,"Comedy,Romance"
87,Ek Love Ya,87,Rachita Ram,1.694,Raanna,0.6,Reeshma Nanaiah,0.6,,,,,475499,-,-,475499,100,,,,,,,,9.2,1290,movie,Ek Love Ya,0,2022,151,"Action,Musical,Romance"
88,How I Learned to Fly,88,Klara Hrvanović,0.6,Olga Odanović,1.702,Snježana Sinovčić,0.6,Žarko Laušević,2.03,Luka Bajto,0.6,461197,-,-,461197,100,,,,,,,,8.6,259,movie,Leto kada sam naucila da letim,0,2022,87,Family
89,Murder Party,89,Chris Sharp,0.677,Macon Blair,5.903,Stacy Rock,1.4,Skei Saulnier,0.6,Paul Goldblatt,0.6,453590,-,-,453590,100,100.0,57.0,,JeremySaulnier,"SkeiSaulnier,ChrisSharp",,,5.3,76,movie,Murder Party,0,2022,103,"Comedy,Mystery"
90,Reunion 2,90,Bashar Rahal,6.077,Niki Iliev,1.805,Chloe Rahal,0.628,Dilyana Popova,2.968,Evelin Kostova,3.721,404599,-,-,404599,100,,,,,,,,7.3,166,movie,Reunion 2,0,2022,106,"Comedy,Drama"
