movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Gooische vrouwen,63996,False,3500000,3.015,18000000,105
The Immature,56909,False,0,8.1,22043584,108
Pleasant Goat and Big Big Wolf 3,52031,False,0,0.664,0,88
Quick,10729,False,15000000,12.132,15260154,89
K-On! The Movie,120811,False,0,16.568,0,110
Red Dog,585245,False,64000000,759.936,67000000,97
Vicky and the Treasure of the Gods,80109,False,11000000,5.77,0,96
The Front Line,24048,False,0,1.945,0,93
Polisse,71157,False,0,9.978,20374201,123
Hollywoo,80015,False,0,7.845,0,107
Scabbard Samurai,80801,False,0,3.405,0,103
Kaiji 2: The Ultimate Gambler,106417,False,0,7.134,15,133
