movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Goosebumps 2: Haunted Halloween,442062,tt5664636,Jeremy Ray Taylor,7.993,Madison Iseman,21.833,Caleel Harris,2.464,Wendi McLendon-Covey,16.877,Ken Jeong,12.382
Shadow,675327,tt9691136,Chloë Grace Moretz,56.69,Nick Robinson,16.14,Beulah Koale,3.681,Taylor John Smith,9.867,Callan Mulvey,16.661
Overboard,454619,tt1563742,Anna Faris,23.242,Eugenio Derbez,16.447,Eva Longoria,16.567,John Hannah,14.336,Swoosie Kurtz,13.172
Sherlock Gnomes,370567,tt2296777,Johnny Depp,50.461,Emily Blunt,22.529,James McAvoy,30.715,Chiwetel Ejiofor,13.52,Mary J. Blige,5.134
Detective Dee: The Four Heavenly Kings,506763,tt6869538,Mark Chao,8.873,William Feng,5.793,Carina Lau,12.2,Lin Gengxin,5.6,Ma Sichun,9.16
"Hello, Mrs. Money",551127,tt8299800,Cailun Huang,2.794,Allen Ai Lun,5.667,Song Yang,3.623,Celina Jade,9.481,Shen Teng,13.254
Robin Hood,20662,tt0955308,Russell Crowe,20.111,Cate Blanchett,18.898,Max von Sydow,7.852,William Hurt,23.957,Mark Strong,25.911
I Can Only Imagine,470878,tt6450186,J. Michael Finley,0.6,Dennis Quaid,18.34,Cloris Leachman,10.459,Brody Rose,1.849,Madeline Carroll,24.137
Hidden Man,474646,,Howard Finster,0.6,,,,,,,,
Mortal Engines,428078,tt1571234,Hera Hilmar,17.467,Robert Sheehan,12.674,Hugo Weaving,26.212,Jihae,1.651,Ronan Raftery,5.223
iPartment the Movie,,,,,,,,,,,,
Doraemon the Movie: Nobita's Treasure Island,495925,tt8098546,Wasabi Mizuta,6.349,Megumi Oohara,3.434,Yumi Kakazu,3.533,Subaru Kimura,15.999,Tomokazu Seki,12.709
Den of Thieves,449443,tt1259528,Gerard Butler,21.026,Dawn Olivieri,16.91,O'Shea Jackson Jr.,5.418,Pablo Schreiber,49.158,50 Cent,11.012
Hereditary,493922,tt7784604,Toni Collette,24.141,Alex Wolff,9.446,Gabriel Byrne,16.789,Milly Shapiro,2.512,Ann Dowd,9.756
Code Blue: The Movie,497333,tt7731512,Tomohisa Yamashita,5.09,Yui Aragaki,12.331,Erika Toda,9.266,Manami Higa,4.797,Yosuke Asari,3.137
Tag,455980,tt2854926,Jeremy Renner,30.135,Ed Helms,21.134,Jake Johnson,14.958,Jon Hamm,18.064,Hannibal Buress,11.117
Sanju,516545,tt1686892,,,,,,,,,,
Vice,307663,tt3480796,Ambyr Childers,10.947,Thomas Jane,24.796,Bryan Greenberg,12.793,Bruce Willis,26.557,Johnathon Schaech,9.733
Widows,401469,tt4218572,Viola Davis,11.558,Michelle Rodriguez,23.481,Elizabeth Debicki,15.707,Cynthia Erivo,5.589,Colin Farrell,43.802
Sicario: Day of the Soldado,400535,tt5052474,Benicio del Toro,15.254,Josh Brolin,39.186,Isabela Merced,17.013,Jeffrey Donovan,19.69,Catherine Keener,19.59
Searching,489999,tt7668870,John Cho,8.081,Michelle La,4.392,Debra Messing,13.916,Joseph Lee,1.169,Sara Sohn,5.151
The Spy Who Dumped Me,454992,tt6663582,Mila Kunis,28.15,Kate McKinnon,10.966,Justin Theroux,16.502,Sam Heughan,14.413,Lolly Adefope,5.88
Animal World,118275,tt0048950,John Storm,0.6,Theodore von Eltz,2.224,,,,,,
Amazing China,508685,tt8081062,,,,,,,,,,
Second Act,503616,tt2126357,Jennifer Lopez,10.12,Vanessa Hudgens,20.546,Leah Remini,14.301,Milo Ventimiglia,14.286,Treat Williams,14.601
Spirited Away 2018 Re-release,,,,,,,,,,,,
Shoplifters,426615,tt2241557,Joe Manganiello,14.837,Ellar Coltrane,5.273,Helena Howard,8.336,Elena Kampouris,10.004,Nick Krause,4.641
12 Strong,429351,tt1413492,Chris Hemsworth,36.221,Michael Shannon,24.951,Michael Peña,22.593,Navid Negahban,5.255,Trevante Rhodes,7.483
"Love, Simon",449176,tt5164432,Nick Robinson,16.14,Jennifer Garner,16.887,Josh Duhamel,10.859,Katherine Langford,7.871,Alexandra Shipp,24.492
Mile 22,347375,tt4560436,Mark Wahlberg,48.44,Lauren Cohan,23.905,Iko Uwais,17.386,John Malkovich,20.483,Ronda Rousey,17.086
Life of the Party,399796,tt5619332,Melissa McCarthy,12.641,Molly Gordon,9.967,Gillian Jacobs,19.16,Maya Rudolph,11.778,Julie Bowen,16.664
L Storm,506492,tt8031554,Louis Koo,16.886,Julian Cheung,2.115,Kevin Cheng,4.494,Stephy Tang,3.584,Patrick Tam,2.793
Capernaum,517814,tt8267604,Zain Al Rafeea,5.453,Yordanos Shifera,1.96,Boluwatife Treasure Bankole,3.056,Kawsar Al Haddad,1.02,Fadi Kamel Yousef,0.728
Isle of Dogs,399174,tt5104604,Bryan Cranston,30.228,Koyu Rankin,1.606,Bob Balaban,12.661,Edward Norton,17.551,Bill Murray,23.94
Andhadhun,534780,tt8108198,Ayushmann Khurrana,0.932,Radhika Apte,6.296,Tabu,3.272,Anil Dhawan,0.6,Rashmi Agdekar,2.857
Adrift,429300,tt6306064,Shailene Woodley,25.831,Sam Claflin,8.17,Jeffrey Thomas,2.765,Elizabeth Hawthorne,4.331,Grace Palmer,2.696
The 15:17 to Paris,453201,tt6802308,Ray Corasani,1.154,Spencer Stone,2.225,Anthony Sadler,0.6,Alek Skarlatos,1.556,Judy Greer,23.295
A or B,521871,tt8366766,Xu Zheng,4.063,Wang Likun,4.584,Wang Yanhui,1.528,Duan Bowen,3.14,Simon Yam,12.039
Go Brother!,543628,tt8774260,Zhang Zifeng,7.454,Peng Yuchang,5.184,Zhao Jinmai,7.368,Sun Zeyuan,1.4,Jiang Hongbo,8.711
Early Man,387592,tt4701724,Eddie Redmayne,33.428,Tom Hiddleston,32.759,Maisie Williams,22.611,Timothy Spall,11.204,Miriam Margolyes,6.245
Peppermint,458594,tt6850820,Jennifer Garner,16.887,John Gallagher Jr.,9.648,John Ortiz,10.312,Juan Pablo Raba,11.645,Annie Ilonzeh,2.449
Teen Titans GO! To the Movies,474395,tt7424200,Michael Bolton,4.544,Scott Menville,13.939,Khary Payton,6.735,Hynden Walch,6.32,Kristen Bell,15.307
Slender Man,439015,tt5690360,Joey King,44.798,Javier Botet,7.822,Julia Goldani Telles,9.167,Jaz Sinclair,8.355,Annalise Basso,9.45
Breaking In,497814,tt7137846,Gabrielle Union,15.997,Billy Burke,13.742,Richard Cabral,4.284,Ajiona Alexus,8.285,Levi Meaden,1.578
Cry Me a Sad River,552345,tt9036926,Zhao Yingbo,4.18,Ren Min,2.1,Xin Yunlai,2.486,Zhang Ruonan,5.173,Zhu Danni,1.799
Once Upon a Deadpool 2018 Re-release,,,,,,,,,,,,
Simmba,496524,tt7212726,Ranveer Singh,7.16,Sara Ali Khan,1.1,Sonu Sood,1.4,Ashutosh Rana,1.515,Ashwini Kalsekar,2.438
Family is Family,243665,tt1583950,Rosie O'Donnell,3.033,Ziggy Marley,3.281,Elizabeth Mitchell,21.396,,,,
Death Wish,395990,tt1137450,Bruce Willis,25.856,Vincent D'Onofrio,25.932,Dean Norris,19.16,Elisabeth Shue,29.8,Camila Morrone,6.001
The Magic Tuche,,,,,,,,,,,,
Golden Job,531380,tt7521990,Ekin Cheng,5.005,Jordan Chan,6.906,Michael Tse,4.395,Chin Ka-Lok,3.738,Jerry Lamb Hiu-Fung,5.671
Mary Queen of Scots,457136,tt2328900,Saoirse Ronan,21.955,Margot Robbie,29.861,Jack Lowden,11.098,Joe Alwyn,8.095,David Tennant,18.965
Uncle Drew,474335,tt7334528,Kyrie Irving,4.543,Lil Rel Howery,8.914,Shaquille O'Neal,9.396,Chris Webber,3.283,Reggie Miller,0.973
