movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Jigsaw,298250,tt3348730,Matt Passmore,6.97,Tobin Bell,19.7,Callum Keith Rennie,7.466,Hannah Anderson,3.605,Clé Bennett,3.791
Life,9487,tt0120623,Dave Foley,6.195,Kevin Spacey,16.608,Julia Louis-Dreyfus,5.771,Hayden Panettiere,17.271,Phyllis Diller,4.28
Atomic Blonde,341013,tt2406566,Charlize Theron,40.523,John Goodman,20.197,Til Schweiger,10.181,Eddie Marsan,20.889,Sofia Boutella,19.795
Legend of the Demon Cat,434221,tt6157626,Shota Sometani,13.331,Huang Xuan,11.613,Hiroshi Abe,12.72,Kitty Zhang,7.5,Qin Hao,3.728
The Shack,345938,tt2872518,Sam Worthington,21.962,Octavia Spencer,10.21,Tim McGraw,11.318,Aviv Alush,4.32,Sumire Matsubara,5.617
Chasing the Dragon,717976,tt0115872,Markie Post,7.111,Dennis Boutsikaris,9.281,Noah Fleiss,4.579,Deirdre O'Connell,3.569,Melissa DaPonte,0.6
Tiger Zinda Hai,441909,tt5956100,Salman Khan,5.875,Katrina Kaif,5.27,Girish Karnad,1.858,Paresh Rawal,2.142,Sudeep,4.278
A Taxi Driver,86190,tt0074094,Barry Evans,3.291,Judy Geeson,4.383,Adrienne Posta,4.396,Diana Dors,8.563,Liz Fraser,6.364
Going in Style,353070,tt2568862,Morgan Freeman,23.816,Michael Caine,14.985,Alan Arkin,9.763,Joey King,44.798,Matt Dillon,20.335
Rings,14564,tt0498381,Matilda Anna Ingrid Lutz,15.162,Alex Roe,15.553,Johnny Galecki,9.659,Vincent D'Onofrio,25.932,Aimee Teegarden,14.008
Once Upon A Time,466272,tt7131622,Leonardo DiCaprio,24.953,Brad Pitt,26.942,Margot Robbie,29.861,Emile Hirsch,21.719,Margaret Qualley,12.866
Paradox,384521,tt2548396,Gugu Mbatha-Raw,17.874,Daniel Brühl,20.606,Chris O'Dowd,5.729,David Oyelowo,6.722,John Ortiz,14.437
Lady Bird,391713,tt4925292,Saoirse Ronan,21.955,Laurie Metcalf,8.89,Tracy Letts,9.917,Beanie Feldstein,4.651,Lucas Hedges,8.476
Fantastica: A Boonie Bears Adventure,462927,tt6857250,Wenjie Shang,1.4,Chunlai Bao,0.6,Jianhong Sun,0.6,Joseph Zeng,9.668,,
The Nut Job 2: Nutty by Nature,335777,tt3486626,Will Arnett,16.336,Maya Rudolph,11.778,Bobby Cannavale,12.744,Bobby Moynihan,5.991,Isabela Merced,17.013
American Assassin,415842,tt1961175,Dylan O'Brien,14.5,Michael Keaton,17.975,Taylor Kitsch,18.299,Shiva Negar,11.453,Sanaa Lathan,17.056
Victoria & Abdul,423899,tt5816682,Judi Dench,8.949,Ali Fazal,8.188,Tim Pigott-Smith,5.37,Eddie Izzard,19.34,Adeel Akhtar,5.147
Suck Me Shakespeer 3,437670,tt6471264,Elyas M'Barek,12.524,Katja Riemann,4.839,Jella Haase,10.517,Sandra Hüller,5.487,Max von der Groeben,6.044
Detective Conan: Crimson Love Letter,438058,tt5692622,Minami Takayama,10.806,Kappei Yamaguchi,11.26,Wakana Yamazaki,3.604,Rikiya Koyama,7.883,Ryou Horikawa,6.233
The Mountain Between Us,290512,tt2226597,Idris Elba,26.498,Kate Winslet,13.654,Dermot Mulroney,22.46,Beau Bridges,10.334,Linda Sorensen,1.958
The Star,355547,tt4587656,Steven Yeun,10.156,Keegan-Michael Key,5.226,Aidy Bryant,5.98,Oprah Winfrey,6.117,Tyler Perry,7.41
How to Be a Latin Lover,425134,tt4795124,Eugenio Derbez,11.748,Salma Hayek,22.609,Rob Lowe,12.843,Kristen Bell,15.307,Raquel Welch,12.438
47 Meters Down,403119,tt2932536,Mandy Moore,15.654,Claire Holt,9.217,Matthew Modine,9.618,Chris Johnson,3.231,Yani Gellman,5.591
"Everything, Everything",417678,tt5001718,Amandla Stenberg,8.136,Nick Robinson,16.14,Anika Noni Rose,13.425,Ana de la Reguera,14.337,Taylor Hickson,9.83
Doraemon: Great Adventure in the Antarctic Kachi Kochi,462677,tt5912470,Wasabi Mizuta,6.349,Megumi Oohara,3.434,Yumi Kakazu,3.533,Tomokazu Seki,12.709,Subaru Kimura,15.999
Snatched,373569,tt2334871,Amy Schumer,4.455,Goldie Hawn,14.575,Tom Bateman,15.921,Christopher Meloni,11.433,Wanda Sykes,10.206
The Founding of an Army,468892,tt7185492,Liu Ye,9.777,Yawen Zhu,4.605,Huang Zhizhong,3.096,Chen Xiao,3.309,Wang Jingchun,1.477
My Little Pony: The Movie,335360,tt4131800,Uzo Aduba,10.704,Ashleigh Ball,6.934,Emily Blunt,22.529,Kristin Chenoweth,8.922,Taye Diggs,6.842
Molly's Game,396371,tt4209788,Jessica Chastain,17.001,Idris Elba,26.498,Kevin Costner,23.921,Michael Cera,20.608,Jeremy Strong,10.65
The Devotion of Suspect X,446076,tt3401392,Nick Wang,2.678,Zhang Luyi,1.421,Lin Xinru,8.084,Ye Zuxin,3.812,Ding Guansen,3.478
Shock Wave,441531,tt5847286,Andy Lau,16.233,Jiang Wu,4.228,Philip Keung,6.731,Ron Ng,8.684,Baby John Choi,2.134
Goldbuster,491937,tt7743588,Sandra Ng Kwun-Yu,4.617,Shen Teng,10.846,Yue Yunpeng,6.323,Zhang Yi,14.343,Francis Ng,8.953
All the Money in the World,446791,tt5294550,Michelle Williams,20.576,Christopher Plummer,8.379,Mark Wahlberg,49.465,Romain Duris,13.919,Timothy Hutton,5.376
The Big Sick,416477,tt5462602,Kumail Nanjiani,12.183,Zoe Kazan,15.676,Holly Hunter,13.252,Ray Romano,9.767,Anupam Kher,4.827
Gongjo,434119,tt5606538,Hyun Bin,8.184,Yoo Hae-jin,18.669,Kim Joo-hyuk,7.521,Jang Young-nam,11.952,Lee Dong-hwi,8.414
All Eyez on Me,402529,tt1666185,Demetrius Shipp Jr.,3.66,Danai Gurira,10.465,Kat Graham,34.646,Jamal Woolard,12.166,Dominic L. Santana,6.978
Downsizing,301337,tt1389072,Matt Damon,23.323,Christoph Waltz,18.156,Hong Chau,4.998,Kristen Wiig,16.468,Rolf Lassgård,7.323
"I, Tonya",389015,tt5580036,Margot Robbie,29.861,Sebastian Stan,39.447,Julianne Nicholson,11.825,Paul Walter Hauser,17.355,Bobby Cannavale,12.744
1987: When the Day Comes,437103,tt6493286,Kim Yoon-seok,7.465,Ha Jung-woo,9.169,Yoo Hae-jin,18.669,Kim Tae-ri,33.03,Park Hee-soon,11.492
The Outlaws,81446,tt1836944,Clayne Crawford,10.783,Travis Fimmel,31.686,Daniel Cudmore,5.65,Thomas Brodie-Sangster,21.827,Andre Braugher,11.428
Bleeding Steel,460648,tt5813366,Jackie Chan,26.273,Show Lo,5.077,Ouyang Nana,11.197,Erica Xiahou,2.494,Callan Mulvey,16.661
Logan Lucky,399170,tt5439796,Channing Tatum,22.942,Adam Driver,18.735,Riley Keough,18.516,Daniel Craig,18.56,Katie Holmes,8.929
Boo 2! A Madea Halloween,459202,tt6217804,Tyler Perry,7.41,Cassi Davis,8.625,Diamond White,4.325,Yousef Erakat,0.6,Hannah Stocking,3.92
Sky Hunter,478826,tt6908536,Jerry Lee,1.725,Fan Bingbing,19.144,Wang Qian-Yuan,1.371,Li Jiahang,1.098,Leon Lee,2.275
Phantom Thread,400617,tt5776858,Daniel Day-Lewis,11.268,Vicky Krieps,12.779,Lesley Manville,8.994,Camilla Rutherford,6.894,Gina McKee,14.644
Rough Night,397422,tt4799050,Scarlett Johansson,38.188,Jillian Bell,8.74,Zoë Kravitz,64.126,Kate McKinnon,9.885,Ilana Glazer,4.509
Son of Bigfoot,413644,tt5715410,Pappy Faulkner,2.584,Cinda Adams,1.96,Jeff Doucette,5.498,Laila Berzins,3.693,Joey Camen,1.4
Three Seconds,297215,tt3371152,,,,,,,,,,
The Thousand Faces of Dunjia,460557,tt6814080,Dong Chengpeng,8.089,Ni Ni,8.183,Aarif Rahman,9.132,Zhou Dongyu,7.724,Wu Bai,2.715
The Battleship Island,436391,tt5969696,Hwang Jung-min,8.721,So Ji-sub,7.314,Song Joong-ki,10.578,Lee Jung-hyun,6.555,Kim Su-an,17.971
Hanson and the Beast,492317,tt7787418,Liu Yifei,25.393,William Feng,5.793,Li Guangjie,2.611,Guo Jingfei,9.703,Jiao Junyan,3.65
Gintama Live Action the Movie,,,,,,,,,,,,
Guilty of Mind,470413,tt7232860,Liao Fan,5.562,Li Yifeng,3.414,Wan Qian,6.548,Li Chun,2.645,Chang Kuo-Chu,2.883
Flatliners,400710,tt2039338,Elliot Page,20.968,Diego Luna,16.247,Nina Dobrev,20.789,James Norton,13.789,Kiersey Clemons,8.093
Bad Genius,326734,tt0149770,,,,,,,,,,
Mother!,739413,tt13029044,Chloë Grace Moretz,56.69,Algee Smith,13.219,Raúl Castillo,4.339,Kiara Pichardo,1.012,Oscar Wahlberg,5.193
Wind River,395834,tt5362988,Jeremy Renner,47.118,Elizabeth Olsen,17.848,Gil Birmingham,15.63,Kelsey Asbille,24.488,Teo Briones,11.215
Battle of Memories,449306,tt5636668,Huang Bo,13.595,Xu Jinglei,5.683,Duan Yihong,3.692,Patricio Antonio Liang,0.6,Yang Zishan,8.435
