movie,tmdbid,adult,budget,tmdb_popularity,revenue,runtime
Last Looks,557946,False,0,16.548,0,111
The Bunker Game,794234,False,0,14.943,0,92
Naai Sekar,925818,False,0,2.744,0,133
Mahlûkat,941343,False,0,1.4,0,0
Hamel El Lakab,930880,False,0,0.6,0,0
Sundown,267800,False,0,10.903,0,103
Cuarentones,949270,False,0,11.582,0,81
My Wonderful Wanda,698429,False,0,2.262,0,111
Super Sharanya,869227,False,0,1.915,0,146
Jang Minho Drama,,,,,,
The Grandson,418421,False,0,0.822,0,0
Octonauts and the Caves of Sac Actun,726940,False,0,14.343,0,72
BanG Dream! Poppin'Dream!,922495,False,0,1.884,0,71
Alice,12092,False,3000000,94.156,572000000,75
Black Glasses,630720,False,0,2.733,0,90
Facing Monsters,891743,False,0,2.074,0,94
Rosy,391912,False,0,7.084,0,93
Al Gareema,,,,,,
Son of India,799397,False,0,1.226,0,102
Malazgirt 1071,699395,False,0,9.048,0,0
Hall,48988,False,36000000,40.493,86157237,105
Anka,934358,False,0,1.365,0,130
Jane by Charlotte,836485,False,0,1.992,0,86
Arthur Rambo,660334,False,0,6.29,0,87
Pups Alone,761548,False,0,7.28,0,107
Bachchhan Paandey,715765,False,0,8.418,0,147
Kernagis,882743,False,0,0.6,0,91
Stop-Zemlia,794785,False,0,1.184,0,117
Listeners: The Whispering,786205,False,0,1.971,0,120
