Movie Title,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,Score_Rotten,Score_Rotten_Audience,Rating,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Release-Date,Release-Year,Release-Month,Release-DOM,Revenue-Worldwide,Profit,Label
End Game,11.142,5.1,5410,93,100,80,2,,,,1.3165,12.6874,,5000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,91824961,17.3649922,0
You Are the Apple of My Eye,30.862,6.1,374,114,,,2,,55.375,,,5.3646,88.5209713,1700000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011-08-19,2011,8,19,29843025,16.55472059,0
Finding Mr. Right,6.002,6.5,2528,121,,70,2,,,0.811,1.193,10.761,58.62068966,4881000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013-03-21,2013,3,21,84112033,16.23254108,0
Hindi Medium,7.405,7.9,27753,132,82,78,2,,37.5,0.609,0.7425,2.61,78.17697937,3213790,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-05-19,2017,5,19,52390000,15.30162518,0
Capernaum,25.742,8.4,83520,126,,,2,,75.625,,,2.4434,48.70775348,4000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-20,2018,9,20,64978931,15.24473275,0
Coming Home,10.774,7.4,13421,127,,,2,,80.25,1.38,,10.9954,32.1549966,3000000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2014-05-16,2014,5,16,47587984,14.86266133,0
Sinkhole,441.784,6.2,1318,117,,,2,,65.25,,,9.4128,3.08056872,1200000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-11,2021,8,11,18804231,14.6701925,0
Suck Me Shakespeer,12.875,6.9,28682,119,,,2,,,,,11.3846,,5000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-10-29,2013,10,29,77676735,14.535347,0
Suck Me Shakespeer 2,5.471,5.9,12861,115,,,2,,,,,9.157,,5400000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-10-29,2013,10,29,83027924,14.37554148,0
Friends: Naki on the Monster Island,7.139,6.3,266,87,,83,2,,,,,4.8526,100,1490000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-17,2011,12,17,22537428,14.1257906,0
Jian Bing Man,4.72,5.6,1184,113,,55,2,,35.5,6.331,,7.0572,53.84615385,12880000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-17,2015,7,17,186683536,13.49406335,0
Andhadhun,14.996,8.2,88557,139,100,91,2,,18.5,0.6,0.6,2.7914,79.07339927,4500000,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2018-10-05,2018,10,5,62475342,12.88340933,0
Conquest 1453,8.236,6.8,57979,162,40,52,2,,64.125,1.35,1.35,5.2306,17.94871795,2581561,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012-02-16,2012,2,16,35797045,12.86643391,0
Hard Hit,6.489,6.2,1078,94,100,75,2,,80.75,2.486,,9.3408,-18.69510665,560000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021-06-23,2021,6,23,7633895,12.63195536,0
We Are the Nobles,47.461,7.3,9658,108,,,2,,,,,7.7846,,2000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,26433651,12.2168255,0
Klassikokkutulek 2: Pulmad ja matused,0.6,5.4,430,90,,,2,,,,,0.8758,,465000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5543147,10.92074624,0
Suck Me Shakespeer 3,10.842,5.4,5746,120,,,2,,,,,7.8822,,5400000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-10-29,2013,10,29,64236772,10.89569852,0
What a Beautiful Day,6.785,6.3,5491,97,,,2,,,,,2.1728,,6000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60661950,9.110325,0
Son of a Rich,23.59,6.7,4250,109,,,2,,,,,6.5458,,2601900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,24579050,8.446577501,0
Spanish Affair 2,10.161,5.3,7201,99,,,2,,,,,6.2246,45.94594595,4500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015-11-20,2015,11,20,40591862,8.020413778,0
Kokowääh,9.854,6.3,9791,126,,63,2,,,14.277,,5.3554,,5650000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,50447784,7.928811327,0
