Movie Title,budget,tmdb_popularity,imdbRating,imdbNumVotes,runtimeMinutes,genres,Score_Rotten,Score_Rotten_Audience,Rating,Release-Date,NumTheatres,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,Revenue-Worldwide,Revenue-Domestic,TwitterScore,Profit,final_budget,percent_diff
Christmas with the Chosen: The Messengers,0,3.964,7.5,664,123,Music,,96.0,,2021-12-01,59.0,42.625,0.0,0.0,0.6108,13728000,13728000.0,0.7317073171,#DIV/0!,0.0,0.0
Sword Art Online: Progressive - Aria of a Starless Night,0,57.479,7.3,723,97,"Action,Adventure,Animation",,95.0,,2021-12-03,124.0,,0.0,0.0,13.195,14027926,1050000.0,0.5862068966,#DIV/0!,0.0,0.0
Schemes in Antiques,0,2.06,6.0,243,123,"Action,Adventure,Comedy",60.0,,,2021-12-17,,39.0,0.0,0.0,5.0598,51637422,,52,#DIV/0!,0.0,0.0
Pushpa: The Rise - Part 1,0,18.068,8.0,54694,179,"Action,Adventure,Crime",,,,2021-12-17,117.0,12.5,0.0,0.0,4.1782,7592374,1320000.0,0.4827586207,#DIV/0!,32500000.0,inf
American Underdog,0,134.656,7.2,8781,112,"Biography,Drama,Sport",75.0,98.0,PG,2021-12-25,63.0,53.25,0.0,1.7976,9.778,26514814,26514814.0,0.6947311244,#DIV/0!,0.0,0.0
Poupelle of Chimney Town,0,4.481,6.5,263,100,"Animation,Family,Fantasy",82.0,79.0,PG,2021-12-30,,50.125,0.6,1.890333333,6.3136,21831861,,63.19018405,#DIV/0!,0.0,0.0
Redeeming Love,0,25.974,6.7,4289,134,"Drama,History,Romance",12.0,95.0,PG-13,2022-01-21,23.0,35.5,5.081,1.517,17.9262,9436988,9214020.0,0.8443396226,#DIV/0!,0.0,0.0
The King's Daughter,0,172.511,5.1,2689,90,"Action,Adventure,Family",18.0,80.0,PG,2022-01-21,43.0,55.0,7.761,2.67475,27.3014,1758963,1758963.0,0.3511777302,#DIV/0!,40000000.0,inf
The Tiger Rising,0,7.013,4.5,329,102,Family,17.0,73.0,PG,2022-01-21,53.0,21.375,0.656,0.6,9.3652,882128,835162.0,0.6352201258,#DIV/0!,10000000.0,inf
Stop-Zemlia,0,1.184,7.5,659,122,Drama,88.0,67.0,,2022-01-21,,23.875,2.887,0.795,0.6,143434,,29.72972973,#DIV/0!,0.0,0.0
Clean,0,25.396,5.6,4715,94,"Action,Crime,Drama",43.0,56.0,,2022-01-28,59.0,93.75,5.018,8.4215,7.5536,318877,318877.0,0.7024928484,#DIV/0!,0.0,0.0
Sundown,0,10.903,5.3,2351,103,"Action,Adventure,Comedy",75.0,63.0,R,2022-01-28,64.0,81.375,3.888,1.902666667,7.1928,229922,229922.0,0.3156626506,#DIV/0!,0.0,0.0
The Beatles: Get Back - The Rooftop Concert,0,9.299,9.0,807,65,"Documentary,Music",100.0,95.0,PG-13,2022-01-30,51.0,,14.177,5.318,4.9434,2176712,976712.0,0.652173913,#DIV/0!,0.0,0.0
Last Looks,0,16.548,5.6,4492,110,"Action,Crime,Mystery",67.0,50.0,R,2022-02-04,,61.125,3.395,2.0615,24.3196,249315,,30.32490975,#DIV/0!,0.0,0.0
Water Gate Bridge,0,4.078,4.9,311,153,"Action,Drama,History",,,,2022-02-11,70.0,66.625,0.0,0.0,9.985,480203271,117294.0,-0.0625,#DIV/0!,0.0,0.0
Badhaai Do,0,8.625,7.3,13742,147,Comedy,93.0,83.0,,2022-02-11,,20.5,0.6,0.6,1.4892,1138046,,63.64772017,#DIV/0!,4550000.0,inf
Too Cool to Kill,0,3.581,6.1,226,109,Comedy,,100.0,,2022-02-18,66.0,43.25,0.0,0.0,2.3672,217255728,185882.0,-0.3859649123,#DIV/0!,0.0,0.0
The Cursed,0,27.372,6.3,4537,111,"Fantasy,Horror,Mystery",16.0,30.0,PG-13,2022-02-18,28.0,53.125,7.502,7.5545,15.8952,4588389,4588389.0,0.1688311688,#DIV/0!,0.0,0.0
Studio 666,0,28.001,5.8,4259,106,"Comedy,Horror,Music",56.0,80.0,R,2022-02-25,36.0,33.0,2.144,0.994,2.2534,3000776,2513963.0,0.2531709792,#DIV/0!,0.0,0.0
Gangubai Kathiawadi,0,15.273,7.0,38061,152,"Biography,Crime,Drama",91.0,97.0,,2022-03-04,55.0,61.25,1.367,0.9835,2.6716,3192000,592000.0,0.5496368039,#DIV/0!,21580000.0,inf
Radhe Shyam,0,6.945,6.7,24074,138,"Drama,Romance",22.0,55.0,,2022-03-11,42.0,19.25,0.0,0.0,3.3086,15956283,1860000.0,0.3004372267,#DIV/0!,45500000.0,inf
Tyson's Run,0,5.07,7.2,63,103,Drama,,86.0,PG,2022-03-11,57.0,35.0,2.318,1.0625,9.6376,358100,387450.0,0.7085427136,#DIV/0!,0.0,0.0
Master,0,15.751,4.9,2968,98,"Drama,Horror,Mystery",74.0,40.0,R,2022-03-18,,96.5,1.4,0.848333333,7.7318,51636415,,33.63431151,#DIV/0!,0.0,0.0
Jujutsu Kaisen 0: The Movie,0,558.207,8.1,5421,105,"Action,Animation,Fantasy",98.0,98.0,PG-13,2022-03-18,12.0,58.375,9.192,1.334,12.0286,144000000,28287448.0,0.6960352423,#DIV/0!,0.0,0.0
The Kashmir Files,0,7.64,8.3,539838,170,"Drama,History,Thriller",,95.0,,2022-03-18,45.0,69.875,1.646,1.0165,3.0758,24242170,1485000.0,0.08562367865,#DIV/0!,1950000.0,inf
The Outfit,0,397.145,7.5,1886,105,"Crime,Drama",84.0,92.0,R,2022-03-18,33.0,46.875,2.485,6.026333333,14.8776,3186865,3088865.0,0.6011142061,#DIV/0!,0.0,0.0
Umma,0,51.761,5.1,698,83,Horror,27.0,51.0,PG-13,2022-03-18,41.0,39.875,2.907,5.578,13.683,1700000,1940772.0,0.2156862745,#DIV/0!,0.0,0.0
Jane by Charlotte,0,1.992,6.3,167,88,"Adventure,Biography,Documentary",59.0,,,2022-03-18,88.0,45.375,26.215,7.00375,,149165,38479.0,67.29559748,#DIV/0!,0.0,0.0
Bachchhan Paandey,0,8.418,6.7,28543,147,"Action,Comedy,Crime",,74.0,,2022-03-18,,24.625,2.75,1.6315,3.6996,144003,,1.323706378,#DIV/0!,24000000.0,inf
Nitram,0,11.034,7.2,4150,112,"Drama,Thriller",91.0,86.0,,2022-03-30,,55.75,3.167,1.4675,11.0552,344826,,25.25629077,#DIV/0!,0.0,0.0
The Bad Guys,0,708.384,7.0,1474,100,"Adventure,Animation,Comedy",88.0,,PG,2022-04-22,,64.875,2.848,0.937,18.342,8438000,,-34.85424588,#DIV/0!,80000000.0,inf
Black Box,0,54.384,6.2,13687,100,"Horror,Mystery,Sci-Fi",,,,2022-04-29,,,4.153,0.652,4.262,9604737,,31.58834027,#DIV/0!,0.0,0.0
Lost Illusions,0,0.665,5.7,15,\N,"Romance,Short",75.0,,,2022-06-10,,,2.664,0.0,,8012246,,,#DIV/0!,17500000.0,inf
Official Competition,0,15.259,7.3,962,114,"Comedy,Drama",100.0,,,2022-06-17,,,0.0,1.216,9.378,678102,,,#DIV/0!,0.0,0.0
Parallel Mothers,0,65.717,7.1,21085,123,Drama,96.0,79.0,R,2022-12-24,38.0,,6.799,2.3205,10.4956,19003217,2230895.0,,#DIV/0!,0.0,0.0
The Witches,0,225.306,5.3,37726,106,"Adventure,Comedy,Family",93.0,70.0,PG,2022-12-25,97.0,,2.869,0.823,16.9582,27103571,203571.0,,#DIV/0!,0.0,0.0
One Cut of the Dead,25000,10.094,7.6,22778,96,"Comedy,Drama,Horror",100.0,86.0,,2019-09-13,,64.5,5.341,0.6,3.8546,200000000,,-66.9047619,799900,25000000000.0,999999.0
Me contro Te - Il film: La vendetta del Signor S,75000,8.73,1.6,353,64,"Comedy,Family",,,,2020-01-17,,,0.0,0.0,1.4044,10779891,,,14273.188,0.0,1.0
The Gallows,100000,23.118,4.2,20412,81,"Horror,Mystery,Thriller",14.0,22.0,R,2015-07-10,100.0,38.875,0.0,1.986,1.8882,42964410,22764410.0,-0.04720406681,42864.41,100000.0,0.0
Murder Party,190000,7.931,5.8,11463,79,"Comedy,Horror",100.0,57.0,,1899-12-30,,,2.647,0.994,1.836,453590,,,138.7315789,0.0,1.0
The Eleventh Chapter,200000,1.342,6.8,383,115,"Comedy,Drama",,,,1899-12-30,,12.5,0.0,0.0,7.325,8845525,,15.78947368,4322.7625,0.0,1.0
Swingers,200000,14.914,7.2,81509,96,"Comedy,Drama",,,,2022-01-27,,85.375,0.0,1.472,12.817,4505922,,40.08489994,2152.961,0.0,1.0
Mr. Six,250000,24.946,6.9,3807,134,"Action,Drama",,,,2015-12-18,,39.75,0.0,0.0,7.07,139191345,,,55576.538,0.0,1.0
Extraordinary Mission,250000,10.457,6.2,791,117,"Action,Crime",80.0,89.0,,2017-04-07,,27.25,0.0,0.0,4.9024,22757764,,56.09756098,9003.1056,0.0,1.0
Klassikokkutulek 2: Pulmad ja matused,465000,0.6,5.4,430,90,Comedy,,,,1899-12-30,,,0.0,0.0,0.8758,5543147,,,1092.074624,0.0,1.0
Default,750000,2.484,4.4,252,88,"Action,Thriller",33.0,33.0,,2018-11-28,,87.5,1.4,0.0,4.7008,27694043,,31.87081048,3592.539067,0.0,1.0
Searching,880000,29.803,7.6,158290,102,"Drama,Mystery,Thriller",91.0,87.0,PG-13,2018-08-24,102.0,51.25,2.22,3.01625,6.5418,75462037,26020957.0,0.3070696168,8475.231477,880000.0,0.0
Courageous,1000000,80.833,6.9,20454,130,Drama,36.0,86.0,PG-13,2011-09-30,101.0,42.5,3.808,0.98,1.8738,35185884,34522221.0,0.8678451178,3418.5884,2000000.0,1.0
The Devil Inside,1000000,28.663,4.2,35858,83,Horror,5.0,22.0,R,2012-01-06,60.0,30.375,3.262,1.024,2.9838,101758490,53261944.0,-0.8589379814,10075.849,0.0,1.0
Chernobyl Diaries,1000000,48.85,5.0,65892,86,"Horror,Mystery,Thriller",19.0,28.0,R,2012-05-25,124.0,38.625,5.687,1.7425,9.0838,38390020,18119640.0,0.02683615819,3739.002,0.0,1.0
Unfriended,1000000,35.357,5.6,74247,83,"Horror,Mystery,Thriller",62.0,37.0,R,2015-04-17,79.0,38.375,3.67,5.7445,5.2876,62882090,32482090.0,-0.05025125628,6188.209,1000000.0,0.0
Bo Gia,1000000,1.343,6.5,803,128,"Comedy,Drama,Family",,,,2021-05-28,169.0,64.75,0.0,0.0,1.0304,17480489,350000.0,0.7192982456,1648.0489,101200.0,0.8988
Code Blue: The Movie,1250000,2.955,7.2,1271,127,Drama,,,,2018-07-27,,,0.0,0.0,6.9242,78778562,,,6202.28496,0.0,1.0
Friends: Naki on the Monster Island,1490000,7.139,6.3,266,87,"Adventure,Animation,Comedy",,83.0,,1899-12-30,,,0.0,0.0,4.8526,22537428,,100,1412.57906,0.0,1.0
Insidious,1500000,108.132,6.8,299575,103,"Horror,Mystery,Thriller",66.0,62.0,PG-13,2011-04-01,63.0,40.75,13.692,3.335,19.273,99557032,54009150.0,0.01381909548,6537.135467,1500000.0,0.0
The Exorcism of God,1500000,399.486,5.6,1582,98,"Drama,Horror",58.0,,R,2022-03-11,,21.75,2.286,1.0215,4.7792,2064669,,46.60421546,37.6446,0.0,1.0
A Nightmare on Elm Street,1800000,44.095,7.5,229013,91,Horror,15.0,43.0,R,2010-04-30,50.0,40.25,3.175,8.096666667,8.184,115694863,63075011.0,0.2763485477,6327.492389,0.0,1.0
The Last Exorcism,1800000,25.701,5.7,49644,87,"Horror,Mystery,Thriller",72.0,35.0,PG-13,2010-08-27,79.0,47.25,1.686,4.637,8.4204,69432527,41034350.0,0.3963083605,3757.362611,1800000.0,0.0
Beasts of the Southern Wild,1800000,8.844,7.2,82927,93,"Adventure,Drama,Fantasy",86.0,76.0,PG-13,2012-06-27,143.0,42.625,1.96,1.017333333,3.2176,21107746,12795746.0,65.11456024,1072.652556,0.0,1.0
Secret Superstar,1961412,7.283,7.9,24133,150,"Drama,Music",91.0,86.0,,2017-10-20,,32.125,0.98,4.5395,3.0472,137416709,,65.67164179,6906.009395,1950000.0,0.00581825745942209
Buried,1987650,21.703,7.0,158625,95,"Drama,Mystery,Thriller",87.0,65.0,R,2010-10-08,,85.875,2.468,2.8365,13.347,19439764,,0.3289256198,878.0275199,2000000.0,0.00621336754458783
Aftershock,2000000,17.804,4.8,11745,89,"Action,Adventure,Horror",100.0,,,1899-12-30,,60.625,0.0,0.6475,6.042,100293273,,33.41985724,4914.66365,25000000.0,11.5
My Mom is a Character 3,2000000,5.85,7.0,2236,111,Comedy,,,,1899-12-30,,,0.0,0.0,1.8408,39273021,,33.33333333,1863.65105,2100000.0,0.05
My Mom Is a Character 2,2000000,5.414,6.6,2700,88,Comedy,,,,1899-12-30,,,0.0,0.0,1.5168,39195565,,25,1859.77825,2100000.0,0.05
We Are the Nobles,2000000,47.461,7.3,9658,108,Comedy,,,,1899-12-30,,,0.0,0.0,7.7846,26433651,,,1221.68255,0.0,1.0
Vakeel Saab,2000000,3.447,8.0,11572,153,"Action,Crime,Drama",,83.0,,1899-12-30,,19.5,0.6,1.16,4.5752,13056490,,29.0617849,552.8245,0.0,1.0
Hichki,2000000,8.272,7.6,12126,116,"Comedy,Drama",50.0,82.0,,2018-03-23,,25.25,0.695,1.336,3.3422,26055222,,75.50761421,1202.7611,2600000.0,0.3
Minari,2000000,25.301,7.5,73380,115,Drama,98.0,87.0,PG-13,2021-02-12,94.0,65.375,4.063,2.812,13.686,15322552,3110580.0,0.6661971831,666.1276,0.0,1.0
2016: Obama's America,2500000,4.99,5.1,10697,87,"Documentary,Fantasy",26.0,73.0,PG,2012-07-13,100.0,50.0,0.0,0.6,2.7588,33449086,33449086.0,0.3990216632,1237.96344,0.0,1.0
A Haunted House,2500000,104.676,5.0,46288,86,"Comedy,Fantasy,Horror",9.0,51.0,R,2013-01-11,81.0,45.875,0.6,5.5595,8.9538,60159584,40041683.0,-0.5367521368,2306.38336,4000000.0,0.6
Conquest 1453,2581561,8.236,6.8,57979,162,"Action,Drama,History",40.0,52.0,,1899-12-30,,64.125,1.35,1.35,5.2306,35797045,,17.94871795,1286.643391,0.0,1.0
Pinocchio,2600000,110.877,7.5,141245,88,"Adventure,Animation,Comedy",,,PG-13,2020-12-25,138.0,63.125,0.0,3.27325,2.5956,84300000,1831718.0,0.1632047478,3142.307692,13200000.0,4.076923076923077
Son of a Rich,2601900,23.59,6.7,4250,109,Comedy,,,,1899-12-30,,,0.0,0.0,6.5458,24579050,,,844.6577501,0.0,1.0
Midnight Sun,2800000,43.587,6.6,29675,91,"Drama,Romance",21.0,56.0,PG-13,2018-03-23,143.0,33.625,3.738,1.10425,8.1754,27365467,9561064.0,0.4564047363,877.3381071,2800000.0,0.0
Coming Home,3000000,10.774,7.4,13421,127,"Drama,Romance,War",,,,1899-12-30,,80.25,1.38,0.0,10.9954,47587984,,32.1549966,1486.266133,0.0,1.0
How Not to Rescue a Princess,3000000,5.036,6.4,1579,75,"Adventure,Animation,Comedy",,,,1899-12-30,,,0.0,0.0,2.3454,20157447,,,571.9149,0.0,1.0
Paranormal Activity 2,3000000,37.439,5.7,103015,91,"Horror,Mystery",58.0,48.0,R,2010-10-22,36.0,42.25,1.646,4.103,6.2808,177512032,84752907.0,0.1435897436,5817.067733,3000000.0,0.0
Sinister,3000000,54.594,6.8,242046,110,"Horror,Mystery,Thriller",63.0,61.0,R,2012-10-12,68.0,50.625,5.931,5.0645,13.6898,82515113,48086903.0,-0.8138581386,2650.503767,10000000.0,2.3333333333333335
The Purge,3000000,80.178,5.7,218517,85,"Horror,Sci-Fi,Thriller",39.0,36.0,R,2013-06-07,57.0,40.0,11.812,6.1794,15.198,89328627,64473115.0,0.1064150943,2877.6209,0.0,1.0
Don Jon,3000000,32.098,6.6,237429,90,"Comedy,Drama,Romance",80.0,58.0,R,2013-09-27,105.0,45.75,18.141,1.502,18.1288,39439355,24477704.0,0.5678131084,1214.645167,7500000.0,1.5
War Room,3000000,87.856,6.5,14723,120,Drama,34.0,87.0,PG,2015-08-28,42.0,33.625,3.808,0.98,2.3392,73267874,67790117.0,-0.3085201794,2342.262467,3000000.0,0.0
Ghost in the Shell,3000000,36.822,7.9,139568,83,"Action,Animation,Crime",43.0,51.0,PG-13,2017-03-31,68.0,44.75,1.96,4.71775,6.085,169801921,40563557.0,-0.5903821383,5560.064033,110000000.0,35.666666666666664
The Farewell,3000000,15.696,7.5,61679,100,"Comedy,Drama",97.0,87.0,PG,2019-07-12,113.0,74.0,4.944,2.159375,11.4398,23076657,17695781.0,0.5492316448,669.2219,3000000.0,0.0
Impractical Jokers: The Movie,3000000,9.506,5.8,6278,92,Comedy,35.0,76.0,PG-13,2020-02-21,38.0,30.25,5.815,5.908166667,3.6172,10700000,10691091.0,0.6798866856,256.6666667,3000000.0,0.0
Look Who's Back,3196621,24.052,7.0,44786,116,"Comedy,Drama,Fantasy",,80.0,,1899-12-30,,28.5,1.991,0.824,6.7962,25513752,,58.75118259,698.1475439,3300000.0,0.03234008661020496
Hindi Medium,3213790,7.405,7.9,27753,132,"Comedy,Drama",82.0,78.0,,1899-12-30,,37.5,0.609,0.7425,2.61,52390000,,78.17697937,1530.162518,1820000.0,0.4336904402590088
Whiplash,3300000,61.898,8.5,801283,106,"Drama,Music",94.0,94.0,R,2014-10-10,159.0,64.5,7.146,2.59825,13.5128,48982041,13092000.0,0.3804017042,1384.304273,3300000.0,0.0
The Lazarus Effect,3300000,21.512,5.2,43055,83,"Horror,Mystery,Sci-Fi",16.0,23.0,PG-13,2015-02-27,95.0,31.75,1.646,2.621666667,14.8402,64110728,25801570.0,0.129303749,1842.749333,3300000.0,0.0
Gooische vrouwen,3500000,3.015,6.2,2852,105,"Comedy,Drama",,,,1899-12-30,,75.125,0.0,0.0,2.7574,22194574,,30.76923077,534.1306857,2700000.0,0.22857142857142856
The Kids Are All Right,3500000,12.233,7.1,129626,106,"Comedy,Drama,Romance",92.0,74.0,R,2010-07-09,121.0,67.0,2.287,1.1932,15.1722,34705850,20811365.0,0.687804878,891.5957143,4000000.0,0.14285714285714285
Dark Skies,3500000,45.934,6.3,74935,97,"Horror,Sci-Fi,Thriller",41.0,49.0,PG-13,2013-02-22,125.0,44.0,0.896,6.007,9.5634,27858103,17418667.0,0.08156711625,695.9458,3500000.0,0.0
Winchester,3500000,33.3,5.4,33502,99,"Drama,Fantasy,Horror",13.0,31.0,PG-13,2018-02-02,103.0,56.5,0.0,0.6,11.4224,44019588,25091816.0,0.263681592,1157.702514,3500000.0,0.0
Truth or Dare,3500000,94.395,5.2,54132,100,"Horror,Thriller",,25.0,,2018-04-13,76.0,33.125,1.4,2.264,11.245,95330493,41411015.0,0.7091214796,2623.728371,3500000.0,0.0
The Grandmaster,3860000,22.694,6.5,33857,130,"Action,Biography,Drama",78.0,59.0,PG-13,2013-08-23,155.0,49.125,0.6,1.96,10.9434,64076736,6594959.0,0.3325242718,1560.019067,38600000.0,9.0
Capernaum,4000000,25.742,8.4,83520,126,Drama,,,,1899-12-30,,75.625,0.0,0.0,2.4434,64978931,,48.70775348,1524.473275,4000000.0,0.0
